site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,light_sum,watertemp_ma_3,watertemp_ma_5,watertemp_ma_7,watertemp_ma_10,watertemp_ma_14
Midge,2005-07-21,2005,7,29,21,202,0.077809644,NA,0.077809644,NA,-1.089324144,NA,NA,NA,NA,NA,NA
Midge,2005-07-28,2005,7,30,28,209,0.452710658,NA,0.452710658,0.374901014,-0.340739387,NA,NA,NA,NA,NA,NA
Midge,2005-08-04,2005,8,31,4,216,0.113177665,NA,0.113177665,-0.339532994,-0.932640213,NA,NA,NA,NA,NA,NA
Midge,2005-08-11,2005,8,32,11,223,1.152997457,NA,1.152997457,1.039819793,0.063182233,NA,NA,NA,NA,NA,NA
Midge,2005-08-18,2005,8,33,18,230,0.657845175,NA,0.657845175,-0.495152282,-0.179506147,NA,NA,NA,NA,NA,NA
Midge,2005-08-25,2005,8,34,25,237,0.488078678,NA,0.488078678,-0.169766497,-0.308318625,NA,NA,NA,NA,NA,NA
Midge,2005-09-03,2005,9,35,3,246,1.817916237,NA,1.817916237,1.329837558,0.260433047,NA,NA,NA,NA,NA,NA
Midge,2005-09-12,2005,9,37,12,255,3.232637043,NA,3.232637043,1.414720807,0.510040325,NA,NA,NA,NA,NA,NA
Midge,2005-09-20,2005,9,38,20,263,0.014147208,NA,0.014147208,-3.218489835,-1.750869961,NA,NA,NA,NA,NA,NA
Midge,2005-09-25,2005,9,39,25,268,0.183913705,NA,0.183913705,0.169766497,-0.726966985,NA,NA,NA,NA,NA,NA
Midge,2006-06-29,2006,6,26,29,180,0.33245939,NA,0.33245939,0.148545685,-0.473583965,NA,NA,NA,NA,NA,NA
Midge,2006-07-06,2006,7,27,6,187,0.275870557,NA,0.275870557,-0.056588833,-0.553663939,NA,NA,NA,NA,NA,NA
Midge,2006-07-13,2006,7,28,13,194,2.284774103,NA,2.284774103,2.008903546,0.359527024,NA,NA,NA,NA,NA,NA
Midge,2006-07-17,2006,7,29,17,198,3.246784251,NA,3.246784251,0.962010148,0.511934705,NA,24.86364583,NA,NA,NA,NA
Midge,2006-07-23,2006,7,30,23,204,0.007073604,NA,0.007073604,-3.239710647,-1.971688914,NA,25.68043981,26.12508681,26.07153522,25.585875,NA
Midge,2006-07-31,2006,7,31,31,212,3.317520292,NA,3.317520292,3.310446688,0.521284606,NA,25.84780093,25.90176736,25.46100694,25.24909028,25.65789435
Midge,2006-08-07,2006,8,32,7,219,1.846210653,NA,1.846210653,-1.471309639,0.267127276,NA,25.81184606,26.15560764,26.17449157,26.07648438,25.81774926
Midge,2006-08-14,2006,8,33,14,226,1.068114209,NA,1.068114209,-0.778096444,0.030078989,NA,22.90766204,23.64302778,24.1703001,24.66276389,25.17239583
Midge,2006-08-21,2006,8,34,21,233,0.94786294,NA,0.94786294,-0.120251269,-0.021608123,NA,22.8804919,22.82949653,22.80553571,22.83617361,23.48791791
Midge,2006-08-28,2006,8,35,28,240,1.124703041,NA,1.124703041,0.176840101,0.052425759,NA,21.05480324,21.456,21.73689236,22.07997222,22.27121404
Midge,2006-09-08,2006,9,36,8,251,2.857736029,NA,2.857736029,1.733032988,0.456568863,NA,19.21109375,19.00026736,19.08295635,19.42714757,19.84175223
Midge,2006-09-12,2006,9,37,12,255,0.346606598,NA,0.346606598,-2.511129431,-0.455675676,NA,19.49579282,19.67268403,19.47581597,19.25508333,19.49777902
Midge,2006-09-18,2006,9,38,18,261,0.268796953,NA,0.268796953,-0.077809645,-0.564797755,NA,NA,NA,NA,NA,NA
