datetime,year,date,time,dayofyr,temp_Coffin,temp_Fichter,temp_Midge,temp_OldNewbury,light_Coffin,light_Fichter,light_Midge,light_OldNewbury,week,week_day,day,minute
2011-06-02T16:01:00Z,2011,2011-06-02T00:00:00Z,1899-12-31T16:01:00Z,153,13.365,"NA",NA,"NA",10677.8,"NA",NA,"NA",22,5,2,1
2011-06-02T16:11:00Z,2011,2011-06-02T00:00:00Z,1899-12-31T16:11:00Z,153,13.365,"NA",NA,"NA",4133.3999999999996,"NA",NA,"NA",22,5,2,11
2011-06-02T16:21:00Z,2011,2011-06-02T00:00:00Z,1899-12-31T16:21:00Z,153,13.269,"NA",NA,"NA",4477.8,"NA",NA,"NA",22,5,2,21
2011-06-02T16:31:00Z,2011,2011-06-02T00:00:00Z,1899-12-31T16:31:00Z,153,13.365,"NA",NA,"NA",2669.5,"NA",NA,"NA",22,5,2,31
2011-06-02T16:41:00Z,2011,2011-06-02T00:00:00Z,1899-12-31T16:41:00Z,153,13.558,"NA",NA,"NA",2927.8,"NA",NA,"NA",22,5,2,41
2011-06-02T16:51:00Z,2011,2011-06-02T00:00:00Z,1899-12-31T16:51:00Z,153,13.75,"NA",NA,"NA",5511.1,"NA",NA,"NA",22,5,2,51
2011-06-02T17:01:00Z,2011,2011-06-02T00:00:00Z,1899-12-31T17:01:00Z,153,13.846,"NA",NA,"NA",4822.3,"NA",NA,"NA",22,5,2,1
2011-06-02T17:11:00Z,2011,2011-06-02T00:00:00Z,1899-12-31T17:11:00Z,153,13.942,"NA",NA,"NA",3788.9,"NA",NA,"NA",22,5,2,11
2011-06-02T17:21:00Z,2011,2011-06-02T00:00:00Z,1899-12-31T17:21:00Z,153,14.134,"NA",NA,"NA",3616.7,"NA",NA,"NA",22,5,2,21
2011-06-02T17:31:00Z,2011,2011-06-02T00:00:00Z,1899-12-31T17:31:00Z,153,14.23,"NA",NA,"NA",2238.9,"NA",NA,"NA",22,5,2,31
2011-06-02T17:41:00Z,2011,2011-06-02T00:00:00Z,1899-12-31T17:41:00Z,153,14.134,"NA",NA,"NA",1808.3,"NA",NA,"NA",22,5,2,41
2011-06-02T17:51:00Z,2011,2011-06-02T00:00:00Z,1899-12-31T17:51:00Z,153,14.134,"NA",NA,"NA",2755.6,"NA",NA,"NA",22,5,2,51
2011-06-03T12:11:00Z,2011,2011-06-03T00:00:00Z,1899-12-31T12:11:00Z,154,14.613,"NA",NA,"NA",5511.1,"NA",NA,"NA",22,6,3,11
2011-06-03T12:21:00Z,2011,2011-06-03T00:00:00Z,1899-12-31T12:21:00Z,154,14.134,"NA",NA,"NA",6200,"NA",NA,"NA",22,6,3,21
2011-06-03T12:31:00Z,2011,2011-06-03T00:00:00Z,1899-12-31T12:31:00Z,154,14.324999999999999,"NA",NA,"NA",39955.800000000003,"NA",NA,"NA",22,6,3,31
2011-06-03T12:41:00Z,2011,2011-06-03T00:00:00Z,1899-12-31T12:41:00Z,154,14.613,"NA",NA,"NA",30311.3,"NA",NA,"NA",22,6,3,41
