year,week,measure,site,max,mean,median
2009,20,light,Coffin,-Inf,NA,NA
2009,20,temp,Coffin,-Inf,NA,NA
2009,21,light,Coffin,-Inf,NA,NA
2009,21,temp,Coffin,-Inf,NA,NA
2009,22,light,Coffin,-Inf,NA,NA
2009,22,temp,Coffin,-Inf,NA,NA
2009,23,light,Coffin,-Inf,NA,NA
2009,23,temp,Coffin,-Inf,NA,NA
2009,24,light,Coffin,-Inf,NA,NA
2009,24,temp,Coffin,-Inf,NA,NA
2009,26,light,Coffin,66133.8,4113.197674418605,861.15
2009,26,temp,Coffin,22.621,20.146806553911205,20.234
2009,27,light,Coffin,55111.5,3672.8703373015874,624.3
2009,27,temp,Coffin,21.091,19.646646825396825,19.567
2009,28,light,Coffin,60622.6,NA,NA
2009,28,temp,Coffin,22.142,NA,NA
2009,29,light,Coffin,68889.3,3869.68501984127,775
2009,29,temp,Coffin,22.621,21.34838591269841,21.378
2009,30,light,Coffin,60622.6,2762.2375992063494,479
2009,30,temp,Coffin,23.966,21.879378968253967,21.76
2009,31,light,Coffin,34444.7,2340.1781746031747,452.1
2009,31,temp,Coffin,24.158,22.862935515873016,22.812
2009,32,light,Coffin,30311.3,2866.77003968254,446.70000000000005
2009,32,temp,Coffin,24.448,22.77149107142857,22.717
2009,33,light,Coffin,38578,4571.853273809524,753.5
2009,33,temp,Coffin,25.805,23.98258134920635,23.869
2009,34,light,Coffin,37200.2,2155.3762896825397,252.95
2009,34,temp,Coffin,26.195,24.89187896825397,24.835
2009,35,light,Coffin,52355.9,NA,NA
2009,35,temp,Coffin,24.448,NA,NA
2009,36,light,Coffin,55111.5,3682.161111111111,344.4
2009,36,temp,Coffin,22.525,21.421724206349207,21.378
2009,37,light,Coffin,31689.1,2863.661507936508,236.8
2009,37,temp,Coffin,21.855,20.054624007936507,20.043
2009,38,light,Coffin,26178,2517.145958795563,10.8
2009,38,temp,Coffin,20.424,18.603083993660857,18.711
2009,20,light,Fichter,-Inf,NA,NA
2009,20,temp,Fichter,-Inf,NA,NA
2009,21,light,Fichter,-Inf,NA,NA
2009,21,temp,Fichter,-Inf,NA,NA
2009,22,light,Fichter,-Inf,NA,NA
2009,22,temp,Fichter,-Inf,NA,NA
2009,23,light,Fichter,-Inf,NA,NA
2009,23,temp,Fichter,-Inf,NA,NA
2009,24,light,Fichter,-Inf,NA,NA
2009,24,temp,Fichter,-Inf,NA,NA
2009,26,light,Fichter,7577.8,NA,NA
2009,26,temp,Fichter,19.377,NA,NA
2009,27,light,Fichter,-Inf,NA,NA
2009,27,temp,Fichter,-Inf,NA,NA
2009,28,light,Fichter,-Inf,NA,NA
2009,28,temp,Fichter,-Inf,NA,NA
2009,29,light,Fichter,-Inf,NA,NA
2009,29,temp,Fichter,-Inf,NA,NA
2009,30,light,Fichter,-Inf,NA,NA
2009,30,temp,Fichter,-Inf,NA,NA
2009,31,light,Fichter,-Inf,NA,NA
2009,31,temp,Fichter,-Inf,NA,NA
2009,32,light,Fichter,-Inf,NA,NA
2009,32,temp,Fichter,-Inf,NA,NA
2009,33,light,Fichter,-Inf,NA,NA
2009,33,temp,Fichter,-Inf,NA,NA
2009,34,light,Fichter,-Inf,NA,NA
2009,34,temp,Fichter,-Inf,NA,NA
2009,35,light,Fichter,-Inf,NA,NA
2009,35,temp,Fichter,-Inf,NA,NA
2009,36,light,Fichter,-Inf,NA,NA
2009,36,temp,Fichter,-Inf,NA,NA
2009,37,light,Fichter,-Inf,NA,NA
2009,37,temp,Fichter,-Inf,NA,NA
2009,38,light,Fichter,-Inf,NA,NA
2009,38,temp,Fichter,-Inf,NA,NA
2009,20,light,Midge,121245.2,4492.803201024328,1119.5
2009,20,temp,Midge,15.664,13.327966709346992,12.98
2009,21,light,Midge,209423.6,4280.819940476191,1087.2
