datetime,year,date,time,dayofyr,coffin,fichter,newbury,midge,coffin_flag,fichter_flag,newbury_flag,midge_flag
2006-07-13 18:00,2006,2006-07-13,18:00:00,194,NA,NA,NA,23.72,,,,
2006-07-13 19:00,2006,2006-07-13,19:00:00,194,NA,NA,NA,23.89,,,,
2006-07-13 20:00,2006,2006-07-13,20:00:00,194,NA,NA,NA,23.89,,,,
2006-07-13 21:00,2006,2006-07-13,21:00:00,194,NA,NA,NA,24.06,,,,
2006-07-13 22:00,2006,2006-07-13,22:00:00,194,NA,NA,NA,24.24,,,,
2006-07-13 23:00,2006,2006-07-13,23:00:00,194,NA,NA,NA,24.06,,,,
2006-07-14 00:00,2006,2006-07-14,0:00:00,195,NA,NA,NA,24.06,,,,
2006-07-14 01:00,2006,2006-07-14,1:00:00,195,NA,NA,NA,23.89,,,,
2006-07-14 02:00,2006,2006-07-14,2:00:00,195,NA,NA,NA,23.89,,,,
2006-07-14 03:00,2006,2006-07-14,3:00:00,195,NA,NA,NA,23.72,,,,
2006-07-14 04:00,2006,2006-07-14,4:00:00,195,NA,NA,NA,23.72,,,,
2006-07-14 05:00,2006,2006-07-14,5:00:00,195,NA,NA,NA,23.72,,,,
2006-07-14 06:00,2006,2006-07-14,6:00:00,195,NA,NA,NA,23.55,,,,
2006-07-14 07:00,2006,2006-07-14,7:00:00,195,NA,NA,NA,23.55,,,,
2006-07-14 08:00,2006,2006-07-14,8:00:00,195,NA,NA,NA,23.72,,,,
2006-07-14 09:00,2006,2006-07-14,9:00:00,195,NA,NA,NA,23.72,,,,
2006-07-14 10:00,2006,2006-07-14,10:00:00,195,NA,NA,NA,23.72,,,,
2006-07-14 11:00,2006,2006-07-14,11:00:00,195,NA,NA,NA,23.72,,,,
2006-07-14 12:00,2006,2006-07-14,12:00:00,195,NA,NA,NA,23.89,,,,
2006-07-14 13:00,2006,2006-07-14,13:00:00,195,NA,NA,NA,24.24,,,,
2006-07-14 14:00,2006,2006-07-14,14:00:00,195,NA,NA,NA,24.41,,,,
2006-07-14 15:00,2006,2006-07-14,15:00:00,195,NA,NA,NA,24.76,,,,
2006-07-14 16:00,2006,2006-07-14,16:00:00,195,NA,NA,NA,24.93,,,,
2006-07-14 17:00,2006,2006-07-14,17:00:00,195,NA,NA,NA,25.11,,,,
2006-07-14 18:00,2006,2006-07-14,18:00:00,195,NA,NA,NA,25.45,,,,
2006-07-14 19:00,2006,2006-07-14,19:00:00,195,NA,NA,NA,25.45,,,,
2006-07-14 20:00,2006,2006-07-14,20:00:00,195,NA,NA,NA,25.45,,,,
2006-07-14 21:00,2006,2006-07-14,21:00:00,195,NA,NA,NA,25.11,,,,
2006-07-14 22:00,2006,2006-07-14,22:00:00,195,NA,NA,NA,25.11,,,,
2006-07-14 23:00,2006,2006-07-14,23:00:00,195,NA,NA,NA,24.24,,,,
2006-07-15 00:00,2006,2006-07-15,0:00:00,196,NA,NA,NA,24.24,,,,
2006-07-15 01:00,2006,2006-07-15,1:00:00,196,NA,NA,NA,24.06,,,,
2006-07-15 02:00,2006,2006-07-15,2:00:00,196,NA,NA,NA,23.89,,,,
2006-07-15 03:00,2006,2006-07-15,3:00:00,196,NA,NA,NA,24.06,,,,
2006-07-15 04:00,2006,2006-07-15,4:00:00,196,NA,NA,NA,24.06,,,,
2006-07-15 05:00,2006,2006-07-15,5:00:00,196,NA,NA,NA,24.06,,,,
2006-07-15 06:00,2006,2006-07-15,6:00:00,196,NA,NA,NA,24.06,,,,
2006-07-15 07:00,2006,2006-07-15,7:00:00,196,NA,NA,NA,24.24,,,,
2006-07-15 08:00,2006,2006-07-15,8:00:00,196,NA,NA,NA,24.06,,,,
2006-07-15 09:00,2006,2006-07-15,9:00:00,196,NA,NA,NA,24.06,,,,
2006-07-15 10:00,2006,2006-07-15,10:00:00,196,NA,NA,NA,24.24,,,,
2006-07-15 11:00,2006,2006-07-15,11:00:00,196,NA,NA,NA,24.24,,,,
2006-07-15 12:00,2006,2006-07-15,12:00:00,196,NA,NA,NA,24.24,,,,
2006-07-15 13:00,2006,2006-07-15,13:00:00,196,NA,NA,NA,24.24,,,,
2006-07-15 14:00,2006,2006-07-15,14:00:00,196,NA,NA,NA,24.41,,,,
2006-07-15 15:00,2006,2006-07-15,15:00:00,196,NA,NA,NA,24.58,,,,
2006-07-15 16:00,2006,2006-07-15,16:00:00,196,NA,NA,NA,24.76,,,,
2006-07-15 17:00,2006,2006-07-15,17:00:00,196,NA,NA,NA,25.11,,,,
2006-07-15 18:00,2006,2006-07-15,18:00:00,196,NA,NA,NA,25.45,,,,
2006-07-15 19:00,2006,2006-07-15,19:00:00,196,NA,NA,NA,25.45,,,,
2006-07-15 20:00,2006,2006-07-15,20:00:00,196,NA,NA,NA,25.45,,,,
2006-07-15 21:00,2006,2006-07-15,21:00:00,196,NA,NA,NA,25.45,,,,
2006-07-15 22:00,2006,2006-07-15,22:00:00,196,NA,NA,NA,25.28,,,,
2006-07-15 23:00,2006,2006-07-15,23:00:00,196,NA,NA,NA,25.28,,,,
2006-07-16 00:00,2006,2006-07-16,0:00:00,197,NA,NA,NA,25.28,,,,
2006-07-16 01:00,2006,2006-07-16,1:00:00,197,NA,NA,NA,25.28,,,,
2006-07-16 02:00,2006,2006-07-16,2:00:00,197,NA,NA,NA,25.11,,,,
2006-07-16 03:00,2006,2006-07-16,3:00:00,197,NA,NA,NA,25.11,,,,
2006-07-16 04:00,2006,2006-07-16,4:00:00,197,NA,NA,NA,25.11,,,,
2006-07-16 05:00,2006,2006-07-16,5:00:00,197,NA,NA,NA,25.11,,,,
2006-07-16 06:00,2006,2006-07-16,6:00:00,197,NA,NA,NA,25.11,,,,
2006-07-16 07:00,2006,2006-07-16,7:00:00,197,NA,NA,NA,24.93,,,,
2006-07-16 08:00,2006,2006-07-16,8:00:00,197,NA,NA,NA,25.11,,,,
2006-07-16 09:00,2006,2006-07-16,9:00:00,197,NA,NA,NA,25.11,,,,
2006-07-16 10:00,2006,2006-07-16,10:00:00,197,NA,NA,NA,25.28,,,,
2006-07-16 11:00,2006,2006-07-16,11:00:00,197,NA,NA,NA,25.28,,,,
2006-07-16 12:00,2006,2006-07-16,12:00:00,197,NA,NA,NA,25.45,,,,
2006-07-16 13:00,2006,2006-07-16,13:00:00,197,NA,NA,NA,25.62,,,,
2006-07-16 14:00,2006,2006-07-16,14:00:00,197,NA,NA,NA,25.79,,,,
2006-07-16 15:00,2006,2006-07-16,15:00:00,197,NA,NA,NA,25.97,,,,
2006-07-16 16:00,2006,2006-07-16,16:00:00,197,NA,NA,NA,26.14,,,,
2006-07-16 17:00,2006,2006-07-16,17:00:00,197,NA,NA,NA,26.32,,,,
2006-07-16 18:00,2006,2006-07-16,18:00:00,197,NA,NA,NA,25.79,,,,
2006-07-16 19:00,2006,2006-07-16,19:00:00,197,NA,NA,NA,25.97,,,,
2006-07-16 20:00,2006,2006-07-16,20:00:00,197,NA,NA,NA,24.93,,,,
2006-07-16 21:00,2006,2006-07-16,21:00:00,197,NA,NA,NA,24.06,,,,
2006-07-16 22:00,2006,2006-07-16,22:00:00,197,NA,NA,NA,24.24,,,,
2006-07-16 23:00,2006,2006-07-16,23:00:00,197,NA,NA,NA,24.24,,,,
2006-07-17 00:00,2006,2006-07-17,0:00:00,198,NA,NA,NA,24.58,,,,
2006-07-17 01:00,2006,2006-07-17,1:00:00,198,NA,NA,NA,24.93,,,,
2006-07-17 02:00,2006,2006-07-17,2:00:00,198,NA,NA,NA,24.58,,,,
2006-07-17 03:00,2006,2006-07-17,3:00:00,198,NA,NA,NA,25.11,,,,
2006-07-17 04:00,2006,2006-07-17,4:00:00,198,NA,NA,NA,24.93,,,,
2006-07-17 05:00,2006,2006-07-17,5:00:00,198,NA,NA,NA,24.41,,,,
2006-07-17 06:00,2006,2006-07-17,6:00:00,198,NA,NA,NA,24.06,,,,
2006-07-17 07:00,2006,2006-07-17,7:00:00,198,NA,NA,NA,24.24,,,,
2006-07-17 08:00,2006,2006-07-17,8:00:00,198,NA,NA,NA,23.72,,,,
2006-07-17 09:00,2006,2006-07-17,9:00:00,198,NA,NA,NA,24.06,,,,
2006-07-17 10:00,2006,2006-07-17,10:00:00,198,NA,NA,NA,24.06,,,,
2006-07-17 11:00,2006,2006-07-17,11:00:00,198,NA,NA,NA,24.24,,,,
2006-07-17 12:00,2006,2006-07-17,12:00:00,198,NA,NA,NA,24.93,,,,
2006-07-17 13:00,2006,2006-07-17,13:00:00,198,NA,NA,NA,25.79,,,,
2006-07-17 14:00,2006,2006-07-17,14:00:00,198,NA,NA,NA,26.14,,,,
2006-07-17 15:00,2006,2006-07-17,15:00:00,198,NA,NA,NA,26.67,,,,
2006-07-17 16:00,2006,2006-07-17,16:00:00,198,NA,NA,NA,26.14,,,,
2006-07-17 17:00,2006,2006-07-17,17:00:00,198,NA,NA,NA,26.32,,,,
2006-07-17 18:00,2006,2006-07-17,18:00:00,198,NA,NA,NA,26.67,,,,
2006-07-17 19:00,2006,2006-07-17,19:00:00,198,NA,NA,NA,27.92,,,,
2006-07-17 20:00,2006,2006-07-17,20:00:00,198,NA,NA,NA,27.92,,,,
2006-07-17 21:00,2006,2006-07-17,21:00:00,198,NA,NA,NA,27.38,,,,
2006-07-17 22:00,2006,2006-07-17,22:00:00,198,NA,NA,NA,27.38,,,,
2006-07-17 23:00,2006,2006-07-17,23:00:00,198,NA,NA,NA,27.38,,,,
2006-07-18 00:00,2006,2006-07-18,0:00:00,199,NA,NA,NA,26.32,,,,
2006-07-18 01:00,2006,2006-07-18,1:00:00,199,NA,NA,NA,27.02,,,,
2006-07-18 02:00,2006,2006-07-18,2:00:00,199,NA,NA,NA,27.02,,,,
2006-07-18 03:00,2006,2006-07-18,3:00:00,199,NA,NA,NA,27.38,,,,
2006-07-18 04:00,2006,2006-07-18,4:00:00,199,NA,NA,NA,27.38,,,,
2006-07-18 05:00,2006,2006-07-18,5:00:00,199,NA,NA,NA,27.02,,,,
2006-07-18 06:00,2006,2006-07-18,6:00:00,199,NA,NA,NA,27.2,,,,
