site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,week
Coffin,2007-06-21T00:00:00Z,2007,6,21,172,0,0,0,"NA",24
Coffin,2007-06-28T00:00:00Z,2007,6,28,179,0.0424416242,0,0.0424416242,4.24416242E-2,25
Coffin,2007-07-05T00:00:00Z,2007,7,5,186,0,0,0,-4.24416242E-2,26
Coffin,2007-07-12T00:00:00Z,2007,7,12,193,0.007073604,0,0.007073604,7.0736039999999998E-3,27
Coffin,2007-07-19T00:00:00Z,2007,7,19,200,0.0282944161,0,0.0282944161,2.12208121E-2,28
Coffin,2007-07-26T00:00:00Z,2007,7,26,207,0.205134517,0,0.205134517,0.17684010089999999,29
Coffin,2007-08-02T00:00:00Z,2007,8,2,214,0.9266421283,0.63662436300000003,1.5632664913,1.3581319743,30
Coffin,2007-08-09T00:00:00Z,2007,8,9,221,0.1697664968,2.12208121E-2,0.1909873089,-1.3722791824,31
Coffin,2007-08-16T00:00:00Z,2007,8,16,228,1.3934999945,5.2556877966000002,6.6491877911,6.4582004822000005,32
Coffin,2007-08-23T00:00:00Z,2007,8,23,235,0.7285812154,"NA",0.7285812154,-5.9206065756999999,33
Coffin,2007-08-30T00:00:00Z,2007,8,30,242,0.1414720807,0,0.1414720807,-0.58710913469999992,34
Coffin,2007-09-06T00:00:00Z,2007,9,6,249,0.0424416242,0,0.0424416242,-9.9030456500000003E-2,35
Coffin,2007-09-13T00:00:00Z,2007,9,13,256,4.7463883062,0,4.7463883062,4.7039466819999998,36
Coffin,2007-09-20T00:00:00Z,2007,9,20,263,0.0778096444,0,0.0778096444,-4.6685786617999998,37
Coffin,2008-06-12T00:00:00Z,2008,6,12,164,0.0565888323,0,0.0565888323,-2.12208121E-2,23
Coffin,2008-06-19T00:00:00Z,2008,6,19,171,0.0353680202,0,0.0353680202,-2.12208121E-2,24
Coffin,2008-06-26T00:00:00Z,2008,6,26,178,0.0636624363,0,0.0636624363,2.8294416099999997E-2,25
Coffin,2008-07-03T00:00:00Z,2008,7,3,185,0.0212208121,0,0.0212208121,-4.24416242E-2,26
Coffin,2008-07-10T00:00:00Z,2008,7,10,192,0.0990304565,0,0.0990304565,7.7809644400000003E-2,27
Coffin,2008-07-17T00:00:00Z,2008,7,17,199,0.1414720807,0,0.1414720807,4.24416242E-2,28
Coffin,2008-07-24T00:00:00Z,2008,7,24,206,1.0044517727,7.0736039999999998E-3,1.0115253767,0.87005329600000003,29
Coffin,2008-07-31T00:00:00Z,2008,7,31,213,0.6224771549,0,0.6224771549,-0.38904822179999998,30
Coffin,2008-08-07T00:00:00Z,2008,8,7,220,1.1954390816,7.0736039999999998E-3,1.2025126856,0.58003553069999991,31
Coffin,2008-08-14T00:00:00Z,2008,8,14,227,0.2475761412,1.4147208099999999E-2,0.2617233492,-0.94078933639999995,32
Coffin,2008-08-21T00:00:00Z,2008,8,21,234,0.0282944161,7.0736039999999998E-3,0.0353680202,-0.22635532899999999,33
Coffin,2008-08-26T00:00:00Z,2008,8,26,239,0.007073604,0,0.007073604,-2.8294416200000002E-2,34
Coffin,2008-09-04T00:00:00Z,2008,9,4,248,0.4527106581,0,0.4527106581,0.44563705409999999,35
Coffin,2008-09-10T00:00:00Z,2008,9,10,254,0.0141472081,0,0.0141472081,-0.43856345000000002,36
Coffin,2008-09-17T00:00:00Z,2008,9,17,261,0.0565888323,0,0.0565888323,4.24416242E-2,37
Coffin,2008-09-24T00:00:00Z,2008,9,24,268,0.0565888323,0,0.0565888323,0,38
Coffin,2009-05-15T00:00:00Z,2009,5,15,135,0,0,0,-5.6588832300000003E-2,19
Coffin,2009-05-29T00:00:00Z,2009,5,29,149,0.0141472081,0,0.0141472081,1.4147208099999999E-2,21
Coffin,2009-06-04T00:00:00Z,2009,6,4,155,0.007073604,0,0.007073604,-7.0736040999999994E-3,22
Coffin,2009-06-17T00:00:00Z,2009,6,17,168,0.0282944161,0,0.0282944161,2.12208121E-2,24
Coffin,2009-06-25T00:00:00Z,2009,6,25,176,0,0,0,-2.8294416100000001E-2,25
Coffin,2009-07-02T00:00:00Z,2009,7,2,183,0.0636624363,1.4147208099999999E-2,0.0778096444,7.7809644400000003E-2,26
Coffin,2009-07-09T00:00:00Z,2009,7,9,190,0.1131776645,2.12208121E-2,0.1343984766,5.6588832200000008E-2,27
Coffin,2009-07-16T00:00:00Z,2009,7,16,197,0.0424416242,0,0.0424416242,-9.1956852399999997E-2,28
Coffin,2009-07-23T00:00:00Z,2009,7,23,204,0.0282944161,0,0.0282944161,-1.4147208099999999E-2,29
Coffin,2009-07-30T00:00:00Z,2009,7,30,211,0.0565888323,0,0.0565888323,2.8294416200000002E-2,30
Coffin,2009-08-06T00:00:00Z,2009,8,6,218,0.0424416242,7.0736039999999998E-3,0.0495152282,-7.0736041000000055E-3,31
Coffin,2009-08-13T00:00:00Z,2009,8,13,225,0.1909873089,0,0.1909873089,0.1414720807,32
Coffin,2009-08-20T00:00:00Z,2009,8,20,232,0.1839137049,7.0736039999999998E-3,0.1909873089,0,33
Coffin,2009-08-27T00:00:00Z,2009,8,27,239,0.1909873089,0,0.1909873089,0,34
Coffin,2009-09-01T00:00:00Z,2009,9,1,244,0.0353680202,0,0.0353680202,-0.15561928870000002,35
Coffin,2009-09-08T00:00:00Z,2009,9,8,251,0.3536802017,7.0736039999999998E-3,0.3607538057,0.32538578549999997,36
Coffin,2009-09-15T00:00:00Z,2009,9,15,258,0.2334289331,0,0.2334289331,-0.12732487259999997,37
Coffin,2009-09-21T00:00:00Z,2009,9,21,264,0.0212208121,0,0.0212208121,-0.21220812100000003,38
Coffin,2009-10-05T00:00:00Z,2009,10,5,278,0.1414720807,0,0.1414720807,0.1202512686,40
Coffin,2010-04-15T00:00:00Z,2010,4,15,105,0.0424416242,0,0.0424416242,-9.9030456500000003E-2,15
Coffin,2010-04-30T00:00:00Z,2010,4,30,120,0.0141472081,0,0.0141472081,-2.8294416100000001E-2,17
Coffin,2010-05-25T00:00:00Z,2010,5,25,145,0.0495152282,0,0.0495152282,3.5368020099999994E-2,21
Coffin,2010-06-04T00:00:00Z,2010,6,4,155,0.007073604,0,0.007073604,-4.24416242E-2,22
Coffin,2010-06-10T00:00:00Z,2010,6,10,161,0.0282944161,7.0736039999999998E-3,0.0353680202,2.8294416200000002E-2,23
Coffin,2010-06-15T00:00:00Z,2010,6,15,166,0,0,0,-3.5368020200000003E-2,24
Coffin,2010-06-24T00:00:00Z,2010,6,24,175,0.0495152282,7.0736039999999998E-3,0.0565888323,5.6588832300000003E-2,25
Coffin,2010-07-01T00:00:00Z,2010,7,1,182,0.1131776645,0,0.1131776645,5.6588832199999994E-2,26
Coffin,2010-07-08T00:00:00Z,2010,7,8,189,2.1079340019,0.38197461780000003,2.4899086196,2.3767309551000002,27
Coffin,2010-07-15T00:00:00Z,2010,7,15,196,1.3156903502,0.44563705409999999,1.7613274042,-0.72858121539999998,28
Coffin,2010-07-22T00:00:00Z,2010,7,22,203,0.1980609129,4.9515228199999997E-2,0.2475761412,-1.5137512630000001,29
Coffin,2010-07-29T00:00:00Z,2010,7,29,210,0.0495152282,0,0.0495152282,-0.19806091300000001,30
Coffin,2010-08-05T00:00:00Z,2010,8,5,217,0.1202512686,8.48832484E-2,0.205134517,0.15561928879999998,31
Coffin,2010-08-12T00:00:00Z,2010,8,12,224,0.2758705573,2.12208121E-2,0.2970913694,9.1956852400000039E-2,32
Coffin,2010-08-19T00:00:00Z,2010,8,19,231,0.0424416242,0,0.0424416242,-0.25464974520000005,33
Coffin,2010-08-26T00:00:00Z,2010,8,26,238,0.3678274097,7.0736039999999998E-3,0.3749010138,0.33245938959999999,34
Coffin,2010-09-02T00:00:00Z,2010,9,2,245,0.7002867993,0,0.7002867993,0.32538578550000002,35
Coffin,2010-09-09T00:00:00Z,2010,9,9,252,0,0,0,-0.70028679930000004,36
Coffin,2010-09-16T00:00:00Z,2010,9,16,259,0.0141472081,0,0.0141472081,1.4147208099999999E-2,37
Coffin,2010-09-22T00:00:00Z,2010,9,22,265,0.0424416242,0,0.0424416242,2.8294416100000001E-2,38
Coffin,2010-09-30T00:00:00Z,2010,9,30,273,0,0,0,-4.24416242E-2,39
Coffin,2010-10-07T00:00:00Z,2010,10,7,280,0.007073604,0,0.007073604,7.0736039999999998E-3,40
Coffin,2011-04-28T00:00:00Z,2011,4,28,118,0,0,0,-7.0736039999999998E-3,17
Coffin,2011-05-05T00:00:00Z,2011,5,5,125,0,0,0,0,18
Coffin,2011-05-12T00:00:00Z,2011,5,12,132,0,0,0,0,19
Coffin,2011-05-19T00:00:00Z,2011,5,19,139,0,0,0,0,20
Coffin,2011-05-26T00:00:00Z,2011,5,26,146,0,0,0,0,21
Coffin,2011-06-02T00:00:00Z,2011,6,2,153,0,0,0,0,22
Coffin,2011-06-10T00:00:00Z,2011,6,10,161,0,0,0,0,23
Coffin,2011-06-16T00:00:00Z,2011,6,16,167,0,0,0,0,24
Coffin,2011-06-23T00:00:00Z,2011,6,23,174,0.0141472081,0,0.0141472081,1.4147208099999999E-2,25
Coffin,2011-06-30T00:00:00Z,2011,6,30,181,0,0,0,-1.4147208099999999E-2,26
Coffin,2011-07-07T00:00:00Z,2011,7,7,188,0,0,0,0,27
Coffin,2011-07-14T00:00:00Z,2011,7,14,195,0.0282944161,0,0.0282944161,2.8294416100000001E-2,28
Coffin,2011-07-21T00:00:00Z,2011,7,21,202,0.0707360403,7.0736039999999998E-3,0.0778096444,4.9515228300000005E-2,29
Coffin,2011-07-28T00:00:00Z,2011,7,28,209,0.5517411146,0.1697664968,0.7215076114,0.64369796699999993,30
Coffin,2011-08-04T00:00:00Z,2011,8,4,216,0.7073604033,7.0736040299999997E-2,0.7780964436,5.6588832199999994E-2,31
Coffin,2011-08-11T00:00:00Z,2011,8,11,223,1.7825482163,0.89127410819999997,2.6738223245,1.8957258809000002,32
Coffin,2011-08-18T00:00:00Z,2011,8,18,230,0.5234466984,7.7809644400000003E-2,0.6012563428,-2.0725659817000004,33
Coffin,2011-08-25T00:00:00Z,2011,8,25,237,0.9903045646,0.1131776645,1.1034822292,0.50222588639999999,34
Coffin,2011-09-01T00:00:00Z,2011,9,1,244,2.2140380624,0,2.2140380624,1.1105558331999998,35
Coffin,2011-09-08T00:00:00Z,2011,9,8,251,1.5632664913,0,1.5632664913,-0.65077157109999972,36
Coffin,2011-09-15T00:00:00Z,2011,9,15,258,0.0282944161,0,0.0282944161,-1.5349720752,37
