site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,date_insitu,chl,sd,depth,layer,ph,tp,cond,turbidity
Midge,2005-07-21T00:00:00Z,2005,7,29,21,202,0.077809644,NA,0.077809644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-07-28T00:00:00Z,2005,7,30,28,209,0.452710658,NA,0.452710658,0.374901014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-04T00:00:00Z,2005,8,31,4,216,0.113177665,NA,0.113177665,-0.339532994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-11T00:00:00Z,2005,8,32,11,223,1.152997457,NA,1.152997457,1.039819793,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-18T00:00:00Z,2005,8,33,18,230,0.657845175,NA,0.657845175,-0.495152282,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-25T00:00:00Z,2005,8,34,25,237,0.488078678,NA,0.488078678,-0.169766497,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-03T00:00:00Z,2005,9,35,3,246,1.817916237,NA,1.817916237,1.329837558,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-12T00:00:00Z,2005,9,37,12,255,3.232637043,NA,3.232637043,1.414720807,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-20T00:00:00Z,2005,9,38,20,263,0.014147208,NA,0.014147208,-3.218489835,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-25T00:00:00Z,2005,9,39,25,268,0.183913705,NA,0.183913705,0.169766497,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-06-21T00:00:00Z,2006,6,25,21,172,NA,NA,NA,NA,2006-06-21T00:00:00Z,2.18,4.5,0,I,6.55,0.008,92,1.66
Midge,2006-06-29T00:00:00Z,2006,6,26,29,180,0.33245939,NA,0.33245939,0.148545685,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-06T00:00:00Z,2006,7,27,6,187,0.275870557,NA,0.275870557,-5.66E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-13T00:00:00Z,2006,7,28,13,194,2.284774103,NA,2.284774103,2.008903546,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-17T00:00:00Z,2006,7,29,17,198,3.246784251,NA,3.246784251,0.962010148,2006-07-17T00:00:00Z,1.3,4.75,7,I,6.66,0.007,90,0.71
Midge,2006-07-23T00:00:00Z,2006,7,30,23,204,0.007073604,NA,0.007073604,-3.239710647,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-31T00:00:00Z,2006,7,31,31,212,3.317520292,NA,3.317520292,3.310446688,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-07T00:00:00Z,2006,8,32,7,219,1.846210653,NA,1.846210653,-1.471309639,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-14T00:00:00Z,2006,8,33,14,226,1.068114209,NA,1.068114209,-0.778096444,2006-08-15T00:00:00Z,3.66,5.5,0,I,6.43,0.006,88.4,0.75
Midge,2006-08-21T00:00:00Z,2006,8,34,21,233,0.94786294,NA,0.94786294,-0.120251269,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-28T00:00:00Z,2006,8,35,28,240,1.124703041,NA,1.124703041,0.176840101,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-09-08T00:00:00Z,2006,9,36,8,251,2.857736029,NA,2.857736029,1.733032988,2006-09-05T00:00:00Z,4.83,5.75,11,I,6.4,0.007,89.5,1.34
Midge,2006-09-12T00:00:00Z,2006,9,37,12,255,0.346606598,NA,0.346606598,-2.511129431,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-09-18T00:00:00Z,2006,9,38,18,261,0.268796953,NA,0.268796953,-7.78E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-10-10T00:00:00Z,2006,10,41,10,283,NA,NA,NA,NA,2006-10-10T00:00:00Z,3.69,5.5,7,I,6.74,0.006,90.6,1.3
Midge,2007-06-21T00:00:00Z,2007,6,24,21,172,0,0,0,-0.268796953,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-06-28T00:00:00Z,2007,6,25,28,179,0.014147208,0,0.014147208,1.41E-02,2007-06-19T00:00:00Z,1.25,6.25,0,I,6.67,0.009,84.9,1.07
Midge,2007-07-05T00:00:00Z,2007,7,26,5,186,0.240502537,0,0.240502537,0.226355329,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-12T00:00:00Z,2007,7,27,12,193,0.056588832,1.41E-02,0.07073604,-0.169766497,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-19T00:00:00Z,2007,7,28,19,200,0.091956852,0.190987309,0.282944161,0.212208121,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-26T00:00:00Z,2007,7,29,26,207,0.551741115,0.176840101,0.728581215,0.445637054,2007-07-16T00:00:00Z,1.97,5.5,7,I,6.56,0.008,87,2.08
Midge,2007-08-02T00:00:00Z,2007,8,30,2,214,1.619855324,3.077017754,4.696873078,3.968291863,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-09T00:00:00Z,2007,8,31,9,221,5.658883227,10.56089082,16.21977405,11.52290097,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-16T00:00:00Z,2007,8,32,16,228,0.8771269,0.679065987,1.556192887,-14.66358116,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-23T00:00:00Z,2007,8,33,23,235,0.580035531,7.78E-02,0.657845175,-0.898347712,NA,NA,NA,NA,NA,NA,NA,NA,NA
