site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,wtr_temp_max,wtr_temp_mean,wtr_temp_median,water_temp_min
Midge,2005-07-21T00:00:00Z,2005,7,29,21,202,0.077809644,NA,0.077809644,NA,NA,NA,NA,NA
Midge,2005-07-28T00:00:00Z,2005,7,30,28,209,0.452710658,NA,0.452710658,0.374901014,NA,NA,NA,NA
Midge,2005-08-04T00:00:00Z,2005,8,31,4,216,0.113177665,NA,0.113177665,-0.339532994,NA,NA,NA,NA
Midge,2005-08-11T00:00:00Z,2005,8,32,11,223,1.152997457,NA,1.152997457,1.039819793,NA,NA,NA,NA
Midge,2005-08-18T00:00:00Z,2005,8,33,18,230,0.657845175,NA,0.657845175,-0.495152282,NA,NA,NA,NA
Midge,2005-08-25T00:00:00Z,2005,8,34,25,237,0.488078678,NA,0.488078678,-0.169766497,NA,NA,NA,NA
Midge,2005-09-03T00:00:00Z,2005,9,35,3,246,1.817916237,NA,1.817916237,1.329837558,NA,NA,NA,NA
Midge,2005-09-12T00:00:00Z,2005,9,37,12,255,3.232637043,NA,3.232637043,1.414720807,NA,NA,NA,NA
Midge,2005-09-20T00:00:00Z,2005,9,38,20,263,0.014147208,NA,0.014147208,-3.218489835,NA,NA,NA,NA
Midge,2005-09-25T00:00:00Z,2005,9,39,25,268,0.183913705,NA,0.183913705,0.169766497,NA,NA,NA,NA
Midge,2006-06-21T00:00:00Z,2006,6,25,21,172,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-06-29T00:00:00Z,2006,6,26,29,180,0.33245939,NA,0.33245939,0.148545685,NA,NA,NA,NA
Midge,2006-07-06T00:00:00Z,2006,7,27,6,187,0.275870557,NA,0.275870557,-5.66E-02,NA,NA,NA,NA
Midge,2006-07-13T00:00:00Z,2006,7,28,13,194,2.284774103,NA,2.284774103,2.008903546,NA,NA,NA,NA
Midge,2006-07-17T00:00:00Z,2006,7,29,17,198,3.246784251,NA,3.246784251,0.962010148,28.09,26.1714881,26.32,23.72
Midge,2006-07-23T00:00:00Z,2006,7,30,23,204,0.007073604,NA,0.007073604,-3.239710647,26.67,25.03690476,24.93,23.04
Midge,2006-07-31T00:00:00Z,2006,7,31,31,212,3.317520292,NA,3.317520292,3.310446688,27.38,26.19309524,26.14,24.93
Midge,2006-08-07T00:00:00Z,2006,8,32,7,219,1.846210653,NA,1.846210653,-1.471309639,26.49,24.86571429,25.11,22.87
Midge,2006-08-14T00:00:00Z,2006,8,33,14,226,1.068114209,NA,1.068114209,-0.778096444,23.55,22.73017857,22.71,21.87
Midge,2006-08-21T00:00:00Z,2006,8,34,21,233,0.94786294,NA,0.94786294,-0.120251269,23.21,22.17011905,22.21,21.04
Midge,2006-08-28T00:00:00Z,2006,8,35,28,240,1.124703041,NA,1.124703041,0.176840101,21.37,20.20369048,20.23,18.77
Midge,2006-09-08T00:00:00Z,2006,9,36,8,251,2.857736029,NA,2.857736029,1.733032988,21.04,19.24696429,18.93,18.29
Midge,2006-09-12T00:00:00Z,2006,9,37,12,255,0.346606598,NA,0.346606598,-2.511129431,20.39,18.76095238,18.61,18.13
Midge,2006-09-18T00:00:00Z,2006,9,38,18,261,0.268796953,NA,0.268796953,-7.78E-02,NA,NA,NA,NA
Midge,2006-10-10T00:00:00Z,2006,10,41,10,283,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-06-21T00:00:00Z,2007,6,24,21,172,0,0,0,-0.268796953,NA,NA,NA,NA
Midge,2007-06-28T00:00:00Z,2007,6,25,28,179,0.014147208,0,0.014147208,1.41E-02,NA,NA,NA,NA
Midge,2007-07-05T00:00:00Z,2007,7,26,5,186,0.240502537,0,0.240502537,0.226355329,21.84,20.63684524,20.68,19.38
Midge,2007-07-12T00:00:00Z,2007,7,27,12,193,0.056588832,1.41E-02,0.07073604,-0.169766497,23.01,21.63505952,21.84,20.35
Midge,2007-07-19T00:00:00Z,2007,7,28,19,200,0.091956852,0.190987309,0.282944161,0.212208121,23.68,22.63559524,22.67,21.67
Midge,2007-07-26T00:00:00Z,2007,7,29,26,207,0.551741115,0.176840101,0.728581215,0.445637054,26.28,23.53625,23.34,21.17
Midge,2007-08-02T00:00:00Z,2007,8,30,2,214,1.619855324,3.077017754,4.696873078,3.968291863,27.17,25.41994048,25.07,22.84
Midge,2007-08-09T00:00:00Z,2007,8,31,9,221,5.658883227,10.56089082,16.21977405,11.52290097,26.46,24.52809524,24.465,23.34
Midge,2007-08-16T00:00:00Z,2007,8,32,16,228,0.8771269,0.679065987,1.556192887,-14.66358116,24.72,23.68119048,23.68,22.34
Midge,2007-08-23T00:00:00Z,2007,8,33,23,235,0.580035531,7.78E-02,0.657845175,-0.898347712,23.52,21.49928571,21.51,20.51
Midge,2007-08-30T00:00:00Z,2007,8,34,30,242,22.15452783,0.43856345,22.59309128,21.93524611,24.38,22.81107143,22.84,21.51
Midge,2007-09-06T00:00:00Z,2007,9,35,6,249,4.78882993,0,4.78882993,-17.80426135,23.01,21.59535714,21.51,20.51
Midge,2007-09-13T00:00:00Z,2007,9,36,13,256,3.466065976,0,3.466065976,-1.322763954,22.51,20.21380952,20.11,19.06
Midge,2007-09-20T00:00:00Z,2007,9,37,20,263,2.440393391,1.41E-02,2.4545406,-1.011525377,NA,NA,NA,NA
Midge,2007-10-09T00:00:00Z,2007,10,41,9,282,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-06-05T00:00:00Z,2008,6,22,5,157,0,0,0,-2.4545406,NA,NA,NA,NA
Midge,2008-06-12T00:00:00Z,2008,6,23,12,164,0.056588832,0,0.056588832,5.66E-02,NA,NA,NA,NA
Midge,2008-06-19T00:00:00Z,2008,6,24,19,171,0.572961927,0,0.572961927,0.516373094,NA,NA,NA,NA
Midge,2008-06-26T00:00:00Z,2008,6,25,26,178,0.247576141,0,0.247576141,-0.325385786,22.17,20.81142857,20.68,20.19
Midge,2008-07-03T00:00:00Z,2008,7,26,3,185,2.829441613,0.113177665,2.942619278,2.695043137,24.38,22.52886905,22.84,20.03
Midge,2008-07-10T00:00:00Z,2008,7,27,10,192,0.954936545,0,0.954936545,-1.987682733,26.64,24.99863095,24.89,22.84
Midge,2008-07-17T00:00:00Z,2008,7,28,17,199,3.727789325,0,3.727789325,2.772852781,25.76,24.50029762,24.38,23.34
Midge,2008-07-24T00:00:00Z,2008,7,29,24,206,0.523446698,7.07E-03,0.530520303,-3.197269023,24.89,23.71839286,23.86,22.51
Midge,2008-07-31T00:00:00Z,2008,7,30,31,213,10.8721294,0.113177665,10.98530706,10.45478676,25.24,24.17303571,24.21,23.34
Midge,2008-08-07T00:00:00Z,2008,8,31,7,220,1.181291874,1.41E-02,1.195439082,-9.789867981,24.38,23.02690476,22.84,22.01
Midge,2008-08-14T00:00:00Z,2008,8,32,14,227,0.222818527,3.54E-02,0.258186547,-0.937252534,23.01,22.12083333,22.01,21.34
Midge,2008-08-21T00:00:00Z,2008,8,33,21,234,0.622477155,1.41E-02,0.636624363,0.378437816,23.52,22.21672619,22.34,21.01
Midge,2008-08-26T00:00:00Z,2008,8,34,26,239,0.106104061,0,0.106104061,-0.530520303,23.86,22.26547619,22.17,20.84
Midge,2008-09-04T00:00:00Z,2008,9,35,4,248,0.749802028,0,0.749802028,0.643697967,23.17,22.05910714,22.01,20.84
Midge,2008-09-10T00:00:00Z,2008,9,36,10,254,0.014147208,0,0.014147208,-0.735654819,22.17,20.86880952,20.68,19.71
Midge,2008-09-17T00:00:00Z,2008,9,37,17,261,0.198060913,0,0.198060913,0.183913705,NA,NA,NA,NA
Midge,2008-09-24T00:00:00Z,2008,9,38,24,268,0.226355329,0,0.226355329,2.83E-02,NA,NA,NA,NA
Midge,2008-10-08T00:00:00Z,2008,10,41,8,282,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-05-15T00:00:00Z,2009,5,19,15,135,0,0,0,-0.226355329,NA,NA,NA,NA
Midge,2009-05-29T00:00:00Z,2009,5,21,29,149,0.014147208,0,0.014147208,1.41E-02,16.65,14.90065476,14.75,13.81
Midge,2009-06-04T00:00:00Z,2009,6,22,4,155,0.007073604,0,0.007073604,-7.07E-03,18.41,15.73869048,15.7,14.43
Midge,2009-06-17T00:00:00Z,2009,6,24,17,168,0.03536802,0,0.03536802,2.83E-02,19.54,17.74532738,17.93,16.33
Midge,2009-06-25T00:00:00Z,2009,6,25,25,176,0.014147208,0,0.014147208,-2.12E-02,22.51,18.76264881,17.77,16.81
Midge,2009-07-02T00:00:00Z,2009,7,26,2,183,0,0,0,-1.41E-02,20.68,19.98732143,20.03,19.06
Midge,2009-07-09T00:00:00Z,2009,7,27,9,190,0.056588832,2.12E-02,0.077809644,7.78E-02,22.17,20.08607143,19.87,19.06
Midge,2009-07-16T00:00:00Z,2009,7,28,16,197,0.205134517,7.07E-03,0.212208121,0.134398477,23.01,21.34690476,21.17,20.35
Midge,2009-07-23T00:00:00Z,2009,7,29,23,204,0.544667511,7.07E-03,0.551741115,0.339532994,23.34,21.92988095,22.01,21.01
Midge,2009-07-30T00:00:00Z,2009,7,30,30,211,0.799317256,7.07E-03,0.80639086,0.254649745,25.07,23.273125,23.01,22.01
Midge,2009-08-06T00:00:00Z,2009,8,31,6,218,0.346606598,7.07E-03,0.353680202,-0.452710658,24.55,23.53258929,23.52,22.67
Midge,2009-08-13T00:00:00Z,2009,8,32,13,225,0.07073604,0,0.07073604,-0.282944161,24.38,22.92434524,22.84,22.01
Midge,2009-08-20T00:00:00Z,2009,8,33,20,232,3.246784251,7.07E-03,3.253857855,3.183121815,26.81,25.37946429,25.42,23.34
Midge,2009-08-27T00:00:00Z,2009,8,34,27,239,0.983230961,0,0.983230961,-2.270626895,25.76,24.15098214,24.72,21.51
Midge,2009-09-01T00:00:00Z,2009,9,35,1,244,0.558814719,0,0.558814719,-0.424416242,22.67,21.60366071,21.51,20.84
Midge,2009-09-08T00:00:00Z,2009,9,36,8,251,0.261723349,0,0.261723349,-0.297091369,21.67,20.38041667,20.35,19.54
Midge,2009-09-15T00:00:00Z,2009,9,37,15,258,0.099030457,0,0.099030457,-0.162692893,20.03,19.11729167,19.38,17.44
Midge,2009-09-21T00:00:00Z,2009,9,38,21,264,4.562474601,0,4.562474601,4.463444145,NA,NA,NA,NA
Midge,2009-09-30T00:00:00Z,2009,9,39,30,273,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-10-05T00:00:00Z,2009,10,40,5,278,0.756875632,0,0.756875632,-3.80559897,NA,NA,NA,NA
Midge,2010-04-15T00:00:00Z,2010,4,15,15,105,0.028294416,0,0.028294416,-0.728581215,NA,NA,NA,NA
Midge,2010-04-30T00:00:00Z,2010,4,17,30,120,0.099030457,0,0.099030457,7.07E-02,NA,NA,NA,NA
Midge,2010-05-13T00:00:00Z,2010,5,19,13,133,0,0,0,-9.90E-02,NA,NA,NA,NA
Midge,2010-05-25T00:00:00Z,2010,5,21,25,145,0.042441624,7.07E-03,0.049515228,4.95E-02,NA,NA,NA,NA
Midge,2010-06-04T00:00:00Z,2010,6,22,4,155,0.148545685,0,0.148545685,9.90E-02,22.01,20.12470238,19.71,16.65
Midge,2010-06-10T00:00:00Z,2010,6,23,10,161,0.014147208,0,0.014147208,-0.134398477,21.67,18.94339286,18.41,17.61
Midge,2010-06-15T00:00:00Z,2010,6,24,15,166,0.021220812,0,0.021220812,7.07E-03,20.84,18.41232143,18.09,17.61
Midge,2010-06-24T00:00:00Z,2010,6,25,24,175,0.07073604,0,0.07073604,4.95E-02,23.52,21.71327381,21.755,19.71
Midge,2010-07-01T00:00:00Z,2010,7,26,1,182,1.485456847,0.43856345,1.924020297,1.853284257,23.17,22.11869048,22.17,20.84
Midge,2010-07-08T00:00:00Z,2010,7,27,8,189,0.063662436,0,0.063662436,-1.860357861,26.64,24.20267857,24.03,22.01
Midge,2010-07-15T00:00:00Z,2010,7,28,15,196,0.028294416,2.83E-02,0.056588832,-7.07E-03,27.17,26.09642857,26.11,24.72
Midge,2010-07-22T00:00:00Z,2010,7,29,22,203,0.290017765,0.198060913,0.488078678,0.431489846,26.64,25.69238095,25.76,24.55
Midge,2010-07-29T00:00:00Z,2010,7,30,29,210,0.106104061,0,0.106104061,-0.381974618,25.76,24.17357143,24.03,23.17
Midge,2010-08-05T00:00:00Z,2010,8,31,5,217,8.742974585,7.002867993,15.74584258,15.63973852,25.07,24.17220238,24.21,22.67
Midge,2010-08-12T00:00:00Z,2010,8,32,12,224,1.945241109,33.86134251,35.80658362,20.06074104,25.59,24.21166667,24.21,23.17
Midge,2010-08-19T00:00:00Z,2010,8,33,19,231,42.087944,2.256479687,44.34442368,8.537840068,24.89,24.03505952,24.03,23.34
Midge,2010-08-26T00:00:00Z,2010,8,34,26,238,4.661505058,6.37E-02,4.725167494,-39.61925619,23.34,21.77244048,21.67,21.01
Midge,2010-09-02T00:00:00Z,2010,9,35,2,245,0.495152282,0,0.495152282,-4.230015212,24.72,22.99,22.84,21.17
Midge,2010-09-09T00:00:00Z,2010,9,36,9,252,0.40319543,0,0.40319543,-9.20E-02,23.01,21.30470238,21.51,19.71
Midge,2010-09-16T00:00:00Z,2010,9,37,16,259,0.148545685,0,0.148545685,-0.254649745,20.03,18.94505952,18.9,18.09
Midge,2010-09-23T00:00:00Z,2010,9,38,23,266,0.049515228,0,0.049515228,-9.90E-02,NA,NA,NA,NA
Midge,2010-09-30T00:00:00Z,2010,9,39,30,273,0.014147208,0,0.014147208,-3.54E-02,NA,NA,NA,NA
Midge,2010-10-07T00:00:00Z,2010,10,40,7,280,0.042441624,0,0.042441624,2.83E-02,NA,NA,NA,NA
Midge,2011-04-28T00:00:00Z,2011,4,17,28,118,0,0,0,-4.24E-02,NA,NA,NA,NA
Midge,2011-05-05T00:00:00Z,2011,5,18,5,125,0,0,0,0,NA,NA,NA,NA
Midge,2011-05-12T00:00:00Z,2011,5,19,12,132,0,0,0,0,NA,NA,NA,NA
Midge,2011-05-19T00:00:00Z,2011,5,20,19,139,0,0,0,0,NA,NA,NA,NA
Midge,2011-05-26T00:00:00Z,2011,5,21,26,146,0,0,0,0,NA,NA,NA,NA
Midge,2011-06-02T00:00:00Z,2011,6,22,2,153,0.007073604,0,0.007073604,7.07E-03,NA,NA,NA,NA
Midge,2011-06-10T00:00:00Z,2011,6,23,10,161,0,0,0,-7.07E-03,23.01,18.91738095,18.5,15.55
Midge,2011-06-16T00:00:00Z,2011,6,24,16,167,0,0,0,0,20.68,18.60940476,18.09,17.29
Midge,2011-06-23T00:00:00Z,2011,6,25,23,174,0.007073604,0,0.007073604,7.07E-03,21.18,19.41232143,19.55,17.93
Midge,2011-06-30T00:00:00Z,2011,6,26,30,181,0,0,0,-7.07E-03,22.51,20.69119048,21.01,18.42
Midge,2011-07-07T00:00:00Z,2011,7,27,7,188,0,0,0,0,24.56,22.99422619,23.18,21.34
Midge,2011-07-14T00:00:00Z,2011,7,28,14,195,0.198060913,1.41E-02,0.212208121,0.212208121,25.42,24.01666667,23.86,22.34
Midge,2011-07-21T00:00:00Z,2011,7,29,21,202,0.148545685,7.07E-03,0.155619289,-5.66E-02,26.82,25.3510119,25.25,24.03
Midge,2011-07-28T00:00:00Z,2011,7,30,28,209,0.226355329,0,0.226355329,7.07E-02,26.47,24.76208333,24.56,23.86
Midge,2011-08-04T00:00:00Z,2011,8,31,4,216,0.834685276,7.07E-03,0.84175888,0.615403551,25.59,24.6735119,24.73,23.86
Midge,2011-08-11T00:00:00Z,2011,8,32,11,223,0.155619289,1.41E-02,0.169766497,-0.671992383,25.42,24.31702381,24.21,23.35
Midge,2011-08-18T00:00:00Z,2011,8,33,18,230,3.232637043,0.870053296,4.102690339,3.932923842,24.73,23.16309524,23.35,21.68
Midge,2011-08-25T00:00:00Z,2011,8,34,25,237,2.334289331,4.95E-02,2.383804559,-1.71888578,24.21,22.92208333,22.84,22.01
Midge,2011-09-01T00:00:00Z,2011,9,35,1,244,1.053967001,0,1.053967001,-1.329837558,23.18,21.58559524,21.51,20.36
Midge,2011-09-08T00:00:00Z,2011,9,36,8,251,0.459784262,0,0.459784262,-0.594182739,23.69,21.88404762,21.34,20.52
Midge,2011-09-15T00:00:00Z,2011,9,37,15,258,0.056588832,0,0.056588832,-0.40319543,22.34,20.74041667,20.84,18.9
Midge,2011-09-22T00:00:00Z,2011,9,38,22,265,0.014147208,0,0.014147208,-4.24E-02,NA,NA,NA,NA
Midge,2011-09-29T00:00:00Z,2011,9,39,29,272,0,0,0,-1.41E-02,NA,NA,NA,NA
Midge,2011-10-06T00:00:00Z,2011,10,40,6,279,0,0,0,0,NA,NA,NA,NA
Midge,2012-02-16T00:00:00Z,2012,2,7,16,47,0,0,0,0,NA,NA,NA,NA
Midge,2012-02-16T00:00:00Z,2012,2,7,16,47,0,0,0,0,NA,NA,NA,NA
Midge,2012-03-29T00:00:00Z,2012,3,13,29,89,0,0,0,0,NA,NA,NA,NA
Midge,2012-04-13T00:00:00Z,2012,4,15,13,104,0,0,0,0,NA,NA,NA,NA
Midge,2012-04-19T00:00:00Z,2012,4,16,19,110,0,0,0,0,NA,NA,NA,NA
Midge,2012-05-03T00:00:00Z,2012,5,18,3,124,0,0,0,0,NA,NA,NA,NA
Midge,2012-05-10T00:00:00Z,2012,5,19,10,131,0,0,0,0,NA,NA,NA,NA
Midge,2012-05-17T00:00:00Z,2012,5,20,17,138,0,0,0,0,NA,NA,NA,NA
Midge,2012-05-24T00:00:00Z,2012,5,21,24,145,0,0,0,0,NA,NA,NA,NA
Midge,2012-05-31T00:00:00Z,2012,5,22,31,152,0,0,0,0,21.34,19.49125,19.54,16.65
