site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,date_insitu,chl,sd,depth,layer,ph,tp,cond,turbidity
Newbury,2005-07-21T00:00:00Z,2005,7,29,21,202,0.021220812,NA,0.021220812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2005-07-28T00:00:00Z,2005,7,30,28,209,0.007073604,NA,0.007073604,-1.41E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2005-08-04T00:00:00Z,2005,8,31,4,216,0,NA,0,-7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2005-08-11T00:00:00Z,2005,8,32,11,223,0.353680202,NA,0.353680202,0.353680202,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2005-08-18T00:00:00Z,2005,8,33,18,230,0.148545685,NA,0.148545685,-0.205134517,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2005-08-25T00:00:00Z,2005,8,34,25,237,2.015977149,NA,2.015977149,1.867431465,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2005-09-03T00:00:00Z,2005,9,35,3,246,0.84175888,NA,0.84175888,-1.174218269,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2005-09-12T00:00:00Z,2005,9,37,12,255,11.84121315,NA,11.84121315,10.99945427,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2005-09-20T00:00:00Z,2005,9,38,20,263,0.084883248,NA,0.084883248,-11.7563299,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2006-06-30T00:00:00Z,2006,6,26,30,181,NA,NA,NA,NA,2006-06-30T00:00:00Z,NA,NA,6,I,NA,0.006,NA,NA
Newbury,2006-07-17T00:00:00Z,2006,7,29,17,198,NA,NA,NA,NA,2006-07-17T00:00:00Z,0.14,6.25,6,I,6.63,0.006,86,1.11
Newbury,2006-08-14T00:00:00Z,2006,8,33,14,226,NA,NA,NA,NA,2006-08-14T00:00:00Z,3.64,6.3,6,I,6.52,0.01,86.1,4.16
Newbury,2006-09-06T00:00:00Z,2006,9,36,6,249,NA,NA,NA,NA,2006-09-06T00:00:00Z,4.47,5.65,6,I,6.73,0.008,86.7,0.8
Newbury,2006-10-03T00:00:00Z,2006,10,40,3,276,NA,NA,NA,NA,2006-10-03T00:00:00Z,4.95,5.5,0,I,6.58,0.007,87.2,2.33
Newbury,2007-06-19T00:00:00Z,2007,6,25,19,170,NA,NA,NA,NA,2007-06-19T00:00:00Z,1.28,7.15,0,I,6.46,0.008,82.4,1.6
Newbury,2007-07-05T00:00:00Z,2007,7,26,5,186,0.028294416,2.83E-02,0.056588832,-2.83E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2007-07-12T00:00:00Z,2007,7,27,12,193,0,0,0,-5.66E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2007-07-19T00:00:00Z,2007,7,28,19,200,0.056588832,0,0.056588832,5.66E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2007-07-26T00:00:00Z,2007,7,29,26,207,0.063662436,7.07E-03,0.07073604,1.41E-02,2007-07-17T00:00:00Z,1.83,6.85,0,I,6.52,0.006,83.1,0.8
Newbury,2007-08-02T00:00:00Z,2007,8,30,2,214,4.484664957,0,4.484664957,4.413928917,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2007-08-09T00:00:00Z,2007,8,31,9,221,0.671992383,0,0.671992383,-3.812672574,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2007-08-16T00:00:00Z,2007,8,32,16,228,2.221111666,0,2.221111666,1.549119283,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2007-08-23T00:00:00Z,2007,8,33,23,235,2.044271566,0,2.044271566,-0.176840101,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2007-08-30T00:00:00Z,2007,8,34,30,242,13.53180452,0,13.53180452,11.48753295,2007-08-22T00:00:00Z,1.47,6.25,0,I,6.99,0.006,84,1.7
Newbury,2007-09-06T00:00:00Z,2007,9,35,6,249,28.90274608,0,28.90274608,15.37094156,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2007-09-13T00:00:00Z,2007,9,36,13,256,10.97823346,0,10.97823346,-17.92451262,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2007-09-20T00:00:00Z,2007,9,37,20,263,1.223733498,0,1.223733498,-9.754499961,2007-09-18T00:00:00Z,2.35,6.55,0,I,6.87,0.005,84.6,1.73
Newbury,2008-06-05T00:00:00Z,2008,6,22,5,157,0,0,0,-1.223733498,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-06-12T00:00:00Z,2008,6,23,12,164,0.014147208,0,0.014147208,1.41E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-06-19T00:00:00Z,2008,6,24,19,171,0.07073604,0,0.07073604,5.66E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-06-26T00:00:00Z,2008,6,25,26,178,0.353680202,7.07E-03,0.360753806,0.290017765,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-07-03T00:00:00Z,2008,7,26,3,185,0.183913705,0,0.183913705,-0.176840101,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-07-10T00:00:00Z,2008,7,27,10,192,0.190987309,7.07E-03,0.198060913,1.41E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-07-17T00:00:00Z,2008,7,28,17,199,1.167144666,0,1.167144666,0.969083753,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-07-24T00:00:00Z,2008,7,29,24,206,0.176840101,7.07E-03,0.183913705,-0.983230961,2008-07-17T00:00:00Z,0.76,6.56,0,I,7.2,0.004,90.3,3.35
Newbury,2008-07-31T00:00:00Z,2008,7,30,31,213,1.626928928,0,1.626928928,1.443015223,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-08-07T00:00:00Z,2008,8,31,7,220,0.50929949,7.07E-03,0.516373094,-1.110555833,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-08-14T00:00:00Z,2008,8,32,14,227,1.549119283,3.54E-02,1.584487303,1.068114209,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-08-21T00:00:00Z,2008,8,33,21,234,2.603086284,1.41E-02,2.617233492,1.032746189,2008-08-12T00:00:00Z,0,7.3,6,I,7.03,0.019,85.9,0.86
Newbury,2008-08-26T00:00:00Z,2008,8,34,26,239,0.671992383,0,0.671992383,-1.945241109,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-09-04T00:00:00Z,2008,9,35,4,248,0.141472081,0,0.141472081,-0.530520302,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-09-10T00:00:00Z,2008,9,36,10,254,0.311238578,0,0.311238578,0.169766497,2008-09-08T00:00:00Z,0.92,7.3,0,I,7.12,0.004,86.4,1.06
