year,coffin.mean,coffin.min,coffin.max,coffin.median,coffin.obs,fichter.mean,fichter.min,fichter.max,fichter.median,fichter.obs,newbury.mean,newbury.min,newbury.max,newbury.median,newbury.obs,midge.mean,midge.min,midge.max,midge.median,midge.obs
2006,NaN,Inf,-Inf,NA,0,NaN,Inf,-Inf,NA,0,NaN,Inf,-Inf,NA,0,22.811943396226415,18.13,28.09,22.87,1590
2007,21.761846231664137,18.05,25.73,21.47,1977,21.90320182094082,17.88,26.95,21.79,1977,21.997966616084977,17.43,27.35,21.83,1977,22.348067779463836,18.25,27.17,22.17,1977
2008,21.855711678832115,18.86,24.69,21.8,2192,21.812795797167656,18.69,25.37,21.63,2189,21.6586423690205,16.47,25.59,21.49,2195,22.65248369058714,19.71,26.64,22.51,2146
2009,19.77357312521208,10.38,25.38,20.16,2947,19.809901594842213,13.01,26.42,20.31,2947,19.527947064811674,10.86,26.29,19.86,2947,20.33342721411605,13.81,26.81,20.51,2947
2010,21.497676803394626,13.32,27.32,21.3,2828,21.612393917963225,16.77,25.89,21.63,2828,21.798681046676094,13.49,26.82,22.16,2828,22.224112446958983,15.23,27.17,22.34,2828
2011,21.346064780342516,11,25.56,21.64,2686,21.384575892857143,14.87,26.25,21.63,2688,21.276948269445477,13.8,27.36,21.5,2687,22.004349442379183,13.82,26.82,22.34,2690
2012,21.770817880794702,15.98,25.91,22.3,3020,21.60041059602649,14.24,26.25,22.46,3020,21.57972847682119,11.16,26.11,22.83,3020,22.39034105960265,14.91,26.46,23.01,3020
2013,21.190886884629837,12.4,26.09,21.81,2661,20.6902796460177,11.79,27.33,21.82,2825,20.776785840707966,11.32,28.62,21.83,2825,21.24754761109255,11.27,27.81,22.09,2993
2014,21.417238057005218,15.04,25.39,21.81,2491,21.348511235955055,15.53,25.39,21.82,2492,20.748680089485458,13.18,25.24,21.16,2682,21.349021052631578,13.28,26.22,21.76,2850
2015,22.037136414881623,15.83,25.92,22.81,2661,21.970259301014657,14.89,26.79,22.82,2661,21.888214956783163,13.49,26.11,22.66,2661,22.575573092822246,15.98,26.61,23.31,2661
2016,21.771004631278945,11.47,25.22,22.48,2807,21.70318956521739,14.89,25.74,22.32,2875,21.73229217391304,11.63,26.46,22.33,2875,22.444493913043477,15.03,26.43,22.97,2875
