"","year","week","site","wtr_temp_max","wtr_temp_mean","wtr_temp_median","wtr_temp_min","obs"
"1",2006,28,"coffin",NA,NA,NA,NA,0
"2",2006,29,"coffin",NA,NA,NA,NA,0
"3",2006,30,"coffin",NA,NA,NA,NA,0
"4",2006,31,"coffin",NA,NA,NA,NA,0
"5",2006,32,"coffin",NA,NA,NA,NA,0
"6",2006,33,"coffin",NA,NA,NA,NA,0
"7",2006,34,"coffin",NA,NA,NA,NA,0
"8",2006,35,"coffin",NA,NA,NA,NA,0
"9",2006,36,"coffin",NA,NA,NA,NA,0
"10",2006,37,"coffin",NA,NA,NA,NA,0
"11",2006,38,"coffin",NA,NA,NA,NA,0
"12",2006,28,"fichter",NA,NA,NA,NA,0
"13",2006,29,"fichter",NA,NA,NA,NA,0
"14",2006,30,"fichter",NA,NA,NA,NA,0
"15",2006,31,"fichter",NA,NA,NA,NA,0
"16",2006,32,"fichter",NA,NA,NA,NA,0
"17",2006,33,"fichter",NA,NA,NA,NA,0
"18",2006,34,"fichter",NA,NA,NA,NA,0
"19",2006,35,"fichter",NA,NA,NA,NA,0
"20",2006,36,"fichter",NA,NA,NA,NA,0
"21",2006,37,"fichter",NA,NA,NA,NA,0
"22",2006,38,"fichter",NA,NA,NA,NA,0
"23",2006,28,"midge",NA,NA,NA,NA,54
"24",2006,29,"midge",28.09,26.1714880952381,26.32,23.72,168
"25",2006,30,"midge",26.67,25.0369047619048,24.93,23.04,168
"26",2006,31,"midge",27.38,26.1930952380952,26.14,24.93,168
"27",2006,32,"midge",26.49,24.8657142857143,25.11,22.87,168
"28",2006,33,"midge",23.55,22.7301785714286,22.71,21.87,168
"29",2006,34,"midge",23.21,22.170119047619,22.21,21.04,168
"30",2006,35,"midge",21.37,20.2036904761905,20.23,18.77,168
"31",2006,36,"midge",21.04,19.2469642857143,18.93,18.29,168
"32",2006,37,"midge",20.39,18.7609523809524,18.61,18.13,168
"33",2006,38,"midge",NA,NA,NA,NA,24
"34",2006,28,"newbury",NA,NA,NA,NA,0
"35",2006,29,"newbury",NA,NA,NA,NA,0
"36",2006,30,"newbury",NA,NA,NA,NA,0
"37",2006,31,"newbury",NA,NA,NA,NA,0
"38",2006,32,"newbury",NA,NA,NA,NA,0
"39",2006,33,"newbury",NA,NA,NA,NA,0
"40",2006,34,"newbury",NA,NA,NA,NA,0
"41",2006,35,"newbury",NA,NA,NA,NA,0
"42",2006,36,"newbury",NA,NA,NA,NA,0
"43",2006,37,"newbury",NA,NA,NA,NA,0
"44",2006,38,"newbury",NA,NA,NA,NA,0
"45",2007,26,"coffin",NA,NA,NA,NA,48
"46",2007,27,"coffin",20.64,19.8951785714286,19.83,19.18,168
"47",2007,28,"coffin",23.48,21.3019047619048,21.13,20.16,168
"48",2007,29,"coffin",22.63,21.6757738095238,21.63,20.81,168
"49",2007,30,"coffin",25.21,22.7677976190476,22.47,21.3,168
"50",2007,31,"coffin",25.73,24.8341666666667,24.87,24,168
"51",2007,32,"coffin",24.69,23.8480357142857,24,22.97,168
"52",2007,33,"coffin",23.83,22.6808928571429,22.81,21.13,168
"53",2007,34,"coffin",22.13,21.0371428571429,20.97,20.32,168
"54",2007,35,"coffin",24.52,22.339880952381,22.47,20.97,168
"55",2007,36,"coffin",21.63,20.8649404761905,20.97,20.16,168
"56",2007,37,"coffin",20.81,19.7966666666667,19.83,18.21,168
"57",2007,38,"coffin",NA,NA,NA,NA,81
"58",2007,26,"fichter",NA,NA,NA,NA,48
"59",2007,27,"fichter",21.29,20.3778571428571,20.31,19.5,168
"60",2007,28,"fichter",22.63,21.2683928571429,21.13,20.31,168
"61",2007,29,"fichter",22.96,21.8481547619048,21.79,20.96,168
"62",2007,30,"fichter",24.86,22.6745833333333,22.79,21.29,168
"63",2007,31,"fichter",26.95,24.9629166666667,24.86,23.3,168
"64",2007,32,"fichter",25.55,23.94125,23.98,22.79,168
"65",2007,33,"fichter",24.51,23.0225595238095,23.13,21.46,168
"66",2007,34,"fichter",23.3,21.3929166666667,21.29,20.31,168
"67",2007,35,"fichter",23.81,22.5441666666667,22.46,21.29,168
"68",2007,36,"fichter",22.29,21.405,21.46,20.47,168
"69",2007,37,"fichter",20.63,19.430119047619,19.34,18.04,168
"70",2007,38,"fichter",NA,NA,NA,NA,81
"71",2007,26,"midge",NA,NA,NA,NA,48
"72",2007,27,"midge",21.84,20.6841666666667,20.68,19.38,168
"73",2007,28,"midge",23.01,21.8114880952381,22.01,20.35,168
"74",2007,29,"midge",23.68,22.5644047619048,22.51,21.67,168
"75",2007,30,"midge",26.28,23.8985119047619,24.12,21.17,168
"76",2007,31,"midge",27.17,25.5013095238095,25.42,23.68,168
"77",2007,32,"midge",25.76,24.3518452380952,24.21,23.34,168
