week,year,coffin.mean,coffin.min,coffin.max,coffin.median,fichter.mean,fichter.min,fichter.max,fichter.median,newbury.mean,newbury.min,newbury.max,newbury.median,midge.mean,midge.min,midge.max,midge.median
28,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1714881,23.72,28.09,26.32
30,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.03690476,23.04,26.67,24.93
31,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.19309524,24.93,27.38,26.14
32,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.86571429,22.87,26.49,25.11
33,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.73017857,21.87,23.55,22.71
34,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.17011905,21.04,23.21,22.21
35,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.20369048,18.77,21.37,20.23
36,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.24696429,18.29,21.04,18.93
37,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.76095238,18.13,20.39,18.61
38,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2007,19.92708333,19.18,20.81,19.83,20.3727381,19.5,21.13,20.31,20.79994048,18.72,21.99,20.83,20.63684524,19.38,21.84,20.68
27,2007,21.12404762,19.83,23.48,20.97,21.14392857,20.31,22.63,20.96,21.135,19.21,22.66,21.16,21.63505952,20.35,23.01,21.84
28,2007,21.62446429,20.81,22.3,21.63,21.85892857,20.96,22.96,21.79,21.82875,18.88,23.51,21.83,22.63559524,21.67,23.68,22.67
29,2007,22.46541667,21.13,25.21,22.13,22.46988095,21.13,24.86,22.46,22.33529762,20.99,24.37,22.16,23.53625,21.17,26.28,23.34
30,2007,24.7510119,23.66,25.73,24.87,24.71452381,22.46,26.95,24.86,24.97309524,22.33,27.35,24.89,25.41994048,22.84,27.17,25.07
31,2007,24.0089881,22.97,25.04,24.085,24.13178571,22.96,25.55,24.16,24.2989881,21.99,25.93,24.37,24.52809524,23.34,26.46,24.465
32,2007,22.95708333,21.47,24,22.97,23.28214286,21.79,24.51,23.3,23.57642857,21.99,24.54,23.68,23.68119048,22.34,24.72,23.68
33,2007,21.08160714,20.32,22.13,20.97,21.33547619,20.31,23.3,21.29,21.2910119,20.34,22.99,21.33,21.49928571,20.51,23.52,21.51
34,2007,22.28821429,20.97,24.52,22.47,22.54994048,20.79,23.81,22.63,22.8564881,20.67,24.19,22.83,22.81107143,21.51,24.38,22.84
35,2007,20.9125,20.16,21.97,20.97,21.48642857,20.47,22.63,21.63,21.50684524,20.5,22.66,21.49,21.59535714,20.51,23.01,21.51
36,2007,20.14940476,18.86,21.47,20.16,19.86577381,18.53,21.79,19.66,19.7372619,18.23,22.16,19.53,20.21380952,19.06,22.51,20.11
37,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2008,20.31005952,19.67,20.97,20.32,20.27428571,19.5,20.96,20.14,20.22535714,16.79,21.99,20.34,20.81142857,20.19,22.17,20.68
26,2008,21.2925,19.02,23.66,21.13,21.42267857,19.34,23.3,21.63,21.1777381,16.47,23.68,21.66,22.52886905,20.03,24.38,22.84
27,2008,23.50035714,22.47,24.52,23.66,23.50910714,21.96,25.2,23.47,23.08696429,21.49,24.72,23.16,24.99863095,22.84,26.64,24.89
28,2008,23.59946429,22.63,24.69,23.66,23.40160714,22.13,25.37,23.3,23.35934524,18.88,25.59,23.68,24.50029762,23.34,25.76,24.38
29,2008,23.19214286,20.64,24.52,23.31,23.05380952,20.96,24.51,23.47,22.34077381,18.39,24.89,22.83,23.71839286,22.51,24.89,23.86
30,2008,23.02428571,21.97,24.34,22.97,23.19029762,22.13,24.68,23.13,23.23220238,21.99,24.54,23.16,24.17303571,23.34,25.24,24.21
31,2008,22.76970238,21.3,24,22.81,22.375,21.13,23.98,22.29,22.02654762,19.21,23.68,22.075,23.02690476,22.01,24.38,22.84
32,2008,21.73517857,20.81,23.14,21.8,21.55464286,20.63,22.46,21.63,21.48464286,19.37,22.66,21.66,22.12083333,21.34,23.01,22.01
33,2008,21.40125,19.99,23.48,21.47,21.68690476,20.47,23.3,21.79,21.81928571,20.5,23.33,21.83,22.21672619,21.01,23.52,22.34
34,2008,21.54422619,20.16,23.48,21.385,21.45470238,20.47,22.96,21.46,21.29928571,20.34,22.33,21.33,22.26547619,20.84,23.86,22.17
35,2008,21.47154762,19.99,23.66,21.3,21.40589286,20.31,23.13,21.29,21.35869048,20.5,22.83,21.33,22.05910714,20.84,23.17,22.01
36,2008,20.52065476,19.34,21.97,20.64,20.49077381,19.5,21.79,20.47,20.5072619,19.37,22.16,20.34,20.86880952,19.71,22.17,20.68
37,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2009,14.293125,12.23,17.09,14.24,14.34696429,13.01,16.61,14.39,13.8085119,10.86,16.31,14.11,14.90065476,13.81,16.65,14.75
22,2009,14.73107143,10.07,17.41,14.71,15.16654762,13.16,18.21,14.87,15.39354167,13.64,17.91,15.21,15.73869048,14.43,18.41,15.7
23,2009,16.64491071,15.66,17.57,16.61,16.50964286,15.34,17.56,16.45,16.25127976,13.33,18.72,15.76,16.99440476,16.02,18.57,16.81
24,2009,17.81994048,16.93,19.34,17.73,17.28232143,16.29,19.5,17.24,16.24669643,13.95,18.72,15.99,17.74532738,16.33,19.54,17.93
25,2009,18.73491071,17.57,20.64,18.69,18.75636905,17.24,20.63,18.37,18.85372024,17.27,21.66,18.23,18.76264881,16.81,22.51,17.77
26,2009,20.02502976,18.05,21.47,19.99,19.77235119,18.04,21.29,19.74,18.5060119,15.52,21.16,18.96,19.98732143,19.06,20.68,20.03
27,2009,19.71327381,16.13,21.3,19.67,19.52636905,18.69,20.63,19.5,19.11708333,17.27,20.83,19.04,20.08607143,19.06,22.17,19.87
28,2009,20.14282738,19.34,21.13,19.99,20.31366071,19.34,22.46,20.14,20.32895833,17.75,21.99,20.34,21.34690476,20.35,23.01,21.17
29,2009,21.1421131,19.99,22.3,21.13,21.0227381,20.31,22.13,20.96,20.57098214,18.23,22.66,20.83,21.92988095,21.01,23.34,22.01
30,2009,22.11011905,21.13,23.48,21.97,21.99407738,20.79,23.81,22.13,20.58559524,19.21,22.66,20.34,23.273125,22.01,25.07,23.01
31,2009,22.50315476,21.47,23.48,22.47,22.54220238,21.63,23.98,22.46,22.41547619,20.67,24.02,22.66,23.53258929,22.67,24.55,23.52
32,2009,22.64776786,21.8,23.83,22.81,22.73214286,21.79,24.51,22.71,22.79952381,21.83,24.72,22.49,22.92434524,22.01,24.38,22.84
33,2009,24.36068452,22.97,25.38,24.52,24.76901786,23.13,26.42,24.68,24.56791667,22.66,26.29,24.72,25.37946429,23.34,26.81,25.42
34,2009,23.5483631,21.13,24.87,23.83,23.476875,21.13,25.37,23.81,23.3897619,18.56,25.07,23.85,24.15098214,21.51,25.76,24.72
35,2009,21.01,20.16,21.97,20.97,21.13122024,20.31,22.29,21.13,21.34065476,19.37,22.83,21.33,21.60366071,20.84,22.67,21.51
36,2009,20.43547619,19.51,21.8,20.48,20.56720238,19.66,21.96,20.63,20.63526786,19.37,22.16,20.67,20.38041667,19.54,21.67,20.35
37,2009,18.94776786,17.57,19.83,19.02,19.09416667,17.56,20.14,19.18,19.15863095,17.43,20.5,19.37,19.11729167,17.44,20.03,19.38
38,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2010,18.80547619,13.32,21.97,19.02,20.11672619,18.86,21.79,19.98,20.21184524,15.99,22.33,20.34,20.12470238,16.65,22.01,19.71
23,2010,18.06160714,13.78,20.48,17.89,17.90535714,16.77,20.96,17.72,17.88208333,13.49,21.99,17.59,18.94339286,17.61,21.67,18.41
24,2010,17.77505952,16.77,19.83,17.57,17.75458333,16.93,20.47,17.72,17.85702381,16.79,19.86,17.75,18.41232143,17.61,20.84,18.09
25,2010,20.32392857,18.21,22.13,20.64,20.93666667,18.53,22.46,21.045,21.35053571,17.43,23.16,21.49,21.71327381,19.71,23.52,21.755
26,2010,21.11636905,19.83,22.3,20.97,21.37517857,20.14,22.46,21.375,21.65071429,17.59,23.51,21.83,22.11869048,20.84,23.17,22.17
27,2010,23.60529762,20.64,27.32,23.915,23.25386905,20.96,25.89,23.47,23.16,21.49,26.82,23.33,24.20267857,22.01,26.64,24.03
28,2010,25.58755952,24.34,26.96,25.56,24.62255952,23.13,25.89,24.51,24.41892857,22.16,26.82,24.19,26.09642857,24.72,27.17,26.11
29,2010,24.78607143,23.66,26.08,24.87,24.71547619,23.81,25.89,24.68,25.01327381,23.85,26.46,25.07,25.69238095,24.55,26.64,25.76
30,2010,23.45232143,22.3,24.52,23.48,23.81220238,22.79,25.03,23.725,24.15684524,23.16,25.42,24.02,24.17357143,23.17,25.76,24.03
31,2010,23.37589286,22.3,24.52,23.31,23.50541667,22.63,24.68,23.47,23.65321429,22.49,25.42,23.51,24.17220238,22.67,25.07,24.21
32,2010,23.90190476,22.47,25.04,24,23.87375,22.63,24.68,23.98,24.15589286,22.83,25.93,24.02,24.21166667,23.17,25.59,24.21
33,2010,23.30208333,22.47,24.17,23.31,23.21666667,22.63,24.33,23.13,23.5135119,22.49,25.24,23.51,24.03505952,23.34,24.89,24.03
34,2010,21.39440476,19.99,22.81,21.3,21.29553571,20.31,22.96,21.13,21.49559524,20.5,23.16,21.49,21.77244048,21.01,23.34,21.67
35,2010,21.8789881,20.16,24.17,21.8,22.38422619,20.79,24.33,22.29,22.96029762,20.99,25.07,22.99,22.99,21.17,24.72,22.84
36,2010,20.57630952,19.18,21.8,20.48,20.89755952,19.5,22.29,20.96,21.10416667,19.21,22.66,21.245,21.30470238,19.71,23.01,21.51
37,2010,18.8060119,17.57,19.67,18.69,18.63553571,17.72,19.66,18.69,18.59630952,17.43,20.02,18.72,18.94505952,18.09,20.03,18.9
38,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2011,17.82059524,15.67,20.32,17.57,18.41321429,15.19,21.63,18.86,18.89755952,14.27,22,19.05,18.91738095,15.55,23.01,18.5
24,2011,18.25636905,17.09,19.19,18.22,17.56071429,16.14,19.83,17.09,16.70214286,13.8,19.7,16.64,18.60940476,17.29,20.68,18.09
25,2011,19.41755952,17.73,21.64,19.19,18.82375,16.93,21.13,18.86,17.72255952,13.96,21.83,19.05,19.41232143,17.93,21.18,19.55
26,2011,19.825,18.22,22.14,19.68,19.94869048,17.09,21.97,20.15,19.70339286,15.37,22,20.34,20.69119048,18.42,22.51,21.01
27,2011,22.04928571,20,23.32,21.97,22.35196429,20.64,24.16,22.63,22.75839286,20.34,24.9,22.915,22.99422619,21.34,24.56,23.18
28,2011,23.05910714,21.97,24.52,22.98,23.61434524,21.8,25.03,23.82,24.06410714,22,25.59,24.2,24.01666667,22.34,25.42,23.86
29,2011,24.19940476,23.15,25.56,24.18,25.00446429,23.99,26.25,25.03,25.50345238,24.38,27.36,25.25,25.3510119,24.03,26.82,25.25
30,2011,24.29511905,23.32,25.56,24.18,24.47565476,23.3,25.9,24.34,24.68952381,23.34,26.82,24.38,24.76208333,23.86,26.47,24.56
