week,year,site,max,mean,median,min
29,2006,midge,28.09,26.1714881,26.32,23.72
30,2006,midge,26.67,25.03690476,24.93,23.04
31,2006,midge,27.38,26.19309524,26.14,24.93
32,2006,midge,26.49,24.86571429,25.11,22.87
33,2006,midge,23.55,22.73017857,22.71,21.87
34,2006,midge,23.21,22.17011905,22.21,21.04
35,2006,midge,21.37,20.20369048,20.23,18.77
36,2006,midge,21.04,19.24696429,18.93,18.29
37,2006,midge,20.39,18.76095238,18.61,18.13
26,2007,coffin,20.81,19.92708333,19.83,19.18
27,2007,coffin,23.48,21.12404762,20.97,19.83
28,2007,coffin,22.3,21.62446429,21.63,20.81
29,2007,coffin,25.21,22.46541667,22.13,21.13
30,2007,coffin,25.73,24.7510119,24.87,23.66
31,2007,coffin,25.04,24.0089881,24.085,22.97
32,2007,coffin,24,22.95708333,22.97,21.47
33,2007,coffin,22.13,21.08160714,20.97,20.32
34,2007,coffin,24.52,22.28821429,22.47,20.97
35,2007,coffin,21.97,20.9125,20.97,20.16
36,2007,coffin,21.47,20.14940476,20.16,18.86
26,2007,fichter,21.13,20.3727381,20.31,19.5
27,2007,fichter,22.63,21.14392857,20.96,20.31
28,2007,fichter,22.96,21.85892857,21.79,20.96
29,2007,fichter,24.86,22.46988095,22.46,21.13
30,2007,fichter,26.95,24.71452381,24.86,22.46
31,2007,fichter,25.55,24.13178571,24.16,22.96
32,2007,fichter,24.51,23.28214286,23.3,21.79
33,2007,fichter,23.3,21.33547619,21.29,20.31
34,2007,fichter,23.81,22.54994048,22.63,20.79
35,2007,fichter,22.63,21.48642857,21.63,20.47
36,2007,fichter,21.79,19.86577381,19.66,18.53
26,2007,midge,21.84,20.63684524,20.68,19.38
27,2007,midge,23.01,21.63505952,21.84,20.35
28,2007,midge,23.68,22.63559524,22.67,21.67
29,2007,midge,26.28,23.53625,23.34,21.17
30,2007,midge,27.17,25.41994048,25.07,22.84
31,2007,midge,26.46,24.52809524,24.465,23.34
32,2007,midge,24.72,23.68119048,23.68,22.34
33,2007,midge,23.52,21.49928571,21.51,20.51
34,2007,midge,24.38,22.81107143,22.84,21.51
35,2007,midge,23.01,21.59535714,21.51,20.51
36,2007,midge,22.51,20.21380952,20.11,19.06
26,2007,newbury,21.99,20.79994048,20.83,18.72
27,2007,newbury,22.66,21.135,21.16,19.21
28,2007,newbury,23.51,21.82875,21.83,18.88
29,2007,newbury,24.37,22.33529762,22.16,20.99
30,2007,newbury,27.35,24.97309524,24.89,22.33
31,2007,newbury,25.93,24.2989881,24.37,21.99
32,2007,newbury,24.54,23.57642857,23.68,21.99
33,2007,newbury,22.99,21.2910119,21.33,20.34
34,2007,newbury,24.19,22.8564881,22.83,20.67
35,2007,newbury,22.66,21.50684524,21.49,20.5
36,2007,newbury,22.16,19.7372619,19.53,18.23
25,2008,coffin,20.97,20.31005952,20.32,19.67
26,2008,coffin,23.66,21.2925,21.13,19.02
27,2008,coffin,24.52,23.50035714,23.66,22.47
28,2008,coffin,24.69,23.59946429,23.66,22.63
29,2008,coffin,24.52,23.19214286,23.31,20.64
30,2008,coffin,24.34,23.02428571,22.97,21.97
31,2008,coffin,24,22.76970238,22.81,21.3
32,2008,coffin,23.14,21.73517857,21.8,20.81
33,2008,coffin,23.48,21.40125,21.47,19.99
34,2008,coffin,23.48,21.54422619,21.385,20.16
35,2008,coffin,23.66,21.47154762,21.3,19.99
36,2008,coffin,21.97,20.52065476,20.64,19.34
25,2008,fichter,20.96,20.27428571,20.14,19.5
26,2008,fichter,23.3,21.42267857,21.63,19.34
27,2008,fichter,25.2,23.50910714,23.47,21.96
28,2008,fichter,25.37,23.40160714,23.3,22.13
29,2008,fichter,24.51,23.05380952,23.47,20.96
30,2008,fichter,24.68,23.19029762,23.13,22.13
31,2008,fichter,23.98,22.375,22.29,21.13
32,2008,fichter,22.46,21.55464286,21.63,20.63
33,2008,fichter,23.3,21.68690476,21.79,20.47
34,2008,fichter,22.96,21.45470238,21.46,20.47
35,2008,fichter,23.13,21.40589286,21.29,20.31
36,2008,fichter,21.79,20.49077381,20.47,19.5
25,2008,midge,22.17,20.81142857,20.68,20.19
26,2008,midge,24.38,22.52886905,22.84,20.03
27,2008,midge,26.64,24.99863095,24.89,22.84
28,2008,midge,25.76,24.50029762,24.38,23.34
29,2008,midge,24.89,23.71839286,23.86,22.51
30,2008,midge,25.24,24.17303571,24.21,23.34
31,2008,midge,24.38,23.02690476,22.84,22.01
32,2008,midge,23.01,22.12083333,22.01,21.34
33,2008,midge,23.52,22.21672619,22.34,21.01
34,2008,midge,23.86,22.26547619,22.17,20.84
35,2008,midge,23.17,22.05910714,22.01,20.84
36,2008,midge,22.17,20.86880952,20.68,19.71
25,2008,newbury,21.99,20.22535714,20.34,16.79
26,2008,newbury,23.68,21.1777381,21.66,16.47
27,2008,newbury,24.72,23.08696429,23.16,21.49
28,2008,newbury,25.59,23.35934524,23.68,18.88
29,2008,newbury,24.89,22.34077381,22.83,18.39
30,2008,newbury,24.54,23.23220238,23.16,21.99
31,2008,newbury,23.68,22.02654762,22.075,19.21
32,2008,newbury,22.66,21.48464286,21.66,19.37
33,2008,newbury,23.33,21.81928571,21.83,20.5
34,2008,newbury,22.33,21.29928571,21.33,20.34
35,2008,newbury,22.83,21.35869048,21.33,20.5
36,2008,newbury,22.16,20.5072619,20.34,19.37
21,2009,coffin,17.09,14.293125,14.24,12.23
22,2009,coffin,17.41,14.73107143,14.71,10.07
23,2009,coffin,17.57,16.64491071,16.61,15.66
24,2009,coffin,19.34,17.81994048,17.73,16.93
25,2009,coffin,20.64,18.73491071,18.69,17.57
26,2009,coffin,21.47,20.02502976,19.99,18.05
27,2009,coffin,21.3,19.71327381,19.67,16.13
28,2009,coffin,21.13,20.14282738,19.99,19.34
29,2009,coffin,22.3,21.1421131,21.13,19.99
30,2009,coffin,23.48,22.11011905,21.97,21.13
31,2009,coffin,23.48,22.50315476,22.47,21.47
32,2009,coffin,23.83,22.64776786,22.81,21.8
33,2009,coffin,25.38,24.36068452,24.52,22.97
34,2009,coffin,24.87,23.5483631,23.83,21.13
35,2009,coffin,21.97,21.01,20.97,20.16
36,2009,coffin,21.8,20.43547619,20.48,19.51
37,2009,coffin,19.83,18.94776786,19.02,17.57
21,2009,fichter,16.61,14.34696429,14.39,13.01
22,2009,fichter,18.21,15.16654762,14.87,13.16
23,2009,fichter,17.56,16.50964286,16.45,15.34
24,2009,fichter,19.5,17.28232143,17.24,16.29
25,2009,fichter,20.63,18.75636905,18.37,17.24
26,2009,fichter,21.29,19.77235119,19.74,18.04
27,2009,fichter,20.63,19.52636905,19.5,18.69
28,2009,fichter,22.46,20.31366071,20.14,19.34
29,2009,fichter,22.13,21.0227381,20.96,20.31
30,2009,fichter,23.81,21.99407738,22.13,20.79
31,2009,fichter,23.98,22.54220238,22.46,21.63
32,2009,fichter,24.51,22.73214286,22.71,21.79
33,2009,fichter,26.42,24.76901786,24.68,23.13
34,2009,fichter,25.37,23.476875,23.81,21.13
35,2009,fichter,22.29,21.13122024,21.13,20.31
36,2009,fichter,21.96,20.56720238,20.63,19.66
37,2009,fichter,20.14,19.09416667,19.18,17.56
21,2009,midge,16.65,14.90065476,14.75,13.81
22,2009,midge,18.41,15.73869048,15.7,14.43
23,2009,midge,18.57,16.99440476,16.81,16.02
24,2009,midge,19.54,17.74532738,17.93,16.33
25,2009,midge,22.51,18.76264881,17.77,16.81
