PRISM Time Series Data
Location:  Lat: 43.4098   Lon: -72.0367   Elev: 361m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01-01 - 2017-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2018-Oct-14
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1981-01-01,0.00,-21.5,-14.9,-8.2
1981-01-02,1.65,-18.7,-12.2,-5.7
1981-01-03,0.82,-25.3,-14.5,-3.7
1981-01-04,0.00,-27.8,-20.6,-13.4
1981-01-05,0.00,-26.1,-22.5,-19.0
1981-01-06,0.00,-19.6,-14.8,-9.9
1981-01-07,7.21,-13.8,-8.2,-2.6
1981-01-08,0.39,-18.9,-9.8,-0.7
1981-01-09,0.00,-23.4,-17.2,-11.1
1981-01-10,0.00,-20.1,-14.5,-8.9
1981-01-11,0.54,-22.0,-14.6,-7.1
1981-01-12,0.00,-28.5,-22.0,-15.6
1981-01-13,0.00,-29.0,-20.4,-11.7
1981-01-14,0.00,-25.4,-17.5,-9.5
1981-01-15,0.00,-20.1,-13.8,-7.5
1981-01-16,0.00,-20.1,-12.6,-5.1
1981-01-17,5.76,-15.6,-11.0,-6.3
1981-01-18,0.01,-18.3,-12.7,-7.2
1981-01-19,0.00,-15.6,-9.0,-2.4
1981-01-20,0.00,-6.1,-1.4,3.3
1981-01-21,0.00,-20.7,-12.2,-3.7
1981-01-22,0.00,-18.1,-9.7,-1.2
1981-01-23,0.00,-9.1,-4.4,0.3
1981-01-24,0.36,-7.1,-3.4,0.4
1981-01-25,0.00,-15.8,-8.6,-1.5
1981-01-26,0.00,-12.3,-5.6,1.0
1981-01-27,0.00,-3.1,0.9,5.0
1981-01-28,0.00,-5.6,-0.5,4.6
1981-01-29,1.47,-10.1,-5.2,-0.2
1981-01-30,1.19,-14.9,-10.8,-6.7
1981-01-31,0.00,-17.2,-12.2,-7.3
1981-02-01,0.00,-18.9,-9.9,-0.8
1981-02-02,15.23,-17.5,-5.1,7.2
1981-02-03,21.88,-7.9,0.8,9.5
1981-02-04,0.00,-16.4,-11.3,-6.3
1981-02-05,0.00,-16.6,-13.1,-9.6
1981-02-06,0.00,-17.2,-12.7,-8.3
1981-02-07,0.00,-15.0,-9.0,-2.9
1981-02-08,3.02,-9.4,-4.2,1.0
1981-02-09,17.81,-5.9,-2.6,0.7
1981-02-10,0.00,-17.9,-9.9,-1.9
1981-02-11,2.54,-15.2,-6.5,2.1
1981-02-12,36.40,-7.8,2.8,13.4
1981-02-13,0.00,-16.0,-11.3,-6.6
1981-02-14,0.00,-14.9,-8.9,-2.8
1981-02-15,0.00,-11.7,-4.4,2.9
1981-02-16,0.00,-7.5,-2.3,3.0
1981-02-17,0.00,-4.4,2.8,10.1
1981-02-18,0.00,-1.0,5.7,12.5
1981-02-19,0.00,-1.6,6.7,14.9
1981-02-20,8.51,0.6,6.3,12.0
1981-02-21,25.41,7.0,9.3,11.6
1981-02-22,3.82,4.7,7.4,10.0
1981-02-23,0.00,0.0,3.3,6.5
1981-02-24,17.16,0.3,2.2,4.1
1981-02-25,50.67,0.3,3.1,5.9
1981-02-26,48.61,0.3,1.3,2.4
1981-02-27,5.50,-0.2,1.4,3.1
1981-02-28,0.00,-6.1,-1.4,3.2
1981-03-01,1.39,-6.7,-2.0,2.6
1981-03-02,0.00,-0.9,1.4,3.7
1981-03-03,0.00,-5.9,-0.9,4.1
1981-03-04,0.00,-12.0,-7.3,-2.6
1981-03-05,0.00,-12.5,-6.1,0.4
1981-03-06,0.00,-10.6,-4.1,2.5
1981-03-07,1.62,-2.9,-0.6,1.7
1981-03-08,6.05,-0.5,1.1,2.7
1981-03-09,0.00,-1.4,0.5,2.5
1981-03-10,0.00,-2.6,0.7,4.0
1981-03-11,0.00,-4.0,0.0,4.1
1981-03-12,1.41,-9.8,-3.3,3.2
1981-03-13,0.00,-6.7,-1.2,4.3
1981-03-14,0.00,-5.2,1.2,7.7
1981-03-15,0.00,-9.6,-4.9,-0.3
1981-03-16,0.00,-3.4,2.7,8.9
1981-03-17,0.00,-11.1,-4.6,2.0
1981-03-18,0.00,-11.0,-5.6,-0.2
1981-03-19,0.00,-13.7,-7.3,-0.9
1981-03-20,0.00,-9.0,-4.2,0.6
1981-03-21,2.71,-4.8,-1.8,1.1
1981-03-22,0.00,-2.1,1.3,4.7
1981-03-23,0.00,-7.7,-0.8,6.1
1981-03-24,0.00,-6.0,1.5,9.0
1981-03-25,0.00,-2.8,2.5,7.7
1981-03-26,0.00,-6.7,-0.2,6.3
1981-03-27,5.04,-3.0,4.0,11.0
1981-03-28,4.28,-5.7,-0.3,5.1
1981-03-29,0.00,0.1,6.1,12.1
1981-03-30,0.00,4.0,13.3,22.6
1981-03-31,2.04,6.9,13.0,19.2
1981-04-01,0.00,3.3,8.8,14.3
1981-04-02,13.72,3.2,8.9,14.6
1981-04-03,0.00,-2.2,3.9,10.1
1981-04-04,0.00,3.7,13.1,22.5
1981-04-05,0.00,9.9,14.5,19.2
1981-04-06,5.84,1.7,8.1,14.6
1981-04-07,0.00,-3.1,2.1,7.3
1981-04-08,0.00,-4.0,5.8,15.6
1981-04-09,0.00,2.1,12.1,22.2
1981-04-10,1.65,1.4,10.9,20.4
1981-04-11,0.00,-0.0,8.5,17.1
1981-04-12,1.15,1.1,8.1,15.1
1981-04-13,0.00,-6.0,2.6,11.1
1981-04-14,0.00,-4.0,4.5,13.0
1981-04-15,11.77,-3.6,3.0,9.6
1981-04-16,0.00,-7.9,-0.8,6.2
1981-04-17,0.00,-2.8,5.9,14.5
1981-04-18,6.20,4.0,9.2,14.4
1981-04-19,1.83,-0.5,9.5,19.6
1981-04-20,0.00,1.0,7.2,13.4
1981-04-21,0.00,-5.2,1.5,8.2
1981-04-22,0.00,-6.4,-1.0,4.4
1981-04-23,0.00,-2.5,3.8,10.1
1981-04-24,13.28,2.8,6.6,10.4
1981-04-25,13.93,2.8,5.9,9.1
1981-04-26,0.59,0.5,4.5,8.5
1981-04-27,0.00,0.3,8.0,15.6
1981-04-28,0.00,1.0,9.2,17.5
1981-04-29,3.07,6.0,12.2,18.3
1981-04-30,4.01,5.9,12.2,18.6
1981-05-01,0.00,3.7,10.5,17.4
1981-05-02,2.82,3.9,10.4,16.9
1981-05-03,1.65,0.3,7.2,14.0
1981-05-04,0.00,2.3,10.9,19.6
1981-05-05,0.33,5.1,13.4,21.6
1981-05-06,0.00,8.0,14.2,20.5
1981-05-07,0.76,-0.3,11.4,23.1
1981-05-08,0.00,-2.2,5.7,13.5
1981-05-09,0.00,-0.4,10.3,21.1
1981-05-10,0.00,1.0,9.8,18.6
1981-05-11,0.94,6.9,13.9,21.0
1981-05-12,9.35,11.2,15.2,19.1
1981-05-13,22.72,7.1,12.5,17.9
1981-05-14,0.00,2.7,9.7,16.6
1981-05-15,0.00,6.3,14.5,22.7
1981-05-16,27.63,10.8,16.9,23.0
1981-05-17,16.14,5.5,12.6,19.7
1981-05-18,0.00,-2.1,5.7,13.4
1981-05-19,0.00,-1.4,6.4,14.1
1981-05-20,0.00,0.1,9.3,18.5
1981-05-21,0.00,1.5,11.6,21.6
1981-05-22,0.00,4.8,14.3,23.7
1981-05-23,0.00,4.5,12.9,21.2
1981-05-24,0.00,4.6,13.4,22.2
1981-05-25,0.00,8.0,17.4,26.9
1981-05-26,0.00,12.9,21.6,30.4
1981-05-27,0.00,13.5,20.4,27.3
1981-05-28,0.00,15.4,22.2,29.0
1981-05-29,0.00,14.0,20.0,26.0
1981-05-30,3.87,15.6,18.1,20.7
1981-05-31,15.91,16.5,21.9,27.3
1981-06-01,5.17,4.2,12.6,20.9
1981-06-02,0.00,5.5,13.6,21.6
1981-06-03,0.00,7.2,13.5,19.8
1981-06-04,1.42,10.0,14.3,18.6
1981-06-05,1.38,12.4,19.5,26.6
1981-06-06,0.01,12.5,20.4,28.3
1981-06-07,4.66,11.8,18.9,26.1
1981-06-08,0.00,4.1,11.7,19.2
1981-06-09,7.37,8.3,16.2,24.1
1981-06-10,11.54,10.2,16.5,22.7
1981-06-11,0.69,9.9,16.5,23.0
1981-06-12,1.24,9.0,15.8,22.6
1981-06-13,1.87,9.8,17.1,24.3
1981-06-14,0.00,11.7,18.3,25.0
1981-06-15,0.25,14.0,17.4,20.8
1981-06-16,0.00,15.1,21.1,27.0
1981-06-17,0.00,19.2,25.9,32.6
1981-06-18,0.00,9.2,17.1,25.0
1981-06-19,0.00,10.6,19.2,27.7
1981-06-20,0.00,14.2,21.5,28.7
1981-06-21,8.78,15.0,18.7,22.5
1981-06-22,3.84,12.8,18.6,24.4
1981-06-23,17.70,14.1,18.5,23.0
1981-06-24,0.00,4.9,13.7,22.5
1981-06-25,0.00,9.5,16.5,23.5
1981-06-26,22.22,12.1,17.5,22.8
1981-06-27,0.00,9.0,13.4,17.8
1981-06-28,0.00,6.5,15.4,24.3
1981-06-29,0.00,8.0,17.8,27.6
1981-06-30,0.00,9.0,19.0,28.9
1981-07-01,0.00,12.7,19.8,26.8
1981-07-02,0.00,15.9,21.8,27.7
1981-07-03,0.13,17.7,22.1,26.6
1981-07-04,1.00,17.9,21.9,25.9
1981-07-05,19.97,17.7,21.0,24.3
1981-07-06,8.92,17.8,20.0,22.2
1981-07-07,0.00,16.6,22.5,28.3
1981-07-08,0.00,14.7,22.1,29.5
1981-07-09,0.00,17.4,24.9,32.4
1981-07-10,10.81,16.9,24.5,32.2
1981-07-11,0.00,13.5,21.0,28.4
1981-07-12,0.00,13.1,21.0,28.8
1981-07-13,1.48,15.8,22.1,28.5
1981-07-14,16.18,13.8,19.7,25.6
1981-07-15,1.12,11.5,16.0,20.5
1981-07-16,0.00,9.2,17.3,25.5
1981-07-17,0.00,11.9,19.4,26.9
1981-07-18,0.00,12.3,20.1,27.9
1981-07-19,2.43,13.7,20.4,27.1
1981-07-20,1.03,15.3,21.2,27.1
1981-07-21,26.30,17.1,19.1,21.0
1981-07-22,4.10,15.8,21.7,27.6
1981-07-23,0.00,7.5,15.4,23.2
1981-07-24,0.00,7.3,15.4,23.4
1981-07-25,0.00,8.8,16.6,24.4
1981-07-26,0.00,11.7,18.7,25.7
1981-07-27,11.72,15.6,20.2,24.8
1981-07-28,0.00,9.8,16.6,23.3
1981-07-29,28.80,12.7,18.0,23.3
1981-07-30,2.70,11.9,14.2,16.4
1981-07-31,0.00,8.1,15.9,23.7
1981-08-01,0.00,9.6,18.9,28.2
1981-08-02,0.00,12.1,20.2,28.3
1981-08-03,0.00,12.8,20.3,27.8
1981-08-04,0.00,14.8,21.4,28.0
1981-08-05,1.65,16.5,22.5,28.6
1981-08-06,20.31,16.1,20.9,25.8
1981-08-07,0.00,11.8,17.2,22.6
1981-08-08,0.00,11.9,17.3,22.8
1981-08-09,4.09,13.4,18.6,23.8
1981-08-10,4.44,16.1,20.8,25.4
1981-08-11,0.00,13.9,20.9,27.9
