"site","date","year","month","dayofmonth","dayofyr","coloniesperL","filbundperL","totalperL","totalperL_diff","week","light_sum","watertemp_min","watertemp_mean","watertemp_median","watertemp_max","season_week"
"Coffin",2009-05-29,2009,5,29,149,0.014147208,0,0.014147208,0.014147208,21,NA,13.47,14.015,13.78,14.56,0
"Coffin",2009-06-04,2009,6,4,155,0.007073604,0,0.007073604,-0.007073604,22,NA,14.87,15.20708333,15.03,15.82,1
"Coffin",2009-06-17,2009,6,17,168,0.028294416,0,0.028294416,0.021220812,24,NA,17.09,17.62916667,17.73,18.37,3
"Coffin",2009-06-25,2009,6,25,176,0,0,0,-0.028294416,25,922363.7,18.53,18.75375,18.69,19.18,4
"Coffin",2009-07-02,2009,7,2,183,0.063662436,0.014147208,0.077809644,0.077809644,26,111590.1,18.86,19.49958333,19.51,19.99,5
"Coffin",2009-07-09,2009,7,9,190,0.113177665,0.021220812,0.134398477,0.056588832,27,733768.5,19.18,19.83125,19.83,20.64,6
"Coffin",2009-07-16,2009,7,16,197,0.042441624,0,0.042441624,-0.091956852,28,490965.5,19.67,20.38625,20.32,21.13,7
"Coffin",2009-07-23,2009,7,23,204,0.028294416,0,0.028294416,-0.014147208,29,257926.5,20.97,21.25916667,21.3,21.63,8
"Coffin",2009-07-30,2009,7,30,211,0.056588832,0,0.056588832,0.028294416,30,238647.8,22.3,22.72583333,22.63,23.14,9
"Coffin",2009-08-06,2009,8,6,218,0.042441624,0.007073604,0.049515228,-0.007073604,31,552202.2,22.47,22.72083333,22.81,22.97,10
"Coffin",2009-08-13,2009,8,13,225,0.190987309,0,0.190987309,0.141472081,32,197648,22.81,23.07708333,23.14,23.48,11
"Coffin",2009-08-20,2009,8,20,232,0.183913705,0.007073604,0.190987309,0,33,567712.7,24.34,24.91458333,24.87,25.38,12
"Coffin",2009-08-27,2009,8,27,239,0.190987309,0,0.190987309,0,34,895755.2,22.63,22.99208333,22.97,23.31,13
"Coffin",2009-09-01,2009,9,1,244,0.03536802,0,0.03536802,-0.155619289,35,740291.2,20.48,20.80666667,20.81,20.97,14
"Coffin",2009-09-08,2009,9,8,251,0.353680202,0.007073604,0.360753806,0.325385786,36,703199.5,19.99,20.52208333,20.64,20.81,15
"Coffin",2009-09-15,2009,9,15,258,0.233428933,0,0.233428933,-0.127324873,37,454551.6,18.86,19.21458333,19.18,19.51,16
"Coffin",2009-09-21,2009,9,21,264,0.021220812,0,0.021220812,-0.212208121,38,NA,NA,NA,NA,NA,17
"Coffin",2009-10-05,2009,10,5,278,0.141472081,0,0.141472081,0.120251269,40,NA,NA,NA,NA,NA,19
"Coffin",2010-05-25,2010,5,25,145,0.049515228,0,0.049515228,0.03536802,21,NA,NA,NA,NA,NA,0
"Coffin",2010-06-04,2010,6,4,155,0.007073604,0,0.007073604,-0.042441624,22,988078.3,18.86,19.68208333,19.83,20.81,1
"Coffin",2010-06-10,2010,6,10,161,0.028294416,0.007073604,0.03536802,0.028294416,23,160803.1,17.09,17.33958333,17.41,17.57,2
"Coffin",2010-06-15,2010,6,15,166,0,0,0,-0.03536802,24,1546544,16.93,17.4825,17.73,17.73,3
"Coffin",2010-06-24,2010,6,24,175,0.049515228,0.007073604,0.056588832,0.056588832,25,785704.9,19.51,20.60333333,20.64,21.47,4
"Coffin",2010-07-01,2010,7,1,182,0.113177665,0,0.113177665,0.056588832,26,779860,19.83,20.56958333,20.64,20.97,5
"Coffin",2010-07-08,2010,7,8,189,2.107934002,0.381974618,2.48990862,2.376730955,27,1095652.7,25.73,26.44875,26.345,27.32,6
"Coffin",2010-07-15,2010,7,15,196,1.31569035,0.445637054,1.761327404,-0.728581215,28,656438.5,25.21,26.01791667,26.08,26.96,7
"Coffin",2010-07-22,2010,7,22,203,0.198060913,0.049515228,0.247576141,-1.513751263,29,95934,24.34,24.7,24.69,25.04,8
"Coffin",2010-07-29,2010,7,29,210,0.049515228,0,0.049515228,-0.198060913,30,492191.3,22.97,23.38958333,23.31,23.83,9
"Coffin",2010-08-05,2010,8,5,217,0.120251269,0.084883248,0.205134517,0.155619289,31,402626.1,23.31,23.5925,23.66,23.83,10
"Coffin",2010-08-12,2010,8,12,224,0.275870557,0.021220812,0.297091369,0.091956852,32,942686,24,24.34333333,24.34,24.87,11
"Coffin",2010-08-19,2010,8,19,231,0.042441624,0,0.042441624,-0.254649745,33,1434394.7,22.97,23.305,23.225,24,12
"Coffin",2010-08-26,2010,8,26,238,0.36782741,0.007073604,0.374901014,0.33245939,34,1280201,20.81,21.06666667,20.97,21.47,13
"Coffin",2010-09-02,2010,9,2,245,0.700286799,0,0.700286799,0.325385786,35,1718800.1,21.8,22.27333333,22.3,22.81,14
"Coffin",2010-09-09,2010,9,9,252,0,0,0,-0.700286799,36,302068.7,19.99,20.39958333,20.4,20.64,15
"Coffin",2010-09-16,2010,9,16,259,0.014147208,0,0.014147208,0.014147208,37,792991.4,17.57,18.52708333,18.61,19.34,16
"Coffin",2010-09-22,2010,9,22,265,0.042441624,0,0.042441624,0.028294416,38,NA,NA,NA,NA,NA,17
"Coffin",2010-09-30,2010,9,30,273,0,0,0,-0.042441624,39,NA,NA,NA,NA,NA,18
