site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,week,light_sum,watertemp_mean,watertemp_min,watertemp_max,watertemp_median,ysi_readings,buoy_interp,,
Midge,2005-07-21,2005,7,21,202,0.077809644,NA,0.077809644,NA,29,NA,24.7,NA,NA,NA,1,0,,
Midge,2005-07-28,2005,7,28,209,0.452710658,NA,0.452710658,0.374901014,30,NA,24,NA,NA,NA,1,0,,
Midge,2005-08-04,2005,8,4,216,0.113177665,NA,0.113177665,-0.339532994,31,NA,23.6,NA,NA,NA,1,0,,
Midge,2005-08-11,2005,8,11,223,1.152997457,NA,1.152997457,1.039819793,32,NA,24.6,NA,NA,NA,1,0,,
Midge,2005-08-18,2005,8,18,230,0.657845175,NA,0.657845175,-0.495152282,33,NA,24.4,NA,NA,NA,1,0,,
Midge,2005-08-25,2005,8,25,237,0.488078678,NA,0.488078678,-0.169766497,34,NA,22.3,NA,NA,NA,1,0,,
Midge,2005-09-03,2005,9,3,246,1.817916237,NA,1.817916237,1.329837558,35,NA,NA,NA,NA,NA,0,0,,
Midge,2005-09-12,2005,9,12,255,3.232637043,NA,3.232637043,1.414720807,37,NA,NA,NA,NA,NA,0,0,,
Midge,2005-09-20,2005,9,20,263,0.014147208,NA,0.014147208,-3.218489835,38,NA,NA,NA,NA,NA,0,0,,
Midge,2005-09-25,2005,9,25,268,0.183913705,NA,0.183913705,0.169766497,39,NA,NA,NA,NA,NA,0,0,,
Newbury,2005-07-21,2005,7,21,202,0.021220812,NA,0.021220812,NA,29,NA,NA,NA,NA,NA,0,0,,
Newbury,2005-07-28,2005,7,28,209,0.007073604,NA,0.007073604,-0.014147208,30,NA,NA,NA,NA,NA,0,0,,
Newbury,2005-08-04,2005,8,4,216,0,NA,0,-0.007073604,31,NA,NA,NA,NA,NA,0,0,,
Newbury,2005-08-11,2005,8,11,223,0.353680202,NA,0.353680202,0.353680202,32,NA,NA,NA,NA,NA,0,0,,
Newbury,2005-08-18,2005,8,18,230,0.148545685,NA,0.148545685,-0.205134517,33,NA,NA,NA,NA,NA,0,0,,
Newbury,2005-08-25,2005,8,25,237,2.015977149,NA,2.015977149,1.867431465,34,NA,NA,NA,NA,NA,0,0,,
Newbury,2005-09-03,2005,9,3,246,0.84175888,NA,0.84175888,-1.17421827,35,NA,NA,NA,NA,NA,0,0,,
Newbury,2005-09-12,2005,9,12,255,11.84121315,NA,11.84121315,10.99945427,37,NA,NA,NA,NA,NA,0,0,,
