site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,week,light_sum,watertemp_min,watertemp_mean,watertemp_median,watertemp_max
Coffin,2007-06-21,2007,6,21,172,0,0,0,NA,24,NA,NA,NA,NA,NA
Coffin,2007-06-28,2007,6,28,179,0.042441624,0,0.042441624,0.042441624,25,NA,NA,NA,NA,NA
Coffin,2007-07-05,2007,7,5,186,0,0,0,-0.042441624,26,NA,19.51,19.74333333,19.67,19.99
Coffin,2007-07-12,2007,7,12,193,0.007073604,0,0.007073604,0.007073604,27,NA,20.64,21.00416667,20.97,21.47
Coffin,2007-07-19,2007,7,19,200,0.028294416,0,0.028294416,0.021220812,28,NA,21.13,21.71708333,21.8,21.97
Coffin,2007-07-26,2007,7,26,207,0.205134517,0,0.205134517,0.176840101,29,NA,21.63,22.3425,22.215,23.31
Coffin,2007-08-02,2007,8,2,214,0.926642128,0.636624363,1.563266491,1.358131974,30,NA,24.69,25.08916667,25.04,25.56
Coffin,2007-08-09,2007,8,9,221,0.169766497,0.021220812,0.190987309,-1.372279182,31,NA,23.14,23.79791667,23.915,24.52
Coffin,2007-08-16,2007,8,16,228,1.393499995,5.255687797,6.649187791,6.458200482,32,NA,22.63,23.095,22.97,23.83
Coffin,2007-08-23,2007,8,23,235,0.728581215,NA,0.728581215,-5.920606576,33,NA,20.32,20.59625,20.64,20.81
Coffin,2007-08-30,2007,8,30,242,0.141472081,0,0.141472081,-0.587109135,34,NA,22.3,22.82708333,22.72,24.52
Coffin,2007-09-06,2007,9,6,249,0.042441624,0,0.042441624,-0.099030457,35,NA,20.16,20.76125,20.725,21.47
Coffin,2007-09-13,2007,9,13,256,4.746388306,0,4.746388306,4.703946682,36,NA,19.18,19.62791667,19.67,20.32
Coffin,2007-09-20,2007,9,20,263,0.077809644,0,0.077809644,-4.668578662,37,NA,NA,NA,NA,NA
Coffin,2008-06-12,2008,6,12,164,0.056588832,0,0.056588832,-0.021220812,23,NA,NA,NA,NA,NA
Coffin,2008-06-19,2008,6,19,171,0.03536802,0,0.03536802,-0.021220812,24,NA,19.34,19.70916667,19.67,20.16
Coffin,2008-06-26,2008,6,26,178,0.063662436,0,0.063662436,0.028294416,25,NA,19.83,20.15625,20.24,20.48
Coffin,2008-07-03,2008,7,3,185,0.021220812,0,0.021220812,-0.042441624,26,NA,20.16,21.2875,21.215,22.13
Coffin,2008-07-10,2008,7,10,192,0.099030457,0,0.099030457,0.077809644,27,NA,23.14,23.74333333,23.66,24.17
Coffin,2008-07-17,2008,7,17,199,0.141472081,0,0.141472081,0.042441624,28,NA,22.81,23.52875,23.66,24
Coffin,2008-07-24,2008,7,24,206,1.004451773,0.007073604,1.011525377,0.870053296,29,NA,20.64,22.22583333,22.47,22.63
Coffin,2008-07-31,2008,7,31,213,0.622477155,0,0.622477155,-0.389048222,30,NA,22.81,23.34958333,23.31,24.17
Coffin,2008-08-07,2008,8,7,220,1.195439082,0.007073604,1.202512686,0.580035531,31,NA,21.97,22.53916667,22.55,23.14
Coffin,2008-08-14,2008,8,14,227,0.247576141,0.014147208,0.261723349,-0.940789336,32,NA,20.81,21.47458333,21.63,21.97
Coffin,2008-08-21,2008,8,21,234,0.028294416,0.007073604,0.03536802,-0.226355329,33,NA,19.99,20.63791667,20.81,21.13
Coffin,2008-08-26,2008,8,26,239,0.007073604,0,0.007073604,-0.028294416,34,NA,20.32,20.80791667,20.81,21.47
Coffin,2008-09-04,2008,9,4,248,0.452710658,0,0.452710658,0.445637054,35,NA,21.3,21.61958333,21.63,22.3
Coffin,2008-09-10,2008,9,10,254,0.014147208,0,0.014147208,-0.43856345,36,NA,19.99,20.38625,20.32,20.97
Coffin,2008-09-17,2008,9,17,261,0.056588832,0,0.056588832,0.042441624,37,NA,NA,NA,NA,NA
Coffin,2008-09-24,2008,9,24,268,0.056588832,0,0.056588832,0,38,NA,NA,NA,NA,NA
Coffin,2009-05-15,2009,5,15,135,0,0,0,-0.056588832,19,NA,NA,NA,NA,NA
Coffin,2009-05-29,2009,5,29,149,0.014147208,0,0.014147208,0.014147208,21,NA,13.47,14.015,13.78,14.56
Coffin,2009-06-04,2009,6,4,155,0.007073604,0,0.007073604,-0.007073604,22,NA,14.87,15.20708333,15.03,15.82
Coffin,2009-06-17,2009,6,17,168,0.028294416,0,0.028294416,0.021220812,24,NA,17.09,17.62916667,17.73,18.37
Coffin,2009-06-25,2009,6,25,176,0,0,0,-0.028294416,25,922363.7,18.53,18.75375,18.69,19.18
Coffin,2009-07-02,2009,7,2,183,0.063662436,0.014147208,0.077809644,0.077809644,26,111590.1,18.86,19.49958333,19.51,19.99
Coffin,2009-07-09,2009,7,9,190,0.113177665,0.021220812,0.134398477,0.056588832,27,733768.5,19.18,19.83125,19.83,20.64
Coffin,2009-07-16,2009,7,16,197,0.042441624,0,0.042441624,-0.091956852,28,490965.5,19.67,20.38625,20.32,21.13
Coffin,2009-07-23,2009,7,23,204,0.028294416,0,0.028294416,-0.014147208,29,257926.5,20.97,21.25916667,21.3,21.63
Coffin,2009-07-30,2009,7,30,211,0.056588832,0,0.056588832,0.028294416,30,238647.8,22.3,22.72583333,22.63,23.14
Coffin,2009-08-06,2009,8,6,218,0.042441624,0.007073604,0.049515228,-0.007073604,31,552202.2,22.47,22.72083333,22.81,22.97
Coffin,2009-08-13,2009,8,13,225,0.190987309,0,0.190987309,0.141472081,32,197648,22.81,23.07708333,23.14,23.48
Coffin,2009-08-20,2009,8,20,232,0.183913705,0.007073604,0.190987309,0,33,567712.7,24.34,24.91458333,24.87,25.38
Coffin,2009-08-27,2009,8,27,239,0.190987309,0,0.190987309,0,34,895755.2,22.63,22.99208333,22.97,23.31
Coffin,2009-09-01,2009,9,1,244,0.03536802,0,0.03536802,-0.155619289,35,740291.2,20.48,20.80666667,20.81,20.97
Coffin,2009-09-08,2009,9,8,251,0.353680202,0.007073604,0.360753806,0.325385786,36,703199.5,19.99,20.52208333,20.64,20.81
Coffin,2009-09-15,2009,9,15,258,0.233428933,0,0.233428933,-0.127324873,37,454551.6,18.86,19.21458333,19.18,19.51
Coffin,2009-09-21,2009,9,21,264,0.021220812,0,0.021220812,-0.212208121,38,NA,NA,NA,NA,NA
Coffin,2009-10-05,2009,10,5,278,0.141472081,0,0.141472081,0.120251269,40,NA,NA,NA,NA,NA
Coffin,2010-04-15,2010,4,15,105,0.042441624,0,0.042441624,-0.099030457,15,NA,NA,NA,NA,NA
Coffin,2010-04-30,2010,4,30,120,0.014147208,0,0.014147208,-0.028294416,17,NA,NA,NA,NA,NA
Coffin,2010-05-25,2010,5,25,145,0.049515228,0,0.049515228,0.03536802,21,NA,NA,NA,NA,NA
Coffin,2010-06-04,2010,6,4,155,0.007073604,0,0.007073604,-0.042441624,22,988078.3,18.86,19.68208333,19.83,20.81
Coffin,2010-06-10,2010,6,10,161,0.028294416,0.007073604,0.03536802,0.028294416,23,160803.1,17.09,17.33958333,17.41,17.57
Coffin,2010-06-15,2010,6,15,166,0,0,0,-0.03536802,24,1546544,16.93,17.4825,17.73,17.73
Coffin,2010-06-24,2010,6,24,175,0.049515228,0.007073604,0.056588832,0.056588832,25,785704.9,19.51,20.60333333,20.64,21.47
Coffin,2010-07-01,2010,7,1,182,0.113177665,0,0.113177665,0.056588832,26,779860,19.83,20.56958333,20.64,20.97
Coffin,2010-07-08,2010,7,8,189,2.107934002,0.381974618,2.48990862,2.376730955,27,1095652.7,25.73,26.44875,26.345,27.32
Coffin,2010-07-15,2010,7,15,196,1.31569035,0.445637054,1.761327404,-0.728581215,28,656438.5,25.21,26.01791667,26.08,26.96
Coffin,2010-07-22,2010,7,22,203,0.198060913,0.049515228,0.247576141,-1.513751263,29,95934,24.34,24.7,24.69,25.04
Coffin,2010-07-29,2010,7,29,210,0.049515228,0,0.049515228,-0.198060913,30,492191.3,22.97,23.38958333,23.31,23.83
Coffin,2010-08-05,2010,8,5,217,0.120251269,0.084883248,0.205134517,0.155619289,31,402626.1,23.31,23.5925,23.66,23.83
Coffin,2010-08-12,2010,8,12,224,0.275870557,0.021220812,0.297091369,0.091956852,32,942686,24,24.34333333,24.34,24.87
Coffin,2010-08-19,2010,8,19,231,0.042441624,0,0.042441624,-0.254649745,33,1434394.7,22.97,23.305,23.225,24
Coffin,2010-08-26,2010,8,26,238,0.36782741,0.007073604,0.374901014,0.33245939,34,1280201,20.81,21.06666667,20.97,21.47
Coffin,2010-09-02,2010,9,2,245,0.700286799,0,0.700286799,0.325385786,35,1718800.1,21.8,22.27333333,22.3,22.81
Coffin,2010-09-09,2010,9,9,252,0,0,0,-0.700286799,36,302068.7,19.99,20.39958333,20.4,20.64
Coffin,2010-09-16,2010,9,16,259,0.014147208,0,0.014147208,0.014147208,37,792991.4,17.57,18.52708333,18.61,19.34
Coffin,2010-09-22,2010,9,22,265,0.042441624,0,0.042441624,0.028294416,38,NA,NA,NA,NA,NA
Coffin,2010-09-30,2010,9,30,273,0,0,0,-0.042441624,39,NA,NA,NA,NA,NA
Coffin,2010-10-07,2010,10,7,280,0.007073604,0,0.007073604,0.007073604,40,NA,NA,NA,NA,NA
Coffin,2011-04-28,2011,4,28,118,0,0,0,-0.007073604,17,NA,NA,NA,NA,NA
Coffin,2011-05-05,2011,5,5,125,0,0,0,0,18,NA,NA,NA,NA,NA
Coffin,2011-05-12,2011,5,12,132,0,0,0,0,19,NA,NA,NA,NA,NA
Coffin,2011-05-19,2011,5,19,139,0,0,0,0,20,NA,NA,NA,NA,NA
Coffin,2011-05-26,2011,5,26,146,0,0,0,0,21,NA,NA,NA,NA,NA
Coffin,2011-06-02,2011,6,2,153,0,0,0,0,22,NA,NA,NA,NA,NA
Coffin,2011-06-10,2011,6,10,161,0,0,0,0,23,646559.1,18.38,19.54041667,19.84,20.32
Coffin,2011-06-16,2011,6,16,167,0,0,0,0,24,683790.8,17.73,18.10083333,18.05,18.54
Coffin,2011-06-23,2011,6,23,174,0.014147208,0,0.014147208,0.014147208,25,62710.9,19.35,19.83166667,19.76,20.32
Coffin,2011-06-30,2011,6,30,181,0,0,0,-0.014147208,26,548262.1,18.38,18.99333333,19.03,19.51
Coffin,2011-07-07,2011,7,7,188,0,0,0,0,27,819923.2,21.47,21.89458333,21.8,22.31
Coffin,2011-07-14,2011,7,14,195,0.028294416,0,0.028294416,0.028294416,28,1257048.1,22.64,23.14291667,23.15,23.66
Coffin,2011-07-21,2011,7,21,202,0.07073604,0.007073604,0.077809644,0.049515228,29,792722.4,23.83,24.42958333,24.435,24.87
