"site","date","year","month","dayofmonth","dayofyr","coloniesperL","filbundperL","totalperL","totalperL_diff","week","light_sum","watertemp_mean","watertemp_min","watertemp_max","watertemp_median","ysi_readings","buoy_interp","daylength","TMAX","TMIN","TOBS","season_week"
"coffin",2009-05-29,2009,5,29,149,0.014147208,0,0.014147208,0.014147208,22,NA,14.015,13.47,14.56,13.78,0,0,15.1024637991715,8.33333333333333,6.66666666666667,7.77777777777778,1
"fichter",2009-05-29,2009,5,29,149,0.007073604,0,0.007073604,0.007073604,22,NA,13.30416667,13.01,13.62,13.32,0,0,15.1024637991715,8.33333333333333,6.66666666666667,7.77777777777778,1
"midge",2009-05-29,2009,5,29,149,0.014147208,0,0.014147208,0.014147208,22,285449,14.02541667,13.81,14.59,13.97,0,0,15.1024637991715,8.33333333333333,6.66666666666667,7.77777777777778,1
"newbury",2009-05-29,2009,5,29,149,0,0,0,0,22,NA,11.49208333,10.86,12.09,11.47,0,0,15.1024637991715,8.33333333333333,6.66666666666667,7.77777777777778,1
"coffin",2009-06-04,2009,6,4,155,0.007073604,0,0.007073604,-0.007073604,23,NA,15.20708333,14.87,15.82,15.03,0,0,15.2393831279041,20.5555555555556,5.55555555555556,7.77777777777778,2
"fichter",2009-06-04,2009,6,4,155,0.021220812,0,0.021220812,0.014147208,23,NA,15.51791667,15.02,16.13,15.5,0,0,15.2393831279041,20.5555555555556,5.55555555555556,7.77777777777778,2
"midge",2009-06-04,2009,6,4,155,0.007073604,0,0.007073604,-0.007073604,23,125431.9,16.28041667,15.54,17.12,16.18,0,0,15.2393831279041,20.5555555555556,5.55555555555556,7.77777777777778,2
"newbury",2009-06-04,2009,6,4,155,0,0,0,0,23,NA,16.295,15.52,17.43,15.915,0,0,15.2393831279041,20.5555555555556,5.55555555555556,7.77777777777778,2
"coffin",2009-06-17,2009,6,17,168,0.028294416,0,0.028294416,0.021220812,24,NA,17.62916667,17.09,18.37,17.73,0,0,15.4083323931586,21.1111111111111,5,6.11111111111111,3
"fichter",2009-06-17,2009,6,17,168,0.007073604,0,0.007073604,-0.014147208,24,NA,17.61083333,16.45,19.5,17.005,0,0,15.4083323931586,21.1111111111111,5,6.11111111111111,3
"midge",2009-06-17,2009,6,17,168,0.03536802,0,0.03536802,0.028294416,24,136487.1,18.31958333,17.44,19.54,17.93,0,0,15.4083323931586,21.1111111111111,5,6.11111111111111,3
"newbury",2009-06-17,2009,6,17,168,0.007073604,0,0.007073604,0.007073604,24,NA,16.31875,15.84,16.79,16.39,0,0,15.4083323931586,21.1111111111111,5,6.11111111111111,3
"coffin",2009-06-25,2009,6,25,176,0,0,0,-0.028294416,26,922363.7,18.75375,18.53,19.18,18.69,0,0,15.4175815089021,23.8888888888889,16.6666666666667,17.7777777777778,5
"fichter",2009-06-25,2009,6,25,176,0.084883248,0,0.084883248,0.077809644,26,872580.2,19.11666667,18.53,20.63,18.775,0,0,15.4175815089021,23.8888888888889,16.6666666666667,17.7777777777778,5
"midge",2009-06-25,2009,6,25,176,0.014147208,0,0.014147208,-0.021220812,26,283232.2,18.74208333,17.77,20.35,18.25,0,0,15.4175815089021,23.8888888888889,16.6666666666667,17.7777777777778,5
"newbury",2009-06-25,2009,6,25,176,0.03536802,0,0.03536802,0.028294416,26,653910.6,18.64958333,18.07,19.04,18.8,0,0,15.4175815089021,23.8888888888889,16.6666666666667,17.7777777777778,5
"coffin",2009-07-02,2009,7,2,183,0.063662436,0.014147208,0.077809644,0.077809644,27,111590.1,19.49958333,18.86,19.99,19.51,0,0,15.365408971586,17.7777777777778,14.4444444444444,14.4444444444444,6
"fichter",2009-07-02,2009,7,2,183,0.063662436,0,0.063662436,-0.021220812,27,177680.3,18.57791667,18.21,18.86,18.53,0,0,15.365408971586,17.7777777777778,14.4444444444444,14.4444444444444,6
"midge",2009-07-02,2009,7,2,183,0,0,0,-0.014147208,27,61440.9,19.42833333,19.06,19.71,19.38,0,0,15.365408971586,17.7777777777778,14.4444444444444,14.4444444444444,6
"newbury",2009-07-02,2009,7,2,183,0.007073604,0,0.007073604,-0.028294416,27,83184,16.3525,15.68,17.11,16.31,0,0,15.365408971586,17.7777777777778,14.4444444444444,14.4444444444444,6
"coffin",2009-07-09,2009,7,9,190,0.113177665,0.021220812,0.134398477,0.056588832,28,733768.5,19.83125,19.18,20.64,19.83,0,0,15.2594533653071,19.4444444444444,11.6666666666667,12.2222222222222,7
"fichter",2009-07-09,2009,7,9,190,0.106104061,0.042441624,0.148545685,0.084883248,28,711077.8,19.4675,19.02,20.47,19.18,0,0,15.2594533653071,19.4444444444444,11.6666666666667,12.2222222222222,7
"midge",2009-07-09,2009,7,9,190,0.056588832,0.021220812,0.077809644,0.077809644,28,287569.5,19.53666667,19.06,20.35,19.54,0,0,15.2594533653071,19.4444444444444,11.6666666666667,12.2222222222222,7
"newbury",2009-07-09,2009,7,9,190,0.021220812,0.007073604,0.028294416,0.021220812,28,335620.2,18.28208333,17.27,19.53,18.31,0,0,15.2594533653071,19.4444444444444,11.6666666666667,12.2222222222222,7
"coffin",2009-07-16,2009,7,16,197,0.042441624,0,0.042441624,-0.091956852,29,490965.5,20.38625,19.67,21.13,20.32,0,0,15.1042509154612,24.4444444444444,9.44444444444444,13.3333333333333,8
