"","YearWeek","Precip_mm","Tmax_C","Tmin_C","Snow_mm"
"1","2005_Week1",18.542,4.444444444,-8.333333333,78.74
"2","2005_Week10",13.97,-3.333333333,-21.11111111,152.4
"3","2005_Week11",18.288,4.444444444,-11.11111111,299.72
"4","2005_Week12",5.08,8.333333333,-7.777777778,127
"5","2005_Week13",42.672,8.333333333,-4.444444444,0
"6","2005_Week14",45.212,11.66666667,0.555555556,0
"7","2005_Week15",0,14.44444444,-4.444444444,0
"8","2005_Week16",4.318,20,-4.444444444,0
"9","2005_Week17",59.182,12.77777778,0,0
"10","2005_Week18",9.398,13.88888889,-2.777777778,0
"11","2005_Week19",4.064,16.11111111,3.888888889,0
"12","2005_Week2",21.844,0,-11.66666667,134.62
"13","2005_Week20",4.572,17.77777778,1.666666667,0
"14","2005_Week21",52.832,12.22222222,5.555555556,0
"15","2005_Week22",4.826,21.66666667,7.777777778,0
"16","2005_Week23",10.922,29.44444444,11.66666667,0
"17","2005_Week24",48.768,31.11111111,17.77777778,0
"18","2005_Week25",31.75,23.33333333,8.888888889,0
"19","2005_Week26",53.848,30.55555556,18.33333333,0
"20","2005_Week27",13.716,27.22222222,12.77777778,0
"21","2005_Week28",31.496,30,13.33333333,0
"22","2005_Week29",26.924,30,15.55555556,0
"23","2005_Week3",11.684,-6.666666667,-19.44444444,50.8
"24","2005_Week30",13.462,30,11.66666667,0
"25","2005_Week31",27.178,28.33333333,13.88888889,0
"26","2005_Week32",0,30.55555556,12.77777778,0
"27","2005_Week33",29.972,26.66666667,12.77777778,0
"28","2005_Week34",11.938,25,7.777777778,0
"29","2005_Week35",81.788,27.77777778,13.88888889,0
"30","2005_Week36",0.508,26.66666667,7.222222222,0
"31","2005_Week37",12.446,25.55555556,8.333333333,0
"32","2005_Week38",8.89,25,7.777777778,0
"33","2005_Week39",28.448,20,1.666666667,0
"34","2005_Week4",14.224,-10.55555556,-26.11111111,365.76
"35","2005_Week40",0,26.11111111,4.444444444,0
"36","2005_Week41",180.594,13.88888889,7.222222222,0
"37","2005_Week42",73.914,13.88888889,5,0
"38","2005_Week43",95.504,7.222222222,-1.111111111,12.7
"39","2005_Week44",0.508,15.55555556,-2.777777778,0
"40","2005_Week45",36.576,11.66666667,2.777777778,0
"41","2005_Week46",43.18,10.55555556,-4.444444444,0
"42","2005_Week47",32.004,4.444444444,-9.444444444,124.46
"43","2005_Week48",35.814,7.222222222,-3.333333333,0
"44","2005_Week49",5.334,-0.555555556,-11.66666667,101.6
"45","2005_Week5",0,2.222222222,-22.22222222,0
"46","2005_Week50",14.478,-1.666666667,-17.77777778,165.1
"47","2005_Week51",19.812,-0.555555556,-15,101.6
"48","2005_Week52",50.292,4.444444444,-6.111111111,45.72
"49","2005_Week53",0,0.555555556,-13.33333333,0
"50","2005_Week6",36.068,8.888888889,-10,154.94
"51","2005_Week7",16.51,1.666666667,-11.11111111,88.9
"52","2005_Week8",7.874,-2.777777778,-17.22222222,127
"53","2005_Week9",12.192,-1.666666667,-18.33333333,152.4
"54","2006_Week1",7.112,0,-13.33333333,88.9
"55","2006_Week10",2.794,2.777777778,-12.22222222,0
"56","2006_Week11",32.512,7.222222222,-6.666666667,7.62
"57","2006_Week12",0,2.777777778,-9.444444444,7.62
"58","2006_Week13",0,13.33333333,-6.111111111,0
"59","2006_Week14",46.482,12.77777778,-5.555555556,12.7
"60","2006_Week15",1.016,17.77777778,-5,0
"61","2006_Week16",0,19.44444444,0,0
"62","2006_Week17",24.892,12.77777778,-2.222222222,0
"63","2006_Week18",21.336,20.55555556,3.333333333,0
"64","2006_Week19",10.16,17.77777778,3.888888889,0
"65","2006_Week2",18.288,5,-7.777777778,33.02
"66","2006_Week20",127.508,12.22222222,6.111111111,0
"67","2006_Week21",6.35,15,3.888888889,0
"68","2006_Week22",15.494,28.88888889,11.66666667,0
"69","2006_Week23",80.518,16.66666667,10.55555556,0
"70","2006_Week24",13.97,23.88888889,7.777777778,0
"71","2006_Week25",22.098,28.33333333,11.66666667,0
"72","2006_Week26",82.804,25.55555556,15,0
"73","2006_Week27",1.016,27.22222222,10.55555556,0
"74","2006_Week28",96.266,29.44444444,12.77777778,0
"75","2006_Week29",5.842,29.44444444,15.55555556,0
"76","2006_Week3",59.69,4.444444444,-10.55555556,101.6
"77","2006_Week30",98.552,30,14.44444444,0
"78","2006_Week31",44.196,30,16.11111111,0
"79","2006_Week32",10.668,25.55555556,8.888888889,0
"80","2006_Week33",1.524,25.55555556,10,0
"81","2006_Week34",37.846,20.55555556,11.11111111,0
"82","2006_Week35",15.494,20,9.444444444,0
"83","2006_Week36",17.272,20,11.66666667,0
"84","2006_Week37",17.018,17.222222225,3.888888889,0
"85","2006_Week38",7.874,22.77777778,8.888888889,0
"86","2006_Week39",27.94,18.33333333,4.444444444,0
"87","2006_Week4",11.938,1.666666667,-11.11111111,139.7
"88","2006_Week40",25.654,15,3.888888889,0
"89","2006_Week41",37.846,17.22222222,-1.111111111,0
"90","2006_Week42",51.054,14.44444444,-1.666666667,0
"91","2006_Week43",23.114,8.333333333,-1.111111111,0
"92","2006_Week44",33.02,10.55555556,-1.666666667,0
"93","2006_Week45",38.354,11.11111111,-3.888888889,0
"94","2006_Week46",62.992,14.44444444,7.777777778,0
"95","2006_Week47",0,6.666666667,-6.111111111,0
"96","2006_Week48",20.066,12.22222222,0,0
"97","2006_Week49",3.302,1.666666667,-9.444444444,76.2
"98","2006_Week5",18.796,4.444444444,-5,50.8
"99","2006_Week50",5.334,6.111111111,-6.111111111,0
"100","2006_Week51",15.748,7.777777778,-6.111111111,0
"101","2006_Week52",26.924,4.722222222,-3.333333333,33.02
"102","2006_Week53",3.556,-2.777777778,-13.33333333,58.42
"103","2006_Week6",19.558,-1.666666667,-11.11111111,7.62
"104","2006_Week7",5.334,3.888888889,-10,38.1
"105","2006_Week8",1.016,-1.111111111,-15.55555556,12.7
"106","2006_Week9",7.112,-6.111111111,-18.33333333,177.8
"107","2007_Week1",33.02,8.888888889,-7.777777778,0
"108","2007_Week10",0.762,0,-25.55555556,0
"109","2007_Week11",37.592,6.666666667,-7.777777778,215.9
"110","2007_Week12",5.08,5.555555556,-16.66666667,12.7
"111","2007_Week13",3.81,8.333333333,-4.444444444,0
"112","2007_Week14",33.528,1.666666667,-7.222222222,228.6
"113","2007_Week15",22.098,3.8888888885,-2.2222222225,152.4
"114","2007_Week16",103.632,10,-2.222222222,101.6
"115","2007_Week17",6.858,17.77777778,-1.111111111,0
"116","2007_Week18",12.192,15.55555556,-1.666666667,0
"117","2007_Week19",14.224,24.44444444,1.111111111,0
"118","2007_Week2",24.638,5,-2.777777778,7.62
"119","2007_Week20",68.834,12.5,4.444444444,0
"120","2007_Week21",3.81,23.33333333,6.111111111,0
"121","2007_Week22",21.336,25.55555556,8.888888889,0
"122","2007_Week23",32.258,20,7.777777778,0
"123","2007_Week24",19.558,25.55555556,10,0
"124","2007_Week25",12.954,23.61111111,9.444444444,0
"125","2007_Week26",0.508,28.88888889,12.22222222,0
"126","2007_Week27",27.686,24.44444444,7.777777778,0
"127","2007_Week28",87.884,25,13.88888889,0
"128","2007_Week29",47.498,24.44444444,12.22222222,0
"129","2007_Week3",12.954,-0.8333333335,-15.833333335,33.02
"130","2007_Week30",4.826,27.77777778,13.888888885,0
"131","2007_Week31",2.286,28.88888889,14.44444444,0
"132","2007_Week32",23.876,25,9.444444444,0
"133","2007_Week33",21.082,26.11111111,8.888888889,0
"134","2007_Week34",9.144,20.55555556,5,0
"135","2007_Week35",7.874,25.555555555,9.444444444,0
"136","2007_Week36",4.826,26.11111111,6.111111111,0
"137","2007_Week37",60.452,18.88888889,6.111111111,0
"138","2007_Week38",0.254,23.33333333,2.777777778,0
"139","2007_Week39",2.286,25,6.111111111,0
"140","2007_Week4",1.778,-7.777777778,-16.66666667,63.5
"141","2007_Week40",4.572,24.16666667,6.111111111,0
"142","2007_Week41",63.246,13.33333333,7.222222222,0
"143","2007_Week42",27.94,16.11111111,1.111111111,0
"144","2007_Week43",40.894,18.88888889,3.333333333,0
"145","2007_Week44",0.254,12.77777778,-1.111111111,0
"146","2007_Week45",14.224,4.7222222225,-3.888888889,0
"147","2007_Week46",40.894,6.111111111,-6.666666667,0
"148","2007_Week47",9.652,2.222222222,-9.444444444,63.5
"149","2007_Week48",31.75,5.555555556,-2.777777778,7.62
"150","2007_Week49",16.51,-3.333333333,-13.33333333,203.2
"151","2007_Week5",8.382,-1.666666667,-16.66666667,152.4
"152","2007_Week50",23.622,1.111111111,-14.44444444,241.3
"153","2007_Week51",23.114,-2.777777778,-12.77777778,241.3
"154","2007_Week52",30.734,2.777777778,-3.333333333,63.5
"155","2007_Week53",6.858,2.222222222,-2.777777778,121.92
"156","2007_Week6",0,-8.333333333,-20,7.62
"157","2007_Week7",35.56,-4.444444444,-16.11111111,317.5
"158","2007_Week8",1.27,-1.666666667,-15,25.4
"159","2007_Week9",30.734,2.777777778,-6.666666667,203.2
"160","2008_Week1",10.668,-2.777777778,-17.22222222,139.7
"161","2008_Week10",57.912,6.666666667,-8.333333333,0
"162","2008_Week11",5.588,3.333333333,-10,12.7
"163","2008_Week12",18.034,2.222222222,-11.11111111,20.32
"164","2008_Week13",13.208,5.277777778,-11.11111111,101.6
"165","2008_Week14",18.034,6.666666667,-2.222222222,7.62
"166","2008_Week15",9.398,13.33333333,-3.333333333,0
"167","2008_Week16",0,21.66666667,-2.777777778,0
"168","2008_Week17",1.016,22.22222222,2.222222222,0
"169","2008_Week18",60.706,8.3333333335,-0.555555556,0
"170","2008_Week19",0.508,20,0,0
"171","2008_Week2",14.732,5.555555556,-3.888888889,25.4
"172","2008_Week20",2.286,17.22222222,3.333333333,0
"173","2008_Week21",0.508,18.33333333,3.333333333,0
"174","2008_Week22",2.54,23.88888889,4.444444444,0
"175","2008_Week23",20.574,20,12.77777778,0
"176","2008_Week24",23.368,27.22222222,11.66666667,0
"177","2008_Week25",12.7,22.22222222,8.333333333,0
"178","2008_Week26",55.88,23.88888889,14.44444444,0
"179","2008_Week27",1.27,26.66666667,11.66666667,0
"180","2008_Week28",17.272,27.77777778,16.66666667,0
"181","2008_Week29",25.908,28.88888889,13.88888889,0
"182","2008_Week3",14.732,-1.1111111115,-13.33333333,190.5
"183","2008_Week30",81.026,25.55555556,14.44444444,0
"184","2008_Week31",17.526,26.11111111,13.88888889,0
"185","2008_Week32",50.8,23.88888889,13.33333333,0
"186","2008_Week33",16.51,23.61111111,11.11111111,0
"187","2008_Week34",7.874,27.22222222,10,0
"188","2008_Week35",0,24.44444444,8.333333333,0
"189","2008_Week36",67.31,26.66666667,12.22222222,0
"190","2008_Week37",44.958,20,8.333333333,0
"191","2008_Week38",0,20.833333335,2.5,0
"192","2008_Week39",34.798,18.88888889,7.222222222,0
"193","2008_Week4",1.016,-3.888888889,-18.33333333,25.4
"194","2008_Week40",19.812,15,1.666666667,0
"195","2008_Week41",4.318,18.88888889,0,0
"196","2008_Week42",15.494,13.88888889,3.333333333,0
"197","2008_Week43",56.388,13.88888889,-4.444444444,0
"198","2008_Week44",16.002,8.333333333,-5.555555556,0
"199","2008_Week45",16.764,16.11111111,3.333333333,0
"200","2008_Week46",19.558,7.777777778,-2.222222222,0
"201","2008_Week47",0.254,-2.777777778,-9.444444444,7.62
"202","2008_Week48",45.212,3.888888889,-5,25.4
"203","2008_Week49",0.508,3.888888889,-7.777777778,25.4
"204","2008_Week5",26.924,1.666666667,-10.55555556,38.1
"205","2008_Week50",84.328,0.555555556,-9.444444444,88.9
"206","2008_Week51",40.132,-0.555555556,-7.222222222,571.5
"207","2008_Week52",6.858,2.222222222,-13.88888889,0
"208","2008_Week53",0.508,1.666666667,-6.9444444445,12.7
"209","2008_Week6",61.976,1.111111111,-5,330.2
"210","2008_Week7",58.166,0.555555556,-18.88888889,139.7
"211","2008_Week8",10.16,-2.5,-16.11111111,60.96
"212","2008_Week9",23.368,0.555555556,-15,254
"213","2009_Week1",8.128,-4.444444444,-13.33333333,114.3
"214","2009_Week10",29.718,5,-7.777777778,114.3
"215","2009_Week11",5.08,8.888888889,-7.777777778,0
"216","2009_Week12",3.302,5.555555556,-8.888888889,0
"217","2009_Week13",19.304,10.55555556,-1.666666667,0
"218","2009_Week14",44.45,9.444444444,-1.111111111,0
"219","2009_Week15",0.508,10.55555556,-3.888888889,0
"220","2009_Week16",7.62,14.44444444,-3.333333333,0
"221","2009_Week17",9.906,22.77777778,3.888888889,0
"222","2009_Week18",6.858,16.66666667,1.111111111,0
"223","2009_Week19",37.846,17.22222222,6.111111111,0
"224","2009_Week2",18.542,-3.888888889,-17.77777778,190.5
"225","2009_Week20",17.526,18.05555556,2.777777778,0
"226","2009_Week21",1.27,23.88888889,4.444444444,0
"227","2009_Week22",32.766,18.33333333,6.666666667,0
"228","2009_Week23",18.288,21.66666667,7.777777778,0
"229","2009_Week24",40.132,21.11111111,10,0
"230","2009_Week25",16.51,21.666666665,15.55555556,0
"231","2009_Week26",25.654,23.88888889,15.55555556,0
"232","2009_Week27",65.024,22.22222222,12.22222222,0
"233","2009_Week28",5.334,23.33333333,9.444444444,0
"234","2009_Week29",33.274,26.11111111,10.55555556,0
"235","2009_Week3",7.112,-5.555555556,-22.77777778,127
"236","2009_Week30",35.306,25.277777775,15.55555556,0
"237","2009_Week31",75.184,27.22222222,13.33333333,0
"238","2009_Week32",31.242,24.44444444,9.444444444,0
"239","2009_Week33",0,30,15.55555556,0
"240","2009_Week34",37.592,26.66666667,15.55555556,0
"241","2009_Week35",37.338,20.55555556,7.222222222,0
"242","2009_Week36",0,24.44444444,6.666666667,0
"243","2009_Week37",13.716,20,8.333333333,0
"244","2009_Week38",1.524,19.44444444,4.444444444,0
"245","2009_Week39",14.224,17.77777778,6.111111111,0
"246","2009_Week4",1.27,-4.444444444,-23.33333333,12.7
"247","2009_Week40",41.148,12.5,3.888888889,0
"248","2009_Week41",15.494,12.22222222,-1.111111111,0
"249","2009_Week42",0,7.222222222,-5,0
"250","2009_Week43",79.502,12.77777778,1.111111111,0
"251","2009_Week44",21.844,10.55555556,2.222222222,0
"252","2009_Week45",0,7.5,-3.333333333,0
"253","2009_Week46",23.114,9.444444444,-3.888888889,0
