date,temp_Coffin.mean,temp_Coffin.min,temp_Coffin.max,temp_Coffin.median,temp_Coffin.obs,temp_Fichter.mean,temp_Fichter.min,temp_Fichter.max,temp_Fichter.median,temp_Fichter.obs,temp_OldNewbury.mean,temp_OldNewbury.min,temp_OldNewbury.max,temp_OldNewbury.median,temp_OldNewbury.obs,temp_Midge.mean,temp_Midge.min,temp_Midge.max,temp_Midge.median,temp_Midge.obs
2009-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.58911475,14.038,15.664,14.517,61
2009-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.75157639,12.11,14.134,12.69,144
2009-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.896625,12.497,13.461,12.883,144
2009-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.79125,12.401,14.134,12.69,144
2009-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13.37459028,12.207,15.378,13.75,144
2009-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.29155556,13.365,15.473,14.325,144
2009-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.47920833,14.421,17.094,15.855,144
2009-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16.66496528,15.76,18.045,16.6655,144
2009-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.08095833,14.421,16.999,15.091,144
2009-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.38808333,14.709,16.808,15.282,144
2009-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.87145139,15.282,17.284,15.76,144
2009-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16.10865972,14.804,17.76,16.2845,144
2009-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.48555556,14.613,16.427,15.378,144
2009-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.47572222,14.134,14.804,14.517,144
2009-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.2595,13.942,14.804,14.23,144
2009-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.25121528,14.325,16.523,15.569,144
2009-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.5375,14.9,16.332,15.4255,144
2009-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.12945139,14.613,15.855,15.139,144
2009-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.71769444,15.187,16.427,15.569,144
2009-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.95874306,15.091,16.808,15.951,144
2009-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16.73132639,15.855,17.76,16.618,144
2009-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16.2889375,15.569,16.903,16.427,144
2009-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17.39370139,16.427,18.901,16.999,144
2009-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.31678472,17.95,19.092,18.236,144
