time,Year,dayofyr,Mean(GloeoDensity)
1,2008,180,0
2,2008,181,0.035
3,2008,182,0.41
4,2008,183,0.785
5,2008,184,10.745
6,2008,185,3.954
7,2008,186,2.179
8,2008,187,0.601
9,2008,188,0.538
10,2008,189,0.891
11,2008,190,2.525
12,2008,191,4.548
13,2008,192,4.124
14,2008,193,4.35
15,2008,194,3.876
16,2008,195,2.08
17,2008,196,0.637
18,2008,197,0.615
19,2008,198,1.259
20,2008,199,0.538
21,2008,200,1.938
22,2008,201,1.493
23,2008,202,1.061
24,2008,203,0.615
25,2008,204,0.509
26,2008,205,0.092
27,2008,206,0.248
28,2008,207,0.241
29,2008,208,1.089
30,2008,209,0.778
31,2008,210,0.898
32,2008,211,1.16
33,2008,212,1.698
34,2008,213,0.99
35,2008,214,0.332
36,2008,215,0.396
37,2008,216,0.17
38,2008,217,0.113
39,2008,218,0.163
40,2008,219,0.127
41,2008,220,0.113
42,2008,221,0.099
43,2008,222,0.085
44,2008,223,0.042
45,2008,224,0.028
46,2008,225,0.035
47,2008,226,0.057
48,2008,227,0.163
49,2008,228,0.057
50,2008,229,0.113
51,2008,230,0.057
52,2008,231,0.057
53,2008,232,0.212
54,2008,233,0.198
55,2008,234,0.198
56,2008,235,0.12
57,2008,236,0.241
58,2008,237,0.057
59,2008,238,0.12
60,2008,239,0.064
61,2008,240,0.071
62,2008,241,0.064
63,2008,242,0.064
64,2008,243,0.156
65,2008,244,0.042
66,2008,245,0.269
67,2008,246,0.368
68,2008,247,0.269
69,2008,248,0.283
70,2008,249,0.057
71,2008,250,0.014
72,2008,251,0.028
73,2008,252,0.042
74,2008,253,0
75,2008,254,0.028
76,2008,255,0.071
77,2008,256,0.014
78,2008,257,0.042
79,2008,258,0.042
80,2008,259,0.226
81,2008,260,0.071
82,2008,261,0.042
83,2008,262,0.071
84,2008,263,0
85,2008,264,0.085
86,2008,265,0
87,2008,266,0
88,2008,267,0.057
89,2008,268,0.042
90,2008,269,0
91,2008,270,0
92,2008,271,0
93,2008,272,0
94,2008,273,0
95,2008,274,0
96,2008,275,0
97,2008,276,0
98,2008,277,0
99,2008,278,0
100,2008,279,0
101,2008,280,0
102,2009,180,0
103,2009,181,0
104,2009,182,0
105,2009,183,0.007073604
106,2009,184,0.021220812
107,2009,185,0.10610406
108,2009,186,0.021220812
109,2009,187,0.021220812
110,2009,188,0.014147208
111,2009,189,0.021220812
112,2009,190,0.049515228
113,2009,191,0.042441624
114,2009,192,0.056588832
115,2009,193,0.077809644
116,2009,194,0.028294416
117,2009,195,0.03536802
118,2009,196,0.03536802
119,2009,197,0.07073604
120,2009,198,0.028294416
121,2009,199,0.03536802
122,2009,200,0.290017765
123,2009,201,0.325385786
124,2009,202,0.03536802
125,2009,203,0.183913705
126,2009,204,0.120251269
127,2009,205,0.099030456
128,2009,206,0.148545685
129,2009,207,0.247576141
130,2009,208,0.113177665
131,2009,209,0.290017765
132,2009,210,0.50929949
133,2009,211,0.417342638
134,2009,212,0.304164973
135,2009,213,0.339532994
136,2009,214,0.190987309
137,2009,215,0.113177665
138,2009,216,0.148545685
139,2009,217,0.424416242
140,2009,218,0.445637054
141,2009,219,0.481005074
142,2009,220,0.346606598
143,2009,221,0.282944161
144,2009,222,0.141472081
145,2009,223,0.693213195
146,2009,224,0.389048222
147,2009,225,0.10610406
148,2009,226,0.353680202
149,2009,227,0.643697967
150,2009,228,0.431489846
151,2009,229,1.15653426
152,2009,230,1.881578673
153,2009,231,3.91170303
154,2009,232,0.700286799
155,2009,233,0.190987309
156,2009,234,0.374901014
157,2009,235,0.282944161
158,2009,236,0.148545685
159,2009,237,0.445637054
160,2009,238,0.339532994
161,2009,239,0.424416242
162,2009,240,0.905421316
163,2009,241,0.183913705
164,2009,242,0.261723349
165,2009,243,0.318312181
166,2009,244,0.290017765
167,2009,245,0.261723349
168,2009,246,0.120251269
169,2009,247,0.148545685
170,2009,248,0.198060913
171,2009,249,0.042441624
172,2009,250,0.021220812
173,2009,251,0.091956852
174,2009,252,0.063662436
175,2009,253,0.03536802
176,2009,254,0
177,2009,255,0
178,2009,256,0.028294416
179,2009,257,0.042441624
180,2009,258,0.024757614
181,2009,259,0.007073604
182,2009,260,0.007073604
183,2009,261,0.007073604
184,2009,262,0.014147208
185,2009,263,0.099030456
186,2009,264,0.261723349
187,2009,265,0.10610406
188,2009,266,0.113177665
189,2009,267,0.47393147
190,2009,268,2.433319788
191,2009,269,4.392708105
192,2009,270,0.792243652
193,2009,271,0.325385786
194,2009,272,0.233428933
195,2009,273,0.537593907
196,2009,274,0.268796953
197,2009,275,0.190987309
198,2009,276,0.233428933
199,2009,277,0.091956852
200,2009,278,0.169766497
201,2009,279,0
202,2009,280,0
203,2010,180,0.99
204,2010,181,0.403
205,2010,182,0.41
206,2010,183,0.46
207,2010,184,0.516
208,2010,185,0.976
209,2010,186,0.934
210,2010,187,0.198
211,2010,188,0.446
212,2010,189,0.177
213,2010,190,0.58
214,2010,191,0.955
215,2010,192,0.566
216,2010,193,0.934
217,2010,194,1.167
218,2010,195,0.729
219,2010,196,0.332
220,2010,197,0.672
221,2010,198,0.941
222,2010,199,0.424
223,2010,200,1.203
224,2010,201,0.736
225,2010,202,1.386
226,2010,203,1.026
227,2010,204,1.584
228,2010,205,1.464
229,2010,206,2.469
230,2010,207,1.485
231,2010,208,1.45
232,2010,209,1.132
233,2010,210,2.03
234,2010,211,1.089
235,2010,212,0.722
236,2010,213,0.679
237,2010,214,1.174
238,2010,215,1.676
239,2010,216,2.638
240,2010,217,5.97
241,2010,218,3.947
242,2010,219,4.57
243,2010,220,10.207
244,2010,221,6.083
245,2010,222,7.611
246,2010,223,0.912
247,2010,224,3.417
248,2010,225,1.712
249,2010,226,1.974
250,2010,227,3.374
251,2010,228,1.302
252,2010,229,5.581
253,2010,230,13.065
254,2010,231,6.713
255,2010,232,4.52
256,2010,233,32.241
257,2010,234,4.287
258,2010,235,0.92
259,2010,236,2.603
260,2010,237,0.262
261,2010,238,1.436
262,2010,239,3.367
263,2010,240,9.337
264,2010,241,1.542
265,2010,242,0.141
266,2010,243,0.106
267,2010,244,0.219
268,2010,245,0.241
