STATION,date,CHL,SD,Depth,LAYER,PH,TP,COND,TURBIDITY
110,2006-06-21,2.18,4.5,0,I,6.55,0.008,92,1.66
110,2006-07-17,1.3,4.75,7,I,6.66,0.007,90,0.71
110,2006-08-15,3.66,5.5,0,I,6.43,0.006,88.4,0.75
110,2006-09-05,4.83,5.75,11,I,6.4,0.007,89.5,1.34
110,2006-10-10,3.69,5.5,7,I,6.74,0.006,90.6,1.3
110,2007-06-19,1.25,6.25,0,I,6.67,0.009,84.9,1.07
110,2007-07-16,1.97,5.5,7,I,6.56,0.008,87,2.08
110,2007-08-21,2.32,5.25,7,I,6.76,0.005,86.6,0.71
110,2007-09-17,2.7,5.25,7,I,6.62,0.006,87.5,1.18
110,2007-10-09,1.85,6.75,0,I,6.5,0.01,87.5,0.62
110,2008-06-17,1.97,6,0,I,7.06,0.005,91.3,1.1
110,2008-07-16,1.64,6.75,7,I,7.01,0.005,91.9,0.6
110,2008-08-13,0,6.05,7,I,6.93,0.021,93.1,0.87
110,2008-09-10,1.28,5.5,0,I,7,0.005,92,0.95
110,2008-10-08,1.63,5.625,0,I,6.92,0.005,93.4,1.19
110,2009-06-17,2.18,6.5,8,I,6.78,0.006,96.1,2.8
110,2009-07-20,0.74,8.3,8,I,7.08,0.005,97.5,0.61
110,2009-08-11,1.78,6.37,8,I,6.92,0.005,96.4,1.44
110,2009-09-08,1.45,6.75,8,I,5.81,0.006,97,1.16
110,2009-09-30,1.28,7.8,0,I,6.55,0.007,100.5,0.8
110,2010-06-15,0.95,6,7,I,6.92,0.008,94.3,1.25
110,2010-07-12,0.92,6.875,7,I,6.87,0.004,96.8,1.22
110,2010-08-10,1.44,7.25,7,I,6.8,0.004,92.5,1.12
110,2010-09-07,1.38,7.875,7,I,6.98,0.005,95.2,2.36
110,2010-10-05,1.28,5.68,8,I,6.68,0.006,97.4,1.35
110,2011-06-13,1.26,5.937,8,I,5.94,0.006,87.3,0.81
110,2011-07-19,1.66,5.875,7,I,6.75,0.007,87.1,1.17
110,2011-08-18,2.36,5.75,7,I,6.89,0.005,95.8,1.12
110,2011-09-13,1.09,5.625,0,I,6.85,0.009,90.2,2.21
110,2011-10-03,1.33,4.625,7,I,6.72,0.008,92.9,0.98
110,2012-06-13,0.9,6.72,7,I,6.75,0.008,85.4,0.89
110,2012-07-17,0.9,7.5,7,I,6.76,0.009,81.9,1.39
110,2012-08-14,1.09,7.625,7,I,6.26,0.009,84,1.79
110,2012-09-12,1.44,6.875,0,I,6.69,0.008,86.4,1.7
110,2012-10-02,1.61,6.375,7,I,6.08,0.009,83.2,1.7
110,2013-07-16,1.63,5.875,7,I,6.78,0.013,89.6,1.61
110,2013-08-13,1.44,7,7,I,6.54,0.008,88.4,0.71
110,2013-09-17,1.98,5.5,7,I,6.51,0.004,90.1,1.05
110,2014-06-16,1.98,5.75,7,I,6.69,0.008,94.7,1.19
110,2014-07-14,0.92,6.75,7,I,6.69,0.004,92.1,0.77
110,2014-08-11,1.25,7,7,I,7,0.004,93.3,0.88
110,2014-09-02,2.15,6,7,I,6.86,0.004,92.5,0.85
110,2015-06-17,1.25,8,7,I,6.64,0.008,96.7,1.26
110,2015-07-15,1.63,6.25,7,I,6.54,0.004,95.2,0.52
110,2015-08-10,1.06,6.25,7,I,6.75,0.005,100.3,1.26
110,2015-09-10,1.25,6.6,7,I,6.85,0.009,99.1,0.67
110,2016-06-14,1.09,5.75,8.3,I,7.1,0.004,98.7,1.4
110,2016-07-12,1.08,8,NA,I,7.31,0.006,101.2,2.19
110,2016-08-16,1.06,7.75,8.3,I,7.24,0.001,101.8,1.51
110,2016-09-13,1.41,7.5,7.3,I,7.25,0.003,103.4,0.97
