site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,week,light_sum,watertemp_mean,watertemp_min,watertemp_max,watertemp_median,ysi_readings,buoy_interp
midge,2005-07-21,2005,7,21,202,0.077809644,NA,0.077809644,NA,29,NA,24.7,NA,NA,NA,1,0
midge,2005-07-22,2005,7,22,203,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,0,0
midge,2005-07-23,2005,7,23,204,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,0,0
midge,2005-07-24,2005,7,24,205,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,0,0
midge,2005-07-25,2005,7,25,206,NA,NA,NA,NA,30,NA,24,NA,NA,NA,1,0
midge,2005-07-26,2005,7,26,207,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,0,0
midge,2005-07-27,2005,7,27,208,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,0,0
midge,2005-07-28,2005,7,28,209,0.452710658,NA,0.452710658,0.374901014,30,NA,24,NA,NA,NA,1,0
midge,2005-07-29,2005,7,29,210,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,0,0
midge,2005-07-30,2005,7,30,211,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,0,0
midge,2005-07-31,2005,7,31,212,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,0,0
midge,2005-08-01,2005,8,1,213,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,0,0
midge,2005-08-02,2005,8,2,214,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,0,0
midge,2005-08-03,2005,8,3,215,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,0,0
midge,2005-08-04,2005,8,4,216,0.113177665,NA,0.113177665,-0.339532994,31,NA,23.6,NA,NA,NA,1,0
midge,2005-08-05,2005,8,5,217,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,0,0
midge,2005-08-06,2005,8,6,218,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,0,0
midge,2005-08-07,2005,8,7,219,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,0,0
midge,2005-08-08,2005,8,8,220,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,0,0
midge,2005-08-09,2005,8,9,221,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,0,0
midge,2005-08-10,2005,8,10,222,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,0,0
midge,2005-08-11,2005,8,11,223,1.152997457,NA,1.152997457,1.039819793,32,NA,24.6,NA,NA,NA,1,0
midge,2005-08-12,2005,8,12,224,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,0,0
midge,2005-08-13,2005,8,13,225,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,0,0
midge,2005-08-14,2005,8,14,226,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,0,0
midge,2005-08-15,2005,8,15,227,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,0,0
midge,2005-08-16,2005,8,16,228,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,0,0
midge,2005-08-17,2005,8,17,229,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,0,0
midge,2005-08-18,2005,8,18,230,0.657845175,NA,0.657845175,-0.495152282,33,NA,24.4,NA,NA,NA,1,0
midge,2005-08-19,2005,8,19,231,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,0,0
midge,2005-08-20,2005,8,20,232,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,0,0
midge,2005-08-21,2005,8,21,233,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,0,0
midge,2005-08-22,2005,8,22,234,NA,NA,NA,NA,34,NA,23.1,NA,NA,NA,1,0
midge,2005-08-23,2005,8,23,235,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,0,0
midge,2005-08-24,2005,8,24,236,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,0,0
midge,2005-08-25,2005,8,25,237,0.488078678,NA,0.488078678,-0.169766497,34,NA,22.3,NA,NA,NA,1,0
midge,2005-08-26,2005,8,26,238,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,0,0
midge,2005-08-27,2005,8,27,239,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,0,0
midge,2005-08-28,2005,8,28,240,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,0,0
midge,2005-08-29,2005,8,29,241,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,0,0
midge,2005-08-30,2005,8,30,242,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,0,0
midge,2005-08-31,2005,8,31,243,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,0,0
midge,2005-09-01,2005,9,1,244,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,0,0
midge,2005-09-02,2005,9,2,245,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,0,0
midge,2005-09-03,2005,9,3,246,1.817916237,NA,1.817916237,1.329837558,36,NA,NA,NA,NA,NA,0,0
midge,2005-09-04,2005,9,4,247,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,0,0
midge,2005-09-05,2005,9,5,248,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,0,0
midge,2005-09-06,2005,9,6,249,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,0,0
midge,2005-09-07,2005,9,7,250,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,0,0
midge,2005-09-08,2005,9,8,251,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,0,0
midge,2005-09-09,2005,9,9,252,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,0,0
midge,2005-09-10,2005,9,10,253,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,0,0
midge,2005-09-11,2005,9,11,254,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,0,0
midge,2005-09-12,2005,9,12,255,3.232637043,NA,3.232637043,1.414720807,37,NA,NA,NA,NA,NA,0,0
midge,2005-09-13,2005,9,13,256,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,0,0
midge,2005-09-14,2005,9,14,257,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,0,0
midge,2005-09-15,2005,9,15,258,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,0,0
midge,2005-09-16,2005,9,16,259,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,0,0
midge,2005-09-17,2005,9,17,260,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,0,0
midge,2005-09-18,2005,9,18,261,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,0,0
midge,2005-09-19,2005,9,19,262,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,0,0
midge,2005-09-20,2005,9,20,263,0.014147208,NA,0.014147208,-3.218489835,38,NA,NA,NA,NA,NA,0,0
midge,2005-09-21,2005,9,21,264,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,0,0
midge,2005-09-22,2005,9,22,265,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,0,0
midge,2005-09-23,2005,9,23,266,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,0,0
midge,2005-09-24,2005,9,24,267,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,0,0
midge,2005-09-25,2005,9,25,268,0.183913705,NA,0.183913705,0.169766497,39,NA,NA,NA,NA,NA,0,0
midge,2005-09-26,2005,9,26,269,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,0,0
midge,2005-09-27,2005,9,27,270,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,0,0
midge,2005-09-28,2005,9,28,271,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,0,0
midge,2005-09-29,2005,9,29,272,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,0,0
midge,2005-09-30,2005,9,30,273,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,0,0
midge,2005-10-01,2005,10,1,274,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,0,0
midge,2005-10-02,2005,10,2,275,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,0,0
midge,2005-10-03,2005,10,3,276,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,0,0
midge,2005-10-04,2005,10,4,277,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,0,0
midge,2005-10-05,2005,10,5,278,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,0,0
midge,2005-10-06,2005,10,6,279,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,0,0
midge,2005-10-07,2005,10,7,280,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,0,0
midge,2005-10-08,2005,10,8,281,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,0,0
midge,2005-10-09,2005,10,9,282,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,0,0
midge,2005-10-10,2005,10,10,283,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,0,0
midge,2005-10-11,2005,10,11,284,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,0,0
midge,2005-10-12,2005,10,12,285,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,0,0
midge,2005-10-13,2005,10,13,286,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,0,0
midge,2005-10-14,2005,10,14,287,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,0,0
midge,2005-10-15,2005,10,15,288,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,0,0
midge,2005-10-16,2005,10,16,289,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,0,0
midge,2005-10-17,2005,10,17,290,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,0,0
midge,2005-10-18,2005,10,18,291,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,0,0
midge,2005-10-19,2005,10,19,292,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,0,0
midge,2005-10-20,2005,10,20,293,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,0,0
midge,2005-10-21,2005,10,21,294,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,0,0
midge,2005-10-22,2005,10,22,295,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,0,0
