date,site,watertemp_daily_mean,watertemp_daily_median,watertemp_daily_max,watertemp_daily_min,watertemp_daily_sd,watertemp_daily_range,watertemp_daily_cv,watertemp_daily_obs
2006-07-13,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-14,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-15,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-16,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-17,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-18,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-19,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-20,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-21,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-22,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-23,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-24,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-25,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-26,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-27,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-28,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-29,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-30,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-07-31,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-08-01,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-08-02,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-08-03,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-08-04,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-08-05,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-08-06,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-08-07,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-08-08,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-08-09,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-08-10,coffin,NA,NA,NA,NA,NA,NA,NA,0
2006-08-11,coffin,NA,NA,NA,NA,NA,NA,NA,0
