year,week,site,max,mean,median,min,obs,sd,watertemp_weekly_range,watertemp_weekly_cv
2006,28,coffin,NA,NaN,NA,NA,0,NA,NA,NA
2006,29,coffin,NA,NaN,NA,NA,0,NA,NA,NA
2006,30,coffin,NA,NaN,NA,NA,0,NA,NA,NA
2006,31,coffin,NA,NaN,NA,NA,0,NA,NA,NA
2006,32,coffin,NA,NaN,NA,NA,0,NA,NA,NA
2006,33,coffin,NA,NaN,NA,NA,0,NA,NA,NA
2006,34,coffin,NA,NaN,NA,NA,0,NA,NA,NA
2006,35,coffin,NA,NaN,NA,NA,0,NA,NA,NA
2006,36,coffin,NA,NaN,NA,NA,0,NA,NA,NA
2006,37,coffin,NA,NaN,NA,NA,0,NA,NA,NA
2006,38,coffin,NA,NaN,NA,NA,0,NA,NA,NA
2007,26,coffin,20.97,20.609791666666666,20.64,19.83,48,0.30418002496655216,1.1400000000000006,0.014759005325537521
2007,27,coffin,20.64,19.89517857142857,19.83,19.18,168,0.30287242272654374,1.4600000000000009,0.015223408105594905
2007,28,coffin,23.48,21.301904761904762,21.13,20.16,168,0.747531628618864,3.3200000000000003,0.035092243485930485
2007,29,coffin,22.63,21.675773809523808,21.63,20.81,168,0.3831784766120012,1.8200000000000003,0.01767772998459884
2007,30,coffin,25.21,22.76779761904762,22.47,21.3,168,1.0259287748241892,3.91,0.04506051889559549
2007,31,coffin,25.73,24.83416666666667,24.87,24,168,0.4224244490671205,1.7300000000000004,0.0170098097003639
2007,32,coffin,24.69,23.848035714285714,24,22.97,168,0.4063025316434126,1.7200000000000024,0.017037148740934868
2007,33,coffin,23.83,22.680892857142858,22.81,21.13,168,0.6598201808723334,2.6999999999999993,0.029091455306819513
2007,34,coffin,22.13,21.037142857142857,20.97,20.32,168,0.3914997156752782,1.8099999999999987,0.018609928084523615
2007,35,coffin,24.52,22.339880952380952,22.47,20.97,168,0.6290321318251944,3.5500000000000007,0.028157362752559926
2007,36,coffin,21.63,20.864940476190476,20.97,20.16,168,0.32707009452883495,1.4699999999999989,0.015675582439454504
2007,37,coffin,20.81,19.796666666666667,19.83,18.21,168,0.6451102738827381,2.599999999999998,0.03258681295922233
2007,38,coffin,20.32,18.997283950617284,19.02,18.05,81,0.5634825027134359,2.2699999999999996,0.029661213896585808
2008,25,coffin,20.97,20.054802631578948,19.99,19.18,152,0.39468315802022363,1.7899999999999991,0.01968023147725935
2008,26,coffin,21.3,20.327559523809523,20.32,19.02,168,0.422365022231437,2.280000000000001,0.020777950335687072
2008,27,coffin,24,22.05761904761905,21.97,20.16,168,1.0407109719130307,3.84,0.04718147365163456
2008,28,coffin,24.52,23.593273809523808,23.66,22.81,168,0.3729868068877865,1.7100000000000009,0.015809031417133145
2008,29,coffin,24.69,23.67982142857143,23.744999999999997,22.63,168,0.43476123699193986,2.0600000000000023,0.01835998798822734
2008,30,coffin,24.52,22.850535714285712,22.63,20.64,168,0.6529447427158024,3.879999999999999,0.028574592336913746
2008,31,coffin,24.34,23.24267857142857,23.31,22.13,168,0.5054143651462141,2.210000000000001,0.021745099799620457
2008,32,coffin,24,22.41202380952381,22.3,21.3,168,0.5825789859571094,2.6999999999999993,0.025994037437598438
2008,33,coffin,22.63,21.600714285714286,21.63,20.81,168,0.37484299536198085,1.8200000000000003,0.01735326852639705
2008,34,coffin,23.48,21.56190476190476,21.47,19.99,168,0.8980077433090744,3.490000000000002,0.04164788562166644
2008,35,coffin,22.97,21.128273809523808,20.97,19.99,168,0.5962045594216979,2.9800000000000004,0.028218327952232045
2008,36,coffin,23.66,21.64315476190476,21.63,19.99,168,0.7269904659498492,3.6700000000000017,0.03358985665201927
2008,37,coffin,21.13,20.135892857142856,20.16,19.02,168,0.4969419421229097,2.1099999999999994,0.024679409333797097
2008,38,coffin,20.48,19.507083333333334,19.590000000000003,18.86,24,0.5213150525910134,1.620000000000001,0.026724397680723502
2009,21,coffin,16.93,14.056862745098039,14.24,12.08,153,0.9829450047448947,4.85,0.0699263429236848
2009,22,coffin,15.19,13.896964285714287,14.09,10.38,168,0.8008519108724096,4.809999999999999,0.05762783111529359
2009,23,coffin,17.41,16.329047619047618,16.45,14.87,168,0.6440666440906757,2.540000000000001,0.039443001154542565
2009,24,coffin,19.02,17.413809523809523,17.41,15.82,168,0.7490751259652748,3.1999999999999993,0.04301615479031631
2009,25,coffin,19.51,18.224583333333335,18.21,16.93,168,0.7040914255470964,2.580000000000002,0.03863415764679191
2009,26,coffin,21.47,19.839345238095238,20.16,18.05,168,0.9862862903660446,3.419999999999998,0.04971365125862074
2009,27,coffin,20.32,19.338690476190475,19.51,16.13,168,0.5936778290446535,4.190000000000001,0.030698967428822613
2009,28,coffin,21.3,19.97172619047619,19.83,19.18,168,0.47814761960747887,2.120000000000001,0.023941226464214725
2009,29,coffin,22.3,20.931785714285713,20.81,19.67,168,0.5915344113360574,2.629999999999999,0.028260102573682555
2009,30,coffin,23.48,21.505238095238095,21.47,20.16,168,0.5785537951387097,3.3200000000000003,0.026902924421321285
2009,31,coffin,23.48,22.54005952380952,22.63,21.13,168,0.32499193361488515,2.3500000000000014,0.014418415056605755
2009,32,coffin,23.83,22.39035714285714,22.3,21.47,168,0.5013107285262307,2.3599999999999994,0.02238958160996357
2009,33,coffin,24.69,23.539166666666667,23.48,22.47,168,0.5929146687266372,2.2200000000000024,0.025188430717313862
2009,34,coffin,25.38,24.586190476190477,24.69,23.31,168,0.45284173852271514,2.0700000000000003,0.01841854023547291
2009,35,coffin,23.31,21.66940476190476,21.3,20.16,168,0.8954607434004018,3.1499999999999986,0.041323735157443704
2009,36,coffin,21.8,20.861964285714286,20.81,19.99,168,0.37844981462527594,1.8100000000000023,0.01814066065123255
2009,37,coffin,20.81,19.5925,19.51,18.86,168,0.44508594339294527,1.9499999999999993,0.022717159290184776
2009,38,coffin,19.34,18.113584905660378,17.89,16.77,106,0.6836752064836543,2.5700000000000003,0.037743782362485864
2010,21,coffin,18.53,17.922,18.130000000000003,17.09,10,0.48177449773381226,1.4400000000000013,0.026881737402846346
2010,22,coffin,21.97,18.43261904761905,18.69,13.32,168,1.279438143010714,8.649999999999999,0.06941163052875982
