Year,Sunapee_IceOut_DOY
1869,130
1870,130
1871,102
1872,124
1873,126
1874,129
1875,132
1876,132
1877,115
1878,108
1879,132
1880,111
1881,126
1882,119
1883,127
1884,123
1885,120
1886,114
1887,127
1888,135
1889,110
1890,116
1891,114
1892,107
1893,133
1894,109
1895,120
1896,119
1897,119
1898,108
1899,123
1900,120
1901,114
1902,102
1903,95
1904,122
1905,115
1906,119
1907,121
1908,117
1909,112
1910,96
1911,122
1912,117
1913,107
1914,121
1915,110
1916,122
1917,127
1918,116
1919,104
1920,120
1921,88
1922,96
1923,117
1924,110
1925,116
1926,124
1927,110
1928,121
1929,104
1930,107
1931,106
1932,117
1933,120
1934,114
1935,115
1936,105
1937,122
1938,108
1939,127
1940,128
1941,108
1942,109
1943,123
1944,122
1945,91
1946,88
1947,117
1948,99
1949,96
1950,116
1951,110
1952,111
1953,99
1954,106
1955,112
1956,127
1957,110
1958,114
1959,116
1960,115
1961,123
1962,116
1963,110
1964,119
1965,118
1966,116
1967,118
1968,105
1969,116
1970,121
1971,125
1972,127
1973,109
1974,110
1975,125
1976,107
1977,109
1978,121
1979,118
1980,111
1981,99
1982,118
1983,106
1984,112
1985,106
1986,105
1987,103
1988,107
1989,111
1990,106
1991,98
1992,114
1993,112
1994,110
1995,104
1996,117
1997,114
1998,103
1999,103
2000,100
2001,123
2002,102
2003,117
2004,109
2005,109
2006,93
2007,114
2008,114
2009,102
2010,94
2011,111
2012,82
2013,108
2014,113
2015,115
2016,78
2017,106
2018,119
2019,110
