date,WindSp_ms_mean_ALL_InstFilterInstMax,WindSp_ms_mean_ALL_InstFilterAveMax,WindSp_ms_mean_ALL_AveFilterInstMax,WindSp_ms_mean_ALL_AveFilterAveMax,WindSp_ms_median_ALL_InstFilterInstMax,WindSp_ms_median_ALL_InstFilterAveMax,WindSp_ms_median_ALL_AveFilterInstMax,WindSp_ms_median_ALL_AveFilterAveMax,WindSp_ms_min_ALL_InstFilterInstMax,WindSp_ms_min_ALL_InstFilterAveMax,WindSp_ms_min_ALL_AveFilterInstMax,WindSp_ms_min_ALL_AveFilterAveMax,WindSp_ms_max_ALL_InstFilterInstMax,WindSp_ms_max_ALL_InstFilterAveMax,WindSp_ms_max_ALL_AveFilterInstMax,WindSp_ms_max_ALL_AveFilterAveMax,WindSp_ms_sd_ALL_InstFilterInstMax,WindSp_ms_sd_ALL_InstFilterAveMax,WindSp_ms_sd_ALL_AveFilterInstMax,WindSp_ms_sd_ALL_AveFilterAveMax,WindSp_ms_cv_ALL_InstFilterInstMax,WindSp_ms_cv_ALL_InstFilterAveMax,WindSp_ms_cv_ALL_AveFilterInstMax,WindSp_ms_cv_ALL_AveFilterAveMax,MaxWindSp_ms_max_ALL_InstFilterMax,MaxWindSp_ms_max_ALL_AveFilterMax
2007-08-27,1.783333333,1.783333333,1.783333333,1.783333333,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,2.3,2.3,2.3,2.3,0.285773803,0.285773803,0.285773803,0.285773803,0.160246993,0.160246993,0.160246993,0.160246993,2.3,2.3
2007-08-28,1.645138889,1.645138889,1.645138889,1.645138889,1.6,1.6,1.6,1.6,0.1,0.1,0.1,0.1,3.8,3.8,3.8,3.8,0.939411351,0.939411351,0.939411351,0.939411351,0.571022518,0.571022518,0.571022518,0.571022518,3.8,3.8
2007-08-29,2.424305556,2.424305556,2.424305556,2.424305556,2.3,2.3,2.3,2.3,0.6,0.6,0.6,0.6,5.3,5.3,5.3,5.3,1.037967792,1.037967792,1.037967792,1.037967792,0.428150564,0.428150564,0.428150564,0.428150564,5.3,5.3
2007-08-30,2.264583333,2.264583333,2.264583333,2.264583333,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,10.3,10.3,10.3,10.3,1.552055652,1.552055652,1.552055652,1.552055652,0.685360362,0.685360362,0.685360362,0.685360362,10.3,10.3
2007-08-31,3.097222222,3.097222222,3.097222222,3.097222222,2.9,2.9,2.9,2.9,0.3,0.3,0.3,0.3,7.7,7.7,7.7,7.7,1.391178222,1.391178222,1.391178222,1.391178222,0.44916965,0.44916965,0.44916965,0.44916965,7.7,7.7
2007-09-01,4.371527778,4.371527778,4.371527778,4.371527778,4.3,4.3,4.3,4.3,0.3,0.3,0.3,0.3,9.6,9.6,9.6,9.6,1.956007894,1.956007894,1.956007894,1.956007894,0.447442632,0.447442632,0.447442632,0.447442632,9.6,9.6
2007-09-02,2.727083333,2.727083333,2.727083333,2.727083333,2.8,2.8,2.8,2.8,0.6,0.6,0.6,0.6,5,5,5,5,0.986710205,0.986710205,0.986710205,0.986710205,0.361818868,0.361818868,0.361818868,0.361818868,5,5
2007-09-03,4.417361111,4.417361111,4.417361111,4.417361111,4.3,4.3,4.3,4.3,0.9,0.9,0.9,0.9,10,10,10,10,1.830828841,1.830828841,1.830828841,1.830828841,0.414462118,0.414462118,0.414462118,0.414462118,10,10
2007-09-04,3.659027778,3.659027778,3.659027778,3.659027778,3.3,3.3,3.3,3.3,0.5,0.5,0.5,0.5,9.6,9.6,9.6,9.6,1.88198724,1.88198724,1.88198724,1.88198724,0.514340791,0.514340791,0.514340791,0.514340791,9.6,9.6
2007-09-05,2.685416667,2.685416667,2.685416667,2.685416667,2.5,2.5,2.5,2.5,0.2,0.2,0.2,0.2,5.7,5.7,5.7,5.7,1.280568534,1.280568534,1.280568534,1.280568534,0.476860276,0.476860276,0.476860276,0.476860276,5.7,5.7
