site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,light_sum,watertemp_gdd
Midge,2005-07-21,2005,7,29,21,202,0.077809644,NA,0.077809644,NA,-1.089324144,NA,NA
Midge,2005-07-28,2005,7,30,28,209,0.452710658,NA,0.452710658,0.374901014,-0.340739387,NA,NA
Midge,2005-08-04,2005,8,31,4,216,0.113177665,NA,0.113177665,-0.339532994,-0.932640213,NA,NA
Midge,2005-08-11,2005,8,32,11,223,1.152997457,NA,1.152997457,1.039819793,0.063182233,NA,NA
Midge,2005-08-18,2005,8,33,18,230,0.657845175,NA,0.657845175,-0.495152282,-0.179506147,NA,NA
Midge,2005-08-25,2005,8,34,25,237,0.488078678,NA,0.488078678,-0.169766497,-0.308318625,NA,NA
Midge,2005-09-03,2005,9,35,3,246,1.817916237,NA,1.817916237,1.329837558,0.260433047,NA,NA
Midge,2005-09-12,2005,9,37,12,255,3.232637043,NA,3.232637043,1.414720807,0.510040325,NA,NA
Midge,2005-09-20,2005,9,38,20,263,0.014147208,NA,0.014147208,-3.218489835,-1.750869961,NA,NA
Midge,2005-09-25,2005,9,39,25,268,0.183913705,NA,0.183913705,0.169766497,-0.726966985,NA,NA
Midge,2006-06-29,2006,6,26,29,180,0.33245939,NA,0.33245939,0.148545685,-0.473583965,NA,NA
Midge,2006-07-06,2006,7,27,6,187,0.275870557,NA,0.275870557,-0.056588833,-0.553663939,NA,NA
Midge,2006-07-13,2006,7,28,13,194,2.284774103,NA,2.284774103,2.008903546,0.359527024,NA,31.835
Midge,2006-07-17,2006,7,29,17,198,3.246784251,NA,3.246784251,0.962010148,0.511934705,NA,35.78
Midge,2006-07-23,2006,7,30,23,204,0.007073604,NA,0.007073604,-3.239710647,-1.971688914,NA,31.93
Midge,2006-07-31,2006,7,31,31,212,3.317520292,NA,3.317520292,3.310446688,0.521284606,NA,34.605
Midge,2006-08-07,2006,8,32,7,219,1.846210653,NA,1.846210653,-1.471309639,0.267127276,NA,35.215
Midge,2006-08-14,2006,8,33,14,226,1.068114209,NA,1.068114209,-0.778096444,0.030078989,NA,29.975
Midge,2006-08-21,2006,8,34,21,233,0.94786294,NA,0.94786294,-0.120251269,-0.021608123,NA,29.56
Midge,2006-08-28,2006,8,35,28,240,1.124703041,NA,1.124703041,0.176840101,0.052425759,NA,26.755
Midge,2006-09-08,2006,9,36,8,251,2.857736029,NA,2.857736029,1.733032988,0.456568863,NA,26.185
Midge,2006-09-12,2006,9,37,12,255,0.346606598,NA,0.346606598,-2.511129431,-0.455675676,NA,24.645
Midge,2006-09-18,2006,9,38,18,261,0.268796953,NA,0.268796953,-0.077809645,-0.564797755,NA,NA
Midge,2007-06-21,2007,6,24,21,172,0,0,0,-0.268796953,-2.443697499,NA,NA
Midge,2007-06-28,2007,6,25,28,179,0.014147208,0,0.014147208,0.014147208,-1.750869961,NA,NA
Midge,2007-07-05,2007,7,26,5,186,0.240502537,0,0.240502537,0.226355329,-0.612427707,NA,27.105
Midge,2007-07-12,2007,7,27,12,193,0.056588832,0.014147208,0.07073604,-0.169766497,-1.128800578,NA,29.505
Midge,2007-07-19,2007,7,28,19,200,0.091956852,0.190987309,0.282944161,0.212208121,-0.542808437,NA,29.59
Midge,2007-07-26,2007,7,29,26,207,0.551741115,0.176840101,0.728581215,0.445637054,-0.135381418,NA,33.43
Midge,2007-08-02,2007,8,30,2,214,1.619855324,3.077017754,4.696873078,3.968291863,0.67214157,NA,34.745
Midge,2007-08-09,2007,8,31,9,221,5.658883227,10.56089082,16.21977405,11.52290097,1.210141181,NA,33.175
Midge,2007-08-16,2007,8,32,16,228,0.8771269,0.679065987,1.556192887,-14.66358116,0.193066936,NA,31.535
Midge,2007-08-23,2007,8,33,23,235,0.580035531,0.077809644,0.657845175,-0.898347712,-0.179506147,NA,27.095
Midge,2007-08-30,2007,8,34,30,242,22.15452783,0.43856345,22.59309128,21.93524611,1.354044852,NA,32.14
Midge,2007-09-06,2007,9,35,6,249,4.78882993,0,4.78882993,-17.80426135,0.680555772,NA,27.765
Midge,2007-09-13,2007,9,36,13,256,3.466065976,0,3.466065976,-1.322763954,0.540287667,NA,26.37
Midge,2007-09-20,2007,9,37,20,263,2.440393391,0.014147208,2.4545406,-1.011525377,0.39060672,NA,23.935
Midge,2008-06-05,2008,6,22,5,157,0,0,0,-2.4545406,-2.443697499,NA,NA
Midge,2008-06-12,2008,6,23,12,164,0.056588832,0,0.056588832,0.056588832,-1.220484084,NA,NA
Midge,2008-06-19,2008,6,24,19,171,0.572961927,0,0.572961927,0.516373094,-0.239154039,NA,28.095
Midge,2008-06-26,2008,6,25,26,178,0.247576141,0,0.247576141,-0.325385786,-0.600021616,NA,27.59
Midge,2008-07-03,2008,7,26,3,185,2.829441613,0.113177665,2.942619278,2.695043137,0.469265067,NA,31.615
Midge,2008-07-10,2008,7,27,10,192,0.954936545,0,0.954936545,-1.987682733,-0.018391325,NA,34.9
Midge,2008-07-17,2008,7,28,17,199,3.727789325,0,3.727789325,2.772852781,0.571870565,NA,33.95
Midge,2008-07-24,2008,7,29,24,206,0.523446698,0.007073604,0.530520303,-3.197269023,-0.272360913,NA,30.505
Midge,2008-07-31,2008,7,30,31,213,10.8721294,0.113177665,10.98530706,10.45478676,1.0409545,NA,33
Midge,2008-08-07,2008,8,31,7,220,1.181291874,0.014147208,1.195439082,-9.789867981,0.078833339,NA,29.925
Midge,2008-08-14,2008,8,32,14,227,0.222818527,0.03536802,0.258186547,-0.937252534,-0.582052675,NA,30.015
