site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,date_monthly_samples,CHL,SD,Depth,LAYER,PH,TP,COND,TURBIDITY
Midge,2005-07-21,2005,7,29,21,202,0.077809644,NA,0.077809644,NA,-1.089324144,,,,,,,,,
Midge,2005-07-28,2005,7,30,28,209,0.452710658,NA,0.452710658,0.374901014,-0.340739387,,,,,,,,,
Midge,2005-08-04,2005,8,31,4,216,0.113177665,NA,0.113177665,-0.339532994,-0.932640213,,,,,,,,,
Midge,2005-08-11,2005,8,32,11,223,1.152997457,NA,1.152997457,1.039819793,0.063182233,,,,,,,,,
Midge,2005-08-18,2005,8,33,18,230,0.657845175,NA,0.657845175,-0.495152282,-0.179506147,,,,,,,,,
Midge,2005-08-25,2005,8,34,25,237,0.488078678,NA,0.488078678,-0.169766497,-0.308318625,,,,,,,,,
Midge,2005-09-03,2005,9,35,3,246,1.817916237,NA,1.817916237,1.329837558,0.260433047,,,,,,,,,
Midge,2005-09-12,2005,9,37,12,255,3.232637043,NA,3.232637043,1.414720807,0.510040325,,,,,,,,,
Midge,2005-09-20,2005,9,38,20,263,0.014147208,NA,0.014147208,-3.218489835,-1.750869961,,,,,,,,,
Midge,2005-09-25,2005,9,39,25,268,0.183913705,NA,0.183913705,0.169766497,-0.726966985,,,,,,,,,
Midge,2006-06-29,2006,6,26,29,180,0.33245939,NA,0.33245939,0.148545685,-0.473583965,2006-06-21,2.18,4.5,0,I,6.55,0.008,92,1.66
Midge,2006-07-06,2006,7,27,6,187,0.275870557,NA,0.275870557,-0.056588833,-0.553663939,,,,,,,,,
Midge,2006-07-13,2006,7,28,13,194,2.284774103,NA,2.284774103,2.008903546,0.359527024,,,,,,,,,
Midge,2006-07-17,2006,7,29,17,198,3.246784251,NA,3.246784251,0.962010148,0.511934705,2006-07-17,1.3,4.75,7,I,6.66,0.007,90,0.71
Midge,2006-07-23,2006,7,30,23,204,0.007073604,NA,0.007073604,-3.239710647,-1.971688914,,,,,,,,,
Midge,2006-07-31,2006,7,31,31,212,3.317520292,NA,3.317520292,3.310446688,0.521284606,,,,,,,,,
Midge,2006-08-07,2006,8,32,7,219,1.846210653,NA,1.846210653,-1.471309639,0.267127276,,,,,,,,,
Midge,2006-08-14,2006,8,33,14,226,1.068114209,NA,1.068114209,-0.778096444,0.030078989,2006-08-15,3.66,5.5,0,I,6.43,0.006,88.4,0.75
Midge,2006-08-21,2006,8,34,21,233,0.94786294,NA,0.94786294,-0.120251269,-0.021608123,,,,,,,,,
Midge,2006-08-28,2006,8,35,28,240,1.124703041,NA,1.124703041,0.176840101,0.052425759,,,,,,,,,
Midge,2006-09-08,2006,9,36,8,251,2.857736029,NA,2.857736029,1.733032988,0.456568863,2006-09-05,4.83,5.75,11,I,6.4,0.007,89.5,1.34
Midge,2006-09-12,2006,9,37,12,255,0.346606598,NA,0.346606598,-2.511129431,-0.455675676,,,,,,,,,
Midge,2006-09-18,2006,9,38,18,261,0.268796953,NA,0.268796953,-0.077809645,-0.564797755,,,,,,,,,
Midge,2007-06-21,2007,6,24,21,172,0,0,0,-0.268796953,-2.443697499,2007-06-19,1.25,6.25,0,I,6.67,0.009,84.9,1.07
Midge,2007-06-28,2007,6,25,28,179,0.014147208,0,0.014147208,0.014147208,-1.750869961,,,,,,,,,
Midge,2007-07-05,2007,7,26,5,186,0.240502537,0,0.240502537,0.226355329,-0.612427707,,,,,,,,,
Midge,2007-07-12,2007,7,27,12,193,0.056588832,0.014147208,0.07073604,-0.169766497,-1.128800578,,,,,,,,,
Midge,2007-07-19,2007,7,28,19,200,0.091956852,0.190987309,0.282944161,0.212208121,-0.542808437,2007-07-16,1.97,5.5,7,I,6.56,0.008,87,2.08
Midge,2007-07-26,2007,7,29,26,207,0.551741115,0.176840101,0.728581215,0.445637054,-0.135381418,,,,,,,,,
Midge,2007-08-02,2007,8,30,2,214,1.619855324,3.077017754,4.696873078,3.968291863,0.67214157,,,,,,,,,
Midge,2007-08-09,2007,8,31,9,221,5.658883227,10.56089082,16.21977405,11.52290097,1.210141181,,,,,,,,,
Midge,2007-08-16,2007,8,32,16,228,0.8771269,0.679065987,1.556192887,-14.66358116,0.193066936,,,,,,,,,
