site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,week,WindSp_ms_mean_ALL_InstFilterInstMax,WindSp_ms_mean_ALL_InstFilterAveMax,WindSp_ms_mean_ALL_AveFilterInstMax,WindSp_ms_mean_ALL_AveFilterAveMax,WindSp_ms_median_ALL_InstFilterInstMax,WindSp_ms_median_ALL_InstFilterAveMax,WindSp_ms_median_ALL_AveFilterInstMax,WindSp_ms_median_ALL_AveFilterAveMax,WindSp_ms_min_ALL_InstFilterInstMax,WindSp_ms_min_ALL_InstFilterAveMax,WindSp_ms_min_ALL_AveFilterInstMax,WindSp_ms_min_ALL_AveFilterAveMax,WindSp_ms_max_ALL_InstFilterInstMax,WindSp_ms_max_ALL_InstFilterAveMax,WindSp_ms_max_ALL_AveFilterInstMax,WindSp_ms_max_ALL_AveFilterAveMax,WindSp_ms_sd_ALL_InstFilterInstMax,WindSp_ms_sd_ALL_InstFilterAveMax,WindSp_ms_sd_ALL_AveFilterInstMax,WindSp_ms_sd_ALL_AveFilterAveMax,WindSp_ms_cv_ALL_InstFilterInstMax,WindSp_ms_cv_ALL_InstFilterAveMax,WindSp_ms_cv_ALL_AveFilterInstMax,WindSp_ms_cv_ALL_AveFilterAveMax,MaxWindSp_ms_max_ALL_InstFilterMax.x,MaxWindSp_ms_max_ALL_AveFilterMax,MaxWindSp_ms_max_ALL_InstFilterMax.y,sum_2,sum_3,sum_5,sum_7,sum_10,sum_14
Midge,2005-07-21,2005,7,21,202,0.077809644,NA,0.077809644,NA,-1.089324144,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-07-28,2005,7,28,209,0.452710658,NA,0.452710658,0.374901014,-0.340739387,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-04,2005,8,4,216,0.113177665,NA,0.113177665,-0.339532994,-0.932640213,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-11,2005,8,11,223,1.152997457,NA,1.152997457,1.039819793,0.063182233,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-18,2005,8,18,230,0.657845175,NA,0.657845175,-0.495152282,-0.179506147,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-25,2005,8,25,237,0.488078678,NA,0.488078678,-0.169766497,-0.308318625,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-03,2005,9,3,246,1.817916237,NA,1.817916237,1.329837558,0.260433047,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-12,2005,9,12,255,3.232637043,NA,3.232637043,1.414720807,0.510040325,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-20,2005,9,20,263,0.014147208,NA,0.014147208,-3.218489835,-1.750869961,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-25,2005,9,25,268,0.183913705,NA,0.183913705,0.169766497,-0.726966985,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-06-29,2006,6,29,180,0.33245939,NA,0.33245939,0.148545685,-0.473583965,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-06,2006,7,6,187,0.275870557,NA,0.275870557,-0.056588833,-0.553663939,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-13,2006,7,13,194,2.284774103,NA,2.284774103,2.008903546,0.359527024,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-17,2006,7,17,198,3.246784251,NA,3.246784251,0.962010148,0.511934705,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-23,2006,7,23,204,0.007073604,NA,0.007073604,-3.239710647,-1.971688914,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
