date,log_gloeo,date_1weeklag,ppt_mm,airtemp_min_degrees_C,airtemp_mean_degrees_C,airtemp_max_degrees_C,year,month,week
2005-07-21,-1.089324144,2005-07-14,0,16.9,22.2,27.4,2005,7,29
2005-07-28,-0.340739387,2005-07-21,0,14.5,21.9,29.2,2005,7,30
2005-08-04,-0.932640213,2005-07-28,18.63,12.9,22.2,31.6,2005,8,31
2005-08-11,0.063182233,2005-08-04,0,14.6,21.7,28.9,2005,8,32
2005-08-18,-0.179506147,2005-08-11,0,17,24.1,31.2,2005,8,33
2005-08-25,-0.308318625,2005-08-18,0,7.9,16.6,25.4,2005,8,34
2005-09-03,0.260433047,2005-08-27,0,9,18,27,2005,9,36
2005-09-12,0.510040325,2005-09-05,0,7.4,15.3,23.3,2005,9,37
2005-09-20,-1.750869961,2005-09-13,0,12.2,20.4,28.7,2005,9,38
2005-09-25,-0.726966985,2005-09-18,0.2,15.7,19.2,22.7,2005,9,39
2006-06-29,-0.473583965,2006-06-22,0,11.7,18.8,25.9,2006,6,26
2006-07-06,-0.553663939,2006-06-29,36.5,16.6,19.3,22,2006,7,27
2006-07-13,0.359527024,2006-07-06,0,14.5,20.2,25.8,2006,7,28
2006-07-17,0.511934705,2006-07-10,0,14.3,21.5,28.6,2006,7,29
2006-07-23,-1.971688914,2006-07-16,0,17.6,23,28.5,2006,7,30
2006-07-31,0.521284606,2006-07-24,0,11.5,16.8,22,2006,7,31
2006-08-07,0.267127276,2006-07-31,0,10.4,18.6,26.8,2006,8,32
2006-08-14,0.030078989,2006-08-07,1.91,11.6,18.7,25.8,2006,8,33
2006-08-21,-0.021608123,2006-08-14,0,6.8,14.4,21.9,2006,8,34
2006-08-28,0.052425759,2006-08-21,5.94,15.4,18,20.7,2006,8,35
2006-09-08,0.456568863,2006-09-01,0,7.2,13.8,20.3,2006,9,36
2006-09-12,-0.455675676,2006-09-05,0,12.7,16.1,19.5,2006,9,37
2006-09-18,-0.564797755,2006-09-11,0,3.8,10.3,16.8,2006,9,38
2007-06-21,-2.443697499,2007-06-14,0.31,10.6,13.3,16.1,2007,6,25
2007-06-28,-1.750869961,2007-06-21,0.23,11.7,17.9,24.1,2007,6,26
2007-07-05,-0.612427707,2007-06-28,0.69,18.3,25.6,33,2007,7,27
2007-07-12,-1.128800578,2007-07-05,8.99,11.8,18,24.2,2007,7,28
2007-07-19,-0.542808437,2007-07-12,13.74,14.6,21.1,27.6,2007,7,29
2007-07-26,-0.135381418,2007-07-19,9.2,16,17.4,18.7,2007,7,30
2007-08-02,0.67214157,2007-07-26,0,14.3,21.5,28.6,2007,8,31
2007-08-09,1.210141181,2007-08-02,0,14.8,22.1,29.3,2007,8,32
2007-08-16,0.193066936,2007-08-09,5.59,12.9,20.9,29,2007,8,33
2007-08-23,-0.179506147,2007-08-16,0,11.1,18.6,26.1,2007,8,34
2007-08-30,1.354044852,2007-08-23,0,7.4,13.6,19.8,2007,8,35
2007-09-06,0.680555772,2007-08-30,0,12.8,21.1,29.4,2007,9,36
2007-09-13,0.540287667,2007-09-06,0,5.2,13,20.8,2007,9,37
2007-09-20,0.39060672,2007-09-13,0,5.6,12.3,19.1,2007,9,38
2008-06-05,-2.443697499,2008-05-29,0,1.4,9.3,17.2,2008,6,23
2008-06-12,-1.220484084,2008-06-05,1.43,12.7,14.2,15.6,2008,6,24
2008-06-19,-0.239154039,2008-06-12,0,12.5,19.3,26,2008,6,25
2008-06-26,-0.600021616,2008-06-19,0.64,9.7,14.8,19.8,2008,6,26
2008-07-03,0.469265067,2008-06-26,0,10.3,17.9,25.5,2008,7,27
2008-07-10,-0.018391325,2008-07-03,0.02,12.2,19.4,26.6,2008,7,28
2008-07-17,0.571870565,2008-07-10,11.28,17.5,23.7,29.8,2008,7,29
2008-07-24,-0.272360913,2008-07-17,0,12.7,21,29.4,2008,7,30
2008-07-31,1.0409545,2008-07-24,36.63,16.3,17.9,19.4,2008,7,31
2008-08-07,0.078833339,2008-07-31,0,14.9,20.6,26.3,2008,8,32
2008-08-14,-0.582052675,2008-08-07,26.94,15,16.3,17.5,2008,8,33
2008-08-21,-0.193667803,2008-08-14,0,12.1,18,23.8,2008,8,34
2008-08-26,-0.959777296,2008-08-19,5.39,14.5,20.9,27.2,2008,8,35
2008-09-04,-0.122973215,2008-08-28,0,8,16.3,24.5,2008,9,36
2008-09-10,-1.750869961,2008-09-03,0,11.1,18.7,26.3,2008,9,37
2008-09-17,-0.695378271,2008-09-10,14.29,7.5,13.2,18.9,2008,9,38
2008-09-24,-0.638356522,2008-09-17,0,6.6,12.4,18.1,2008,9,39
