site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,light_sum,ppt_mm.x,airtemp_min_degrees_C,airtemp_mean_degrees_C,airtemp_max_degrees_C,ppt_mm.y,sum_3,sum_5,sum_7,sum_10,sum_14
Midge,2005-07-21,2005,7,29,21,202,0.077809644,NA,0.077809644,NA,-1.089324144,NA,0,14.5,21.9,29.2,0,17.52,18.19,24.34,24.34,41.67
Midge,2005-07-28,2005,7,30,28,209,0.452710658,NA,0.452710658,0.374901014,-0.340739387,NA,18.63,12.9,22.2,31.6,18.63,18.63,18.63,25.189999999999998,42.71,49.529999999999994
Midge,2005-08-04,2005,8,31,4,216,0.113177665,NA,0.113177665,-0.339532994,-0.932640213,NA,0,14.6,21.7,28.9,0,5.5600000000000005,7.08,7.08,25.71,32.269999999999996
Midge,2005-08-11,2005,8,32,11,223,1.152997457,NA,1.152997457,1.039819793,0.063182233,NA,0,17,24.1,31.2,0,6.800116025829084e-16,7.355227538141662e-16,5.898059818321144e-16,5.5600000000000005,7.079999999999998
Midge,2005-08-18,2005,8,33,18,230,0.657845175,NA,0.657845175,-0.495152282,-0.179506147,NA,0,7.9,16.6,25.4,0,1.240000000000001,24.180000000000003,30.01,30.01,30.01
Midge,2005-08-25,2005,8,34,25,237,0.488078678,NA,0.488078678,-0.169766497,-0.308318625,NA,0.8,8.8,15.2,21.7,0.8,0.8000000000000009,7.250000000000002,7.670000000000002,8.910000000000002,37.68
Midge,2005-09-03,2005,9,35,3,246,1.817916237,NA,1.817916237,1.329837558,0.260433047,NA,0,11.5,19.1,26.7,0,26.91,41.57,67.02,67.82,74.27
Midge,2005-09-12,2005,9,37,12,255,3.232637043,NA,3.232637043,1.414720807,0.510040325,NA,0,5.4,14,22.7,0,9.298117831235686e-16,2.456368441983159e-15,-1.3183898417423734e-16,6.938893903907228e-18,41.57
Midge,2005-09-20,2005,9,38,20,263,0.014147208,NA,0.014147208,-3.218489835,-1.750869961,NA,0,10.3,17.8,25.2,0,0.20000000000000023,13.080000000000002,27.09,27.09,27.089999999999996
Midge,2005-09-25,2005,9,39,25,268,0.183913705,NA,0.183913705,0.169766497,-0.726966985,NA,0,3,11.2,19.4,0,4.163336342344337e-17,2.2100000000000026,2.21,15.29,29.299999999999997
Midge,2006-06-29,2006,6,26,29,180,0.33245939,NA,0.33245939,0.148545685,-0.473583965,NA,36.5,16.6,19.3,22,36.5,48.7,72.01,83.11,93.55999999999999,93.56
Midge,2006-07-06,2006,7,27,6,187,0.275870557,NA,0.275870557,-0.056588833,-0.553663939,NA,0,14.5,20.2,25.8,0,0.030000000000002913,1.0899999999999992,10.579999999999995,59.279999999999994,93.69
Midge,2006-07-13,2006,7,28,13,194,2.284774103,NA,2.284774103,2.008903546,0.359527024,NA,70.69,16.4,20.6,24.8,70.69,77.89,77.89,77.88999999999999,77.91999999999999,88.47
Midge,2006-07-17,2006,7,29,17,198,3.246784251,NA,3.246784251,0.962010148,0.511934705,NA,0,17,24.3,31.5,0,2.914335439641036e-15,72.03999999999999,79.24,79.23999999999998,79.27
Midge,2006-07-23,2006,7,30,23,204,0.007073604,NA,0.007073604,-3.239710647,-1.971688914,NA,69.28,15.9,18.9,21.8,69.28,70.05,70.36,70.36,71.71,149.6
Midge,2006-07-31,2006,7,31,31,212,3.317520292,NA,3.317520292,3.310446688,0.521284606,NA,0,10.4,18.6,26.8,0,16.790000000000003,17.529999999999994,17.529999999999998,87.57999999999998,87.89
Midge,2006-08-07,2006,8,32,7,219,1.846210653,NA,1.846210653,-1.471309639,0.267127276,NA,1.91,11.6,18.7,25.8,1.91,4.610000000000003,33.059999999999995,39.27,56.05999999999999,56.800000000000004
Midge,2006-08-14,2006,8,33,14,226,1.068114209,NA,1.068114209,-0.778096444,0.030078989,NA,0,6.8,14.4,21.9,0,3.1363800445660672e-15,6.939999999999995,6.94,11.549999999999985,46.21
Midge,2006-08-21,2006,8,34,21,233,0.94786294,NA,0.94786294,-0.120251269,-0.021608123,NA,5.94,15.4,18,20.7,5.94,30.800000000000004,30.799999999999994,33.18,33.179999999999986,40.12
Midge,2006-08-28,2006,8,35,28,240,1.124703041,NA,1.124703041,0.176840101,0.052425759,NA,13.92,11.3,13.2,15.1,13.92,13.930000000000003,14.479999999999997,18.71,49.509999999999984,51.89
Midge,2006-09-08,2006,9,36,8,251,2.857736029,NA,2.857736029,1.733032988,0.456568863,NA,0,10.7,17,23.2,0,3.980000000000003,17.659999999999997,19.8,20.599999999999984,34.550000000000004
Midge,2006-09-12,2006,9,37,12,255,0.346606598,NA,0.346606598,-2.511129431,-0.455675676,NA,0,2.6,9.9,17.3,0,10.330000000000004,10.329999999999995,14.309999999999999,30.129999999999985,30.93
Midge,2006-09-18,2006,9,38,18,261,0.268796953,NA,0.268796953,-0.077809645,-0.564797755,NA,0,11.8,18.1,24.4,0,3.1624008967057193e-15,5.949999999999996,5.949999999999999,16.279999999999987,20.26
Midge,2007-06-21,2007,6,24,21,172,0,0,0,-0.268796953,-2.443697499,NA,0.23,11.7,17.9,24.1,0.23,0.5200000000000028,5.220000000000001,5.220000000000004,17.759999999999998,23.36
Midge,2007-06-28,2007,6,25,28,179,0.014147208,0,0.014147208,0.014147208,-1.750869961,NA,0.69,18.3,25.6,33,0.69,0.6900000000000027,0.6900000000000006,10.410000000000004,10.93,15.629999999999999
Midge,2007-07-05,2007,7,26,5,186,0.240502537,0,0.240502537,0.226355329,-0.612427707,NA,8.99,11.8,18,24.2,8.99,8.990000000000004,9.510000000000002,9.510000000000005,10.2,19.919999999999998
Midge,2007-07-12,2007,7,27,12,193,0.056588832,0.014147208,0.07073604,-0.169766497,-1.128800578,NA,13.74,14.6,21.1,27.6,13.74,82.42,89.2,97.16000000000001,106.15,106.67
Midge,2007-07-19,2007,7,28,19,200,0.091956852,0.190987309,0.282944161,0.212208121,-0.542808437,NA,9.2,16,17.4,18.7,9.2,13.370000000000001,21.38,21.380000000000003,103.8,118.53999999999999
Midge,2007-07-26,2007,7,29,26,207,0.551741115,0.176840101,0.728581215,0.445637054,-0.135381418,NA,0,14.3,21.5,28.6,0,1.9100000000000006,1.9099999999999993,27.050000000000004,40.42,48.42999999999999
Midge,2007-08-02,2007,8,30,2,214,1.619855324,3.077017754,4.696873078,3.968291863,0.67214157,NA,0,14.8,22.1,29.3,0,5.070000000000001,11.12,11.120000000000003,13.029999999999998,38.169999999999995
Midge,2007-08-09,2007,8,31,9,221,5.658883227,10.56089082,16.21977405,11.52290097,1.210141181,NA,5.59,12.9,20.9,29,5.59,25.900000000000002,25.900000000000002,26.530000000000005,31.6,37.65
Midge,2007-08-16,2007,8,32,16,228,0.8771269,0.679065987,1.556192887,-14.66358116,0.193066936,NA,0,11.1,18.6,26.1,0,0.010000000000000833,0.009999999999999093,0.010000000000003423,25.91,26.539999999999996
Midge,2007-08-23,2007,8,33,23,235,0.580035531,0.077809644,0.657845175,-0.898347712,-0.179506147,NA,0,7.4,13.6,19.8,0,-7.303185833862358e-16,-9.072603779358701e-16,23.450000000000003,23.459999999999997,23.459999999999994
Midge,2007-08-30,2007,8,34,30,242,22.15452783,0.43856345,22.59309128,21.93524611,1.354044852,NA,0,12.8,21.1,29.4,0,-7.303185833862358e-16,10.609999999999998,10.670000000000005,10.669999999999998,34.12
Midge,2007-09-06,2007,9,35,6,249,4.78882993,0,4.78882993,-17.80426135,0.680555772,NA,0,5.2,13,20.8,0,-7.303185833862358e-16,-9.072603779358701e-16,8.620000000000005,8.619999999999997,19.289999999999996
Midge,2007-09-13,2007,9,36,13,256,3.466065976,0,3.466065976,-1.322763954,0.540287667,NA,0,5.6,12.3,19.1,0,30.45,51.9,51.900000000000006,51.9,60.519999999999996
Midge,2007-09-20,2007,9,37,20,263,2.440393391,0.014147208,2.4545406,-1.011525377,0.39060672,NA,0,4.1,13.1,22.1,0,1.5959455978986625e-16,5.779999999999999,16.790000000000006,47.239999999999995,68.69
Midge,2008-06-05,2008,6,22,5,157,0,0,0,-2.4545406,-2.443697499,NA,1.43,12.7,14.2,15.6,1.43,2.8000000000000003,5.54,5.54,5.54,5.54
Midge,2008-06-12,2008,6,23,12,164,0.056588832,0,0.056588832,0.056588832,-1.220484084,NA,0,12.5,19.3,26,0,16.9,17.25,34.85,37.65,40.39
Midge,2008-06-19,2008,6,24,19,171,0.572961927,0,0.572961927,0.516373094,-0.239154039,NA,0.64,9.7,14.8,19.8,0.64,4.65,18.580000000000002,18.580000000000002,35.48,53.43
Midge,2008-06-26,2008,6,25,26,178,0.247576141,0,0.247576141,-0.325385786,-0.600021616,NA,0,10.3,17.9,25.5,0,5.45,17.69,18.69,23.34,37.27
Midge,2008-07-03,2008,7,26,3,185,2.829441613,0.113177665,2.942619278,2.695043137,0.469265067,NA,0.02,12.2,19.4,26.6,0.02,1.83,32.44,43.65,49.1,62.34
Midge,2008-07-10,2008,7,27,10,192,0.954936545,0,0.954936545,-1.987682733,-0.018391325,NA,11.28,17.5,23.7,29.8,11.28,12.18,12.18,12.599999999999998,14.429999999999996,56.25
Midge,2008-07-17,2008,7,28,17,199,3.727789325,0,3.727789325,2.772852781,0.571870565,NA,0,12.7,21,29.4,0,0.00999999999999999,2.7199999999999993,2.719999999999999,14.899999999999997,15.320000000000002
Midge,2008-07-24,2008,7,29,24,206,0.523446698,0.007073604,0.530520303,-3.197269023,-0.272360913,NA,36.63,16.3,17.9,19.4,36.63,47.09,68.96000000000001,70.5,70.51,73.22
Midge,2008-07-31,2008,7,30,31,213,10.8721294,0.113177665,10.98530706,10.45478676,1.0409545,NA,0,14.9,20.6,26.3,0,0.28000000000000264,10.510000000000002,25.409999999999997,72.5,95.91000000000001
Midge,2008-08-07,2008,8,31,7,220,1.181291874,0.014147208,1.195439082,-9.789867981,0.078833339,NA,26.94,15,16.3,17.5,26.94,32.31,57.9,57.99999999999999,58.28,83.41
