date,log_gloeo,date_1weeklag,schmidt.stability.mean,schmidt.stability.max,schmidt.stability.min,schmidt.stability.median,schmidt.stability.sd,schmidt.stability.obs,schmidt.stability.range,schmidt.stability.CV,year,month,week
2005-07-21,-1.089324144,2005-07-14,NA,NA,NA,NA,NA,NA,NA,NA,2005,7,29
2005-07-28,-0.340739387,2005-07-21,NA,NA,NA,NA,NA,NA,NA,NA,2005,7,30
2005-08-04,-0.932640213,2005-07-28,NA,NA,NA,NA,NA,NA,NA,NA,2005,8,31
2005-08-11,0.063182233,2005-08-04,NA,NA,NA,NA,NA,NA,NA,NA,2005,8,32
2005-08-18,-0.179506147,2005-08-11,NA,NA,NA,NA,NA,NA,NA,NA,2005,8,33
2005-08-25,-0.308318625,2005-08-18,NA,NA,NA,NA,NA,NA,NA,NA,2005,8,34
2005-09-03,0.260433047,2005-08-27,NA,NA,NA,NA,NA,NA,NA,NA,2005,9,36
2005-09-12,0.510040325,2005-09-05,NA,NA,NA,NA,NA,NA,NA,NA,2005,9,37
2005-09-20,-1.750869961,2005-09-13,NA,NA,NA,NA,NA,NA,NA,NA,2005,9,38
2005-09-25,-0.726966985,2005-09-18,NA,NA,NA,NA,NA,NA,NA,NA,2005,9,39
2006-06-29,-0.473583965,2006-06-22,NA,NA,NA,NA,NA,NA,NA,NA,2006,6,26
2006-07-06,-0.553663939,2006-06-29,NA,NA,NA,NA,NA,NA,NA,NA,2006,7,27
2006-07-13,0.359527024,2006-07-06,NA,NA,NA,NA,NA,NA,NA,NA,2006,7,28
2006-07-17,0.511934705,2006-07-10,NA,NA,NA,NA,NA,NA,NA,NA,2006,7,29
2006-07-23,-1.971688914,2006-07-16,NA,NA,NA,NA,NA,NA,NA,NA,2006,7,30
2006-07-31,0.521284606,2006-07-24,NA,NA,NA,NA,NA,NA,NA,NA,2006,7,31
2006-08-07,0.267127276,2006-07-31,NA,NA,NA,NA,NA,NA,NA,NA,2006,8,32
2006-08-14,0.030078989,2006-08-07,NA,NA,NA,NA,NA,NA,NA,NA,2006,8,33
2006-08-21,-0.021608123,2006-08-14,NA,NA,NA,NA,NA,NA,NA,NA,2006,8,34
2006-08-28,0.052425759,2006-08-21,NA,NA,NA,NA,NA,NA,NA,NA,2006,8,35
2006-09-08,0.456568863,2006-09-01,NA,NA,NA,NA,NA,NA,NA,NA,2006,9,36
2006-09-12,-0.455675676,2006-09-05,NA,NA,NA,NA,NA,NA,NA,NA,2006,9,37
2006-09-18,-0.564797755,2006-09-11,NA,NA,NA,NA,NA,NA,NA,NA,2006,9,38
2007-06-21,-2.443697499,2007-06-14,NA,NA,NA,NA,NA,NA,NA,NA,2007,6,25
2007-06-28,-1.750869961,2007-06-21,NA,NA,NA,NA,NA,NA,NA,NA,2007,6,26
2007-07-05,-0.612427707,2007-06-28,NA,NA,NA,NA,NA,NA,NA,NA,2007,7,27
2007-07-12,-1.128800578,2007-07-05,NA,NA,NA,NA,NA,NA,NA,NA,2007,7,28
2007-07-19,-0.542808437,2007-07-12,NA,NA,NA,NA,NA,NA,NA,NA,2007,7,29
2007-07-26,-0.135381418,2007-07-19,NA,NA,NA,NA,NA,NA,NA,NA,2007,7,30
2007-08-02,0.67214157,2007-07-26,NA,NA,NA,NA,NA,NA,NA,NA,2007,8,31
2007-08-09,1.210141181,2007-08-02,NA,NA,NA,NA,NA,NA,NA,NA,2007,8,32
2007-08-16,0.193066936,2007-08-09,NA,NA,NA,NA,NA,NA,NA,NA,2007,8,33
2007-08-23,-0.179506147,2007-08-16,NA,NA,NA,NA,NA,NA,NA,NA,2007,8,34
2007-08-30,1.354044852,2007-08-23,NA,NA,NA,NA,NA,NA,NA,NA,2007,8,35
2007-09-06,0.680555772,2007-08-30,500.0376558,569.1813394,461.9974328,499.4189549,22.78458481,144,107.1839067,0.045565738,2007,9,36
2007-09-13,0.540287667,2007-09-06,380.691128,410.8265471,335.5689,387.2433,18.6480463,144,75.2576,0.048984715,2007,9,37
2007-09-20,0.39060672,2007-09-13,280.6192079,326.6703943,240.4627504,281.1791577,18.85518071,144,86.20764393,0.06719134,2007,9,38
2008-06-05,-2.443697499,2008-05-29,58.95420039,83.12935518,36.79022772,57.48533645,11.13787039,144,46.33912747,0.188924119,2008,6,23
2008-06-12,-1.220484084,2008-06-05,122.4349183,151.0945607,101.0441595,122.8928525,9.889193926,144,50.05040121,0.080771026,2008,6,24
2008-06-19,-0.239154039,2008-06-12,294.5463441,358.5538283,220.6874949,295.5197049,36.49407033,144,137.8663335,0.123899247,2008,6,25
2008-06-26,-0.600021616,2008-06-19,297.9260749,317.7431962,282.3693202,296.059227,9.543021996,144,35.37387599,0.03203151,2008,6,26
2008-07-03,0.469265067,2008-06-26,315.9996909,334.5064537,300.0407926,314.898709,8.148197476,144,34.46566109,0.02578546,2008,7,27
2008-07-10,-0.018391325,2008-07-03,393.2100318,422.708862,360.5176041,395.8511379,14.90492495,144,62.1912579,0.03790576,2008,7,28
2008-07-17,0.571870565,2008-07-10,514.0187485,549.7682503,488.7303933,511.8819282,12.96211608,144,61.03785703,0.025217205,2008,7,29
2008-07-24,-0.272360913,2008-07-17,512.1257381,569.3313008,461.5529885,519.1467722,23.34082267,144,107.7783123,0.045576352,2008,7,30
2008-07-31,1.0409545,2008-07-24,453.5656737,489.5206424,417.2212885,456.9816648,15.7474124,144,72.29935394,0.034719145,2008,7,31
2008-08-07,0.078833339,2008-07-31,478.3559937,501.0738103,449.4845121,480.3900482,11.26671975,144,51.58929817,0.023553002,2008,8,32
2008-08-14,-0.582052675,2008-08-07,424.519909,444.936427,390.4064879,425.5404772,10.34384124,144,54.52993911,0.024365974,2008,8,33
2008-08-21,-0.193667803,2008-08-14,401.3705577,429.3144972,365.6642242,402.3471946,18.7624069,144,63.65027298,0.046745848,2008,8,34
2008-08-26,-0.959777296,2008-08-19,374.2394074,422.3731783,283.8911822,383.7020049,35.43635807,144,138.4819961,0.094689008,2008,8,35
2008-09-04,-0.122973215,2008-08-28,328.8258284,368.6712539,284.9721923,330.7300571,24.59074009,144,83.69906161,0.074783481,2008,9,36
2008-09-10,-1.750869961,2008-09-03,318.5717421,345.5212137,271.3505535,321.8921509,14.05366473,144,74.17066017,0.044114599,2008,9,37
