date,totalperL,log_gloeo,wtr_mean_diff,wtr_max_diff,wtr_min_diff
2005-07-21,0.077809644,-1.089324144,NA,NA,NA
2005-07-28,0.452710658,-0.340739387,-0.7,NA,NA
2005-08-04,0.113177665,-0.932640213,-0.4,NA,NA
2005-08-11,1.152997457,0.063182233,1,NA,NA
2005-08-18,0.657845175,-0.179506147,-0.2,NA,NA
2005-08-25,0.488078678,-0.308318625,-2.1,NA,NA
2005-09-03,1.817916237,0.260433047,NA,NA,NA
2005-09-12,3.232637043,0.510040325,NA,NA,NA
2005-09-20,0.014147208,-1.750869961,NA,NA,NA
2005-09-25,0.183913705,-0.726966985,NA,NA,NA
2006-06-29,0.33245939,-0.473583965,NA,NA,NA
2006-07-06,0.275870557,-0.553663939,NA,NA,NA
2006-07-13,2.284774103,0.359527024,NA,NA,NA
2006-07-17,3.246784251,0.511934705,1.26792,2.47,0.17
2006-07-23,0.007073604,-1.971688914,-1.74416667,-3.68,-0.34
2006-07-31,3.317520292,0.521284606,1.6575,1.9,1.55
2006-08-07,1.846210653,0.267127276,0.30875,0.35,0.52
2006-08-14,1.068114209,0.030078989,-3.38666666,-3.45,-3.58
2006-08-21,0.94786294,-0.021608123,-0.0625,-0.5,0.17
2006-08-28,1.124703041,0.052425759,-1.9475,-1.82,-1.97
2006-09-08,2.857736029,0.456568863,-0.57375,0,-1.14
2006-09-12,0.346606598,-0.455675676,-1.03083334,-1.14,-0.8
2006-09-18,0.268796953,-0.564797755,0.01999667,-0.16,0.16
2007-06-21,0,-2.443697499,NA,NA,NA
2007-06-28,0.014147208,-1.750869961,1.19083,NA,NA
2007-07-05,0.240502537,-0.612427707,-1.31916333,-1.5,-1.64
2007-07-12,0.07073604,-1.128800578,1.75,1.5,1.8
2007-07-19,0.282944161,-0.542808437,0.07,0,0.17
2007-07-26,0.728581215,-0.135381418,2.06541666,2.92,1.84
2007-08-02,4.696873078,0.67214157,1.02291667,1.05,0.53
2007-08-09,16.21977405,1.210141181,-0.79375,-1.57,0
2007-08-16,1.556192887,0.193066936,-1.12083333,-1.04,-1.2
2007-08-23,0.657845175,-0.179506147,-2.795,-3.19,-2.5
2007-08-30,22.59309128,1.354044852,3.24541666,3.54,3.01
2007-09-06,4.78882993,0.680555772,-2.96916666,-2.87,-3.01
2007-09-13,3.466065976,0.540287667,-1.05291667,-0.83,-1.13
2007-09-20,2.4545406,0.39060672,-1.24042,-1.3,-1.13
2008-06-05,0,-2.443697499,NA,NA,NA
2008-06-12,0.056588832,-1.220484084,5.12167,5.4483,4.6431
2008-06-19,0.572961927,-0.239154039,0.1068,0.07805,0.37995
2008-06-26,0.247576141,-0.600021616,-0.09792,-0.34,0.16
2008-07-03,2.942619278,0.469265067,2.52583333,2.86,2.33
2008-07-10,0.954936545,-0.018391325,2.21958334,2.25,2.07
2008-07-17,3.727789325,0.571870565,-0.55583334,-0.52,-0.86
2008-07-24,0.530520303,-0.272360913,-2.34416666,-2.59,-1.71
2008-07-31,10.98530706,1.0409545,1.50208333,1.9,1.19
2008-08-07,1.195439082,0.078833339,-1.86375,-2.23,-1.69
2008-08-14,0.258186547,-0.582052675,0.065,0.17,-0.16
2008-08-21,0.636624363,-0.193667803,-0.925,-0.67,-1
2008-08-26,0.106104061,-0.959777296,0.25041667,0.33,0.5
2008-09-04,0.749802028,-0.122973215,0.64583333,0.5,0.33
2008-09-10,0.014147208,-1.750869961,-1.86416667,-2.33,-1.49
2008-09-17,0.198060913,-0.695378271,-0.35041333,-0.16,-0.48
2008-09-24,0.226355329,-0.638356522,-1.64478,-1.7153,-1.4751
2009-05-15,0,-2.443697499,NA,NA,NA
2009-05-29,0.014147208,-1.750869961,1.27384028,0.456,1.7
2009-06-04,0.007073604,-1.971688914,2.255,2.53,1.73
2009-06-17,0.03536802,-1.409291661,2.03916666,2.42,1.9
