site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,light_sum,watertemp_mean_interp,watertemp_median_interp,watertemp_max_interp,watertemp_min_interp,watertemp_sd_interp,watertemp_range_interp,watertemp_cv_interp,ysi_readings_mean_only,buoy_interp,onset_interp,watertemp_daily_mean,watertemp_daily_median,watertemp_daily_max,watertemp_daily_min,watertemp_daily_sd,watertemp_daily_range,watertemp_daily_cv,watertemp_daily_obs,wtr_mean_diff,wtr_median_diff,wtr_max_diff,wtr_min_diff,wtr_sd_diff,wtr_range_diff,diff_interp
Midge,2005-07-21,2005,7,29,21,202,0.077809644,NA,0.077809644,NA,-1.089324144,NA,24.7,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2005-07-28,2005,7,30,28,209,0.452710658,NA,0.452710658,0.374901014,-0.340739387,NA,24,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,-0.7,NA,NA,NA,NA,NA,1
Midge,2005-08-04,2005,8,31,4,216,0.113177665,NA,0.113177665,-0.339532994,-0.932640213,NA,23.6,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,-0.4,NA,NA,NA,NA,NA,1
Midge,2005-08-11,2005,8,32,11,223,1.152997457,NA,1.152997457,1.039819793,0.063182233,NA,24.6,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,1
Midge,2005-08-18,2005,8,33,18,230,0.657845175,NA,0.657845175,-0.495152282,-0.179506147,NA,24.4,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,-0.2,NA,NA,NA,NA,NA,1
Midge,2005-08-25,2005,8,34,25,237,0.488078678,NA,0.488078678,-0.169766497,-0.308318625,NA,22.3,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,-2.1,NA,NA,NA,NA,NA,1
Midge,2005-09-03,2005,9,35,3,246,1.817916237,NA,1.817916237,1.329837558,0.260433047,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2005-09-12,2005,9,37,12,255,3.232637043,NA,3.232637043,1.414720807,0.510040325,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2005-09-20,2005,9,38,20,263,0.014147208,NA,0.014147208,-3.218489835,-1.750869961,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Midge,2005-09-25,2005,9,39,25,268,0.183913705,NA,0.183913705,0.169766497,-0.726966985,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
