site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,week,light_sum,watertemp_mean,watertemp_min,watertemp_max,watertemp_median,ysi_readings,buoy_interp,schmidt.stability.mean-lag,schmidt.stability.max-lag,schmidt.stability.min-lag,schmidt.stability.median-lag,schmidt.stability.sd-lag,schmidt.stability.obs,schmidt.stability_range-lag,schmidt.stability_CV-lag
Midge,2005-07-21,2005,7,21,202,0.077809644,NA,0.077809644,NA,-1.089324144,29,NA,24.7,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-07-28,2005,7,28,209,0.452710658,NA,0.452710658,0.374901014,-0.340739387,30,NA,24,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-04,2005,8,4,216,0.113177665,NA,0.113177665,-0.339532994,-0.932640213,31,NA,23.6,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-11,2005,8,11,223,1.152997457,NA,1.152997457,1.039819793,0.063182233,32,NA,24.6,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-18,2005,8,18,230,0.657845175,NA,0.657845175,-0.495152282,-0.179506147,33,NA,24.4,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-25,2005,8,25,237,0.488078678,NA,0.488078678,-0.169766497,-0.308318625,34,NA,22.3,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-03,2005,9,3,246,1.817916237,NA,1.817916237,1.329837558,0.260433047,35,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-12,2005,9,12,255,3.232637043,NA,3.232637043,1.414720807,0.510040325,37,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-20,2005,9,20,263,0.014147208,NA,0.014147208,-3.218489835,-1.750869961,38,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-25,2005,9,25,268,0.183913705,NA,0.183913705,0.169766497,-0.726966985,39,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-06-29,2006,6,29,180,0.33245939,NA,0.33245939,0.148545685,-0.473583965,26,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-06,2006,7,6,187,0.275870557,NA,0.275870557,-0.056588833,-0.553663939,27,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-13,2006,7,13,194,2.284774103,NA,2.284774103,2.008903546,0.359527024,28,NA,24.29708,23.55,25.45,23.975,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-17,2006,7,17,198,3.246784251,NA,3.246784251,0.962010148,0.511934705,29,NA,25.565,23.72,27.92,25.02,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-23,2006,7,23,204,0.007073604,NA,0.007073604,-3.239710647,-1.971688914,30,NA,23.82083333,23.38,24.24,23.72,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-31,2006,7,31,212,3.317520292,NA,3.317520292,3.310446688,0.521284606,31,NA,25.47833333,24.93,26.14,25.365,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-07,2006,8,7,219,1.846210653,NA,1.846210653,-1.471309639,0.267127276,32,NA,25.78708333,25.45,26.49,25.79,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-14,2006,8,14,226,1.068114209,NA,1.068114209,-0.778096444,0.030078989,33,NA,22.40041667,21.87,23.04,22.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-21,2006,8,21,233,0.94786294,NA,0.94786294,-0.120251269,-0.021608123,34,NA,22.33791667,22.04,22.54,22.37,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-28,2006,8,28,240,1.124703041,NA,1.124703041,0.176840101,0.052425759,35,NA,20.39041667,20.07,20.72,20.39,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-09-08,2006,9,8,251,2.857736029,NA,2.857736029,1.733032988,0.456568863,36,NA,19.81666667,18.93,20.72,19.905,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-09-12,2006,9,12,255,0.346606598,NA,0.346606598,-2.511129431,-0.455675676,37,NA,18.78583333,18.13,19.58,18.69,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-09-18,2006,9,18,261,0.268796953,NA,0.268796953,-0.077809645,-0.564797755,38,NA,18.80583,18.29,19.42,18.77,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-06-21,2007,6,21,172,0,0,0,-0.268796953,-2.443697499,24,NA,20.6,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-06-28,2007,6,28,179,0.014147208,0,0.014147208,0.014147208,-1.750869961,25,NA,21.79083,21.51,22.67,21.84,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-05,2007,7,5,186,0.240502537,0,0.240502537,0.226355329,-0.612427707,26,NA,20.47166667,19.87,21.17,20.595,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-12,2007,7,12,193,0.056588832,0.014147208,0.07073604,-0.169766497,-1.128800578,27,NA,22.22166667,21.67,22.67,22.17,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-19,2007,7,19,200,0.091956852,0.190987309,0.282944161,0.212208121,-0.542808437,28,NA,22.29166667,21.84,22.67,22.34,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-26,2007,7,26,207,0.551741115,0.176840101,0.728581215,0.445637054,-0.135381418,29,NA,24.35708333,23.68,25.59,24.21,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-02,2007,8,2,214,1.619855324,3.077017754,4.696873078,3.968291863,0.67214157,30,NA,25.38,24.21,26.64,25.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-09,2007,8,9,221,5.658883227,10.56089082,16.21977405,11.52290097,1.210141181,31,NA,24.58625,24.21,25.07,24.55,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-16,2007,8,16,228,0.8771269,0.679065987,1.556192887,-14.66358116,0.193066936,32,NA,23.46541667,23.01,24.03,23.34,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-23,2007,8,23,235,0.580035531,0.077809644,0.657845175,-0.898347712,-0.179506147,33,NA,20.67041667,20.51,20.84,20.68,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-30,2007,8,30,242,22.15452783,0.43856345,22.59309128,21.93524611,1.354044852,34,NA,23.91583333,23.52,24.38,23.86,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-09-06,2007,9,6,249,4.78882993,0,4.78882993,-17.80426135,0.680555772,35,NA,20.94666667,20.51,21.51,20.925,0,0,500.0376558,569.1813394,461.9974328,499.4189549,22.78458481,144,107.1839067,0.045565738
Midge,2007-09-13,2007,9,13,256,3.466065976,0,3.466065976,-1.322763954,0.540287667,36,NA,19.89375,19.38,20.68,19.71,0,0,380.691128,410.8265471,335.5689,387.2433,18.6480463,144,75.2576,0.048984715
Midge,2007-09-20,2007,9,20,263,2.440393391,0.014147208,2.4545406,-1.011525377,0.39060672,37,NA,18.65333,18.25,19.38,18.57,0,0,280.6192079,326.6703943,240.4627504,281.1791577,18.85518071,144,86.20764393,0.06719134
Midge,2008-06-05,2008,6,5,157,0,0,0,-2.4545406,-2.443697499,22,NA,15.84945,15.65695,15.98365,15.8896,0,1,58.95420039,83.12935518,36.79022772,57.48533645,11.13787039,144,46.33912747,0.188924119
Midge,2008-06-12,2008,6,12,164,0.056588832,0,0.056588832,0.056588832,-1.220484084,23,NA,20.97112,20.30005,21.43195,21.13247,0,1,122.4349183,151.0945607,101.0441595,122.8928525,9.889193926,144,50.05040121,0.080771026
Midge,2008-06-19,2008,6,19,171,0.572961927,0,0.572961927,0.516373094,-0.239154039,24,NA,21.07792,20.68,21.51,21.01,0,0,294.5463441,358.5538283,220.6874949,295.5197049,36.49407033,144,137.8663335,0.123899247
