date,log_gloeo,date_1weeklag,site,watertemp_daily_mean,watertemp_daily_median,watertemp_daily_max,watertemp_daily_min,watertemp_daily_sd,watertemp_daily_range,watertemp_daily_cv,watertemp_daily_obs
2005-07-21,-1.089324144,2005-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-28,-0.340739387,2005-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-04,-0.932640213,2005-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-11,0.063182233,2005-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-18,-0.179506147,2005-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-25,-0.308318625,2005-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-03,0.260433047,2005-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-12,0.510040325,2005-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-20,-1.750869961,2005-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-25,-0.726966985,2005-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-29,-0.473583965,2006-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07-06,-0.553663939,2006-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07-13,0.359527024,2006-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07-17,0.511934705,2006-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07-23,-1.971688914,2006-07-16,midge,25.26416667,25.195,26.32,24.06,0.57221854,2.26,0.022649413,24
2006-07-31,0.521284606,2006-07-24,midge,23.71666667,23.55,24.41,23.04,0.53381862,1.37,0.022508164,24
2006-08-07,0.267127276,2006-07-31,midge,25.47833333,25.365,26.14,24.93,0.479253647,1.21,0.018810243,24
2006-08-14,0.030078989,2006-08-07,midge,25.78708333,25.79,26.49,25.45,0.290987512,1.04,0.011284235,24
2006-08-21,-0.021608123,2006-08-14,midge,22.40041667,22.29,23.04,21.87,0.430555548,1.17,0.019220872,24
2006-08-28,0.052425759,2006-08-21,midge,22.33791667,22.37,22.54,22.04,0.146138087,0.5,0.006542154,24
2006-09-08,0.456568863,2006-09-01,midge,20.07583333,20.07,20.55,19.74,0.204235939,0.81,0.010173223,24
2006-09-12,-0.455675676,2006-09-05,midge,18.78333333,18.77,19.09,18.45,0.188233589,0.64,0.010021309,24
2006-09-18,-0.564797755,2006-09-11,midge,18.91791667,18.93,19.58,18.61,0.242594297,0.97,0.012823521,24
2007-06-21,-2.443697499,2007-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-06-28,-1.750869961,2007-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-07-05,-0.612427707,2007-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-07-12,-1.128800578,2007-07-05,midge,20.47166667,20.595,21.17,19.87,0.522216569,1.3,0.025509236,24
2007-07-19,-0.542808437,2007-07-12,midge,22.22166667,22.17,22.67,21.67,0.313058776,1,0.014087997,24
2007-07-26,-0.135381418,2007-07-19,midge,22.29166667,22.34,22.67,21.84,0.205673161,0.83,0.00922646,24
2007-08-02,0.67214157,2007-07-26,midge,24.35708333,24.21,25.59,23.68,0.639085482,1.91,0.026238178,24
2007-08-09,1.210141181,2007-08-02,midge,25.38,25.07,26.64,24.21,0.750588175,2.43,0.029574002,24
2007-08-16,0.193066936,2007-08-09,midge,24.58625,24.55,25.07,24.21,0.231419298,0.86,0.00941255,24
2007-08-23,-0.179506147,2007-08-16,midge,23.46541667,23.34,24.03,23.01,0.357965011,1.02,0.015255003,24
2007-08-30,1.354044852,2007-08-23,midge,20.67041667,20.68,20.84,20.51,0.124008386,0.33,0.005999317,24
2007-09-06,0.680555772,2007-08-30,midge,23.91583333,23.86,24.38,23.52,0.203168738,0.86,0.008495156,24
2007-09-13,0.540287667,2007-09-06,midge,20.94666667,20.925,21.51,20.51,0.341883106,1,0.0163216,24
2007-09-20,0.39060672,2007-09-13,midge,19.89375,19.71,20.68,19.38,0.470067641,1.3,0.023628911,24
2008-06-05,-2.443697499,2008-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-06-12,-1.220484084,2008-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-06-19,-0.239154039,2008-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-06-26,-0.600021616,2008-06-19,midge,21.357,21.34,21.51,21.17,0.125437014,0.34,0.005873344,10
2008-07-03,0.469265067,2008-06-26,midge,20.98,21.01,21.17,20.84,0.116469813,0.33,0.005551469,24
2008-07-10,-0.018391325,2008-07-03,midge,23.50583333,23.34,24.03,23.17,0.256361102,0.86,0.010906276,24
2008-07-17,0.571870565,2008-07-10,midge,25.72541667,25.76,26.28,25.24,0.274368511,1.04,0.01066527,24
2008-07-24,-0.272360913,2008-07-17,midge,25.16958333,25.07,25.76,24.38,0.427718713,1.38,0.016993476,24
2008-07-31,1.0409545,2008-07-24,midge,22.82541667,22.84,23.17,22.67,0.120685692,0.5,0.005287338,24
