date,light_Coffin.sum,light_Coffin.max,light_Coffin.median,light_Coffin.obs,light_Fichter.sum,light_Fichter.max,light_Fichter.median,light_Fichter.obs,light_Newbury.sum,light_Newbury.max,light_Newbury.median,light_Newbury.obs,light_Midge.sum,light_Midge.max,light_Midge.median,light_Midge.obs
2009-05-15,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,61
2009-05-16,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,628389.8,88178.4,710.4,144
2009-05-17,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,469631.7,13777.9,995.7,144
2009-05-18,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,695750.6,46844.8,1722.25,144
2009-05-19,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,990832.7,121245.2,1065.65,144
2009-05-20,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,437253.3,20666.8,1593.05,144
2009-05-21,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,1005235.3,209423.6,990.3,144
2009-05-22,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,826371,82667.2,2023.65,144
2009-05-23,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,354575.2,15155.7,1291.65,144
2009-05-24,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,520232.6,42711.4,1318.6,144
2009-05-25,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,781732.3,99200.7,984.9,144
2009-05-26,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,676073.4,60622.6,1377.8,144
2009-05-27,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,150846.7,4650,635.1,144
2009-05-28,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,138779.6,5166.7,366,144
2009-05-29,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,285449,11022.3,721.15,144
