"year","week","light_Coffin.sum","light_Coffin.max","light_Coffin.median","light_Coffin.obs","light_Fichter.sum","light_Fichter.max","light_Fichter.median","light_Fichter.obs","light_OldNewbury.sum","light_OldNewbury.max","light_OldNewbury.median","light_OldNewbury.obs","light_Midge.sum","light_Midge.max","light_Midge.median","light_Midge.obs"
2009,20,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,3508879.3,121245.2,1119.5,781
2009,21,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,4315066.5,209423.6,1087.2,1008
2009,22,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,1603635.8,93689.5,640.45,1008
2009,23,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,1086674.9,7577.8,602.8,1008
2009,24,NA,NA,NA,41,NA,NA,NA,41,NA,NA,NA,41,1089409.6,6544.5,527.4,999
2009,25,2848605.4,30311.3,871.9,1008,2328319.5,46844.8,748.1,1008,1328798.9,21355.7,419.8,1008,1763653.4,10677.8,586.65,1008
2009,26,3986776.6,66133.8,785.8,1005,3748871.1,104711.8,1011.8,1008,3305751.2,42711.4,705.05,1006,1710941.4,14466.8,581.3,1005
2009,27,3702253.3,55111.5,624.3,1008,3707096.5,115734.1,645.8,1008,1140978.4,26178,172.2,1008,1139805.3,10333.4,382.1,1008
2009,28,5388329.7,60622.6,990.3,1007,6014394,137778.7,796.5,1008,4240859.8,60622.6,968.8,1007,1323255.6,38578,0,1005
2009,29,3900642.5,68889.3,775,1008,4426398.3,88178.4,775,1008,2983576.3,44089.2,699.7,1008,1634701.5,19977.9,339.05,1008
2009,30,2784335.5,60622.6,479,1008,4498192.5,198401.3,699.7,1008,3573988.2,63378.2,613.55,1008,2183716,37200.2,516.65,1008
2009,31,2358899.6,34444.7,452.1,1008,3940717.6,71644.9,672.75,1008,984331.5,11711.2,204.5,1008,1378486.2,13777.9,441.3,1008
2009,32,2889704.2,30311.3,446.7,1008,881782.3,38578,75.3,1008,533085.3,7233.4,75.3,1008,1683987.8,21355.7,322.9,1008
2009,33,4608428.1,38578,753.5,1008,5850373.8,88178.4,667.4,1007,3930266.3,60622.6,565.1,1008,1525726,23422.4,532.8,1008
2009,34,2172619.3,37200.2,252.95,1008,3298355.6,93689.5,301.4,1008,1502595.3,33066.9,166.85,1008,1230816.6,10677.8,215.3,1008
2009,35,4149366.6,52355.9,376.7,1007,2990616.6,55111.5,285.25,1008,3389927.3,35822.5,398.3,1008,174118.5,7577.8,5.4,1008
2009,36,3711618.4,55111.5,344.4,1008,2995566.9,68889.3,274.5,1008,3282695.5,52355.9,366,1007,106769.2,3788.9,0,778
2009,37,2886570.8,31689.1,236.8,1008,1189482.7,41333.6,86.1,1008,2124364.2,26178,172.2,1008,NA,NA,NA,218
2009,38,NA,NA,NA,631,NA,NA,NA,632,NA,NA,NA,631,NA,NA,NA,632
2010,21,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60
2010,22,7610120.6,110223,1377.8,1008,5321765.9,93689.5,968.8,1008,3273782.7,44089.2,1001,1008,3147434.4,55111.5,1151.7,1008
2010,23,4602077,74400.5,764.2,1007,3633675.7,63378.2,570.5,1008,3244268.3,46844.8,694.3,1008,3308819.9,71644.9,796.5,1007
2010,24,4089927.9,79911.6,968.8,1007,2932931.1,68889.3,715.8,1008,2615190.1,44089.2,775,1008,2560658.7,74400.5,602.8,1007
2010,25,8921655.1,126756.4,1808.3,1008,4019606.4,115734.1,172.2,1008,3833023.3,154312.1,914.9,1008,3351874.7,68889.3,629.7,1008
2010,26,6204529.7,77156.1,1550,1007,5824023,176356.7,952.6,1008,3257938,66133.8,909.55,1008,3561999.2,63378.2,941.85,1008
2010,27,11062756.9,88178.4,2583.4,1008,8787706.6,187379,1108.7,1008,7218936.1,126756.4,1463.9,1008,4657124.4,85422.8,1636.1,1008
2010,28,6016071.1,74400.5,1108.7,1008,5215876.2,159823.3,1027.95,1008,4500494.7,82667.2,818.1,1007,3029711.3,49600.3,796.5,1007
2010,29,727387,14336,188,1008,613661,20480,114.5,1008,412836,5120,77,1008,328882,3200,144,1008
2010,30,1111530.3,42711.4,144,1004,1341593.6,57867,82,1004,890106.2,49600.3,54,1004,402579.7,30311.3,87.5,1004
2010,31,7855108.8,165334.4,1334.75,1008,5087563.6,110223,850.4,1008,6211138.7,126756.4,1216.3,1008,4036419.9,68889.3,1291.65,1008
2010,32,9792771.3,110223,1307.8,1008,5103977.9,85422.8,710.4,1008,6929493.4,68889.3,1130.2,1008,4669857,93689.5,1184.05,1006
2010,33,8212233.1,88178.4,1420.85,1008,5530242.4,220445.9,635.1,1008,6071820.4,93689.5,947.2,1008,3948684,93689.5,1087.15,1008
2010,34,6157695.4,110223,608.15,1008,2860973.6,99200.7,226,1008,3988379.6,93689.5,398.3,1007,2692088.1,115734.1,387.5,1007
2010,35,11568426.1,170845.6,974.15,1008,4965952.7,60622.6,495.1,1008,6565175.8,93689.5,602.8,1008,2879499.2,66133.8,731.9,1008
2010,36,6345247.7,104711.8,570.5,1008,3189414.9,74400.5,258.3,1007,3739387.8,60622.6,344.4,1006,2245685,42711.4,398.3,1007
2010,37,4534274.2,104711.8,193.8,1008,1225327.3,28933.5,64.6,1008,3728806.8,49600.3,183,1008,1880020.9,14466.8,161.5,1008
2010,38,3302953.2,121245.2,64.6,785,1101378.1,27555.7,10.8,926,3026168.8,49600.3,37.7,922,1403814.2,9300.1,64.6,930
2011,22,NA,NA,NA,202,NA,NA,NA,203,NA,NA,NA,203,NA,NA,NA,203
2011,23,6632095.6,77156.1,1049.45,1000,6264700.1,121245.2,818.1,1008,2574360.9,52355.9,204.5,1008,2633585.6,39955.8,613.5,1008
2011,24,2676447.8,46844.8,624.3,999,2350052.5,79911.6,581.3,1007,2453913.8,39955.8,269.1,1007,1744578.9,42711.4,290.6,1007
2011,25,3138263.7,57867,452.1,999,638594.6,8266.7,113,1008,2579851.1,37200.2,581.3,1008,1495555.2,28933.5,479,1008
2011,26,3093443.2,52355.9,839.6,999,2259236.4,57867,129.2,1007,2561735.4,38578,990.3,1006,1678283.6,28933.5,538.2,1007
2011,27,4882230.8,99200.7,1011.8,1000,6075081.8,198401.3,941.85,1008,3304395.3,49600.3,995.65,1008,3728463,52355.9,1162.5,1008
2011,28,6734116.1,115734.1,1302.4,998,5463593.1,132267.5,688.9,1007,3773402,57867,785.8,1007,3891267.7,52355.9,1162.5,1007
2011,29,6650458.5,63378.2,1593.05,1000,1862444.6,52355.9,376.75,1008,4878301.1,55111.5,1377.8,1008,3540536.2,37200.2,1108.7,1008
2011,30,5098306,82667.2,828.8,999,1143111,19977.9,193.8,1007,3193634.3,57867,731.9,1007,1899171.6,30311.3,516.7,1007
2011,31,4559193.2,60622.6,1087.2,999,789320.6,15155.7,118.4,1008,3898166.7,44089.2,1071,1008,3629241.9,52355.9,925.7,1008
2011,32,3356329.9,68889.3,818.1,999,2201681.2,176356.7,150.7,1007,3194849.5,71644.9,882.6,1007,1963765.6,26178,527.4,1007
2011,33,2409070.9,49600.3,473.6,1000,4398466.2,104711.8,645.85,1008,3150191,74400.5,635.1,1008,1370574.6,10333.4,554.35,1008
2011,34,3355942.8,55111.5,419.8,997,4224605.4,88178.4,387.5,1007,3171416.2,49600.3,473.6,1007,1335429.6,10677.8,430.6,1007
2011,35,4627156.1,57867,258.3,1000,1140999.9,17911.2,150.7,1008,2037164.9,30311.3,21.5,1008,902384.7,8611.2,231.4,1008
2011,36,3222934.4,41333.6,193.8,999,1171979.1,16533.4,86.1,1007,NA,NA,NA,658,787781.8,6544.5,96.9,1006
2011,37,4156114.2,41333.6,215.3,999,1402845.1,15844.5,156.1,1008,1371747.8,39955.8,107.6,1008,773424.3,5166.7,156.1,1008
2011,38,2569906.3,44089.2,32.3,780,1174034.9,34444.7,53.8,797,932557.7,14466.8,43.1,793,584806.6,6544.5,75.3,803
2012,21,NA,NA,NA,351,NA,NA,NA,360,NA,NA,NA,0,NA,NA,NA,360
2012,22,4488916.2,52355.9,640.45,980,4010177.1,82667.2,624.3,995,NA,NA,NA,0,2613822.9,49600.3,731.9,999
2012,23,2471212.3,34444.7,769.6,1000,2673445,46844.8,597.4,1008,NA,NA,NA,0,2459931.4,52355.9,753.5,1008
2012,24,NA,NA,NA,649,NA,NA,NA,655,NA,NA,NA,354,NA,NA,NA,653
2012,25,NA,NA,NA,0,NA,NA,NA,0,3941558,82667.2,602.75,1008,NA,NA,NA,0
2012,26,NA,NA,NA,0,NA,NA,NA,0,5732434.3,159823.3,1049.5,1008,NA,NA,NA,0
2012,27,NA,NA,NA,354,NA,NA,NA,354,6617855.2,77156.1,1184,1008,NA,NA,NA,354
