date,MaxWindDir_deg,MaxWindSp_ms
1/1/13,352,5
1/2/13,355.8,4.7
1/3/13,358.8,3.4
1/4/13,356,6.5
1/5/13,359,5.4
1/6/13,325,2.7
1/7/13,355.1,3.8
1/8/13,336.7,3.9
1/9/13,335,5.3
1/10/13,359.3,6.4
1/11/13,347,4.6
1/12/13,359.5,9
1/13/13,328,3.6
1/14/13,355.8,5.4
1/15/13,359,2.5
1/16/13,332.2,8.9
1/17/13,337.4,10.3
1/18/13,354.6,4.9
1/19/13,329,4.3
1/20/13,343,7.6
1/21/13,347,5.1
1/22/13,347.2,5.9
1/23/13,359,4.8
1/24/13,331.4,5.7
1/25/13,356.5,3.6
1/26/13,355.4,5.9
1/27/13,353.1,4.8
1/28/13,299.7,3.4
1/29/13,322.7,3.6
1/30/13,358.1,13
1/31/13,312.9,11
2/1/13,357.4,6.4
2/2/13,331,4.9
2/3/13,356.1,2.6
2/4/13,348,6.7
2/5/13,344.3,4.1
2/6/13,359.9,6.3
2/7/13,357.8,4
2/8/13,355,3.4
2/9/13,359.1,7.3
2/10/13,324,2.9
2/11/13,348.1,14
2/12/13,358,16.4
2/13/13,346,3.4
2/14/13,355.7,3.3
2/15/13,358.8,5
2/16/13,338,5
2/17/13,350.6,7.7
2/18/13,352,9.9
2/19/13,358.9,3.5
2/20/13,351,14.7
2/21/13,356.8,6.7
2/22/13,353,4.7
2/23/13,355.6,4.6
2/24/13,337.6,3.2
2/25/13,359.1,2.6
2/26/13,359.4,3.6
2/27/13,359.3,11.2
2/28/13,352.1,13
3/1/13,351.8,4.3
3/2/13,358.9,4.5
3/3/13,353.1,3.6
3/4/13,353.2,6.6
3/5/13,338.9,3.1
3/6/13,207,8.5
3/7/13,351.9,11
3/8/13,358,3.8
3/9/13,303,2.9
3/10/13,273.9,3.9
3/11/13,302.6,3.7
3/12/13,353.7,4.3
3/13/13,355.8,4.8
3/14/13,353,6.6
3/15/13,357.6,6
3/16/13,357.2,4.1
3/17/13,358,4.8
3/18/13,335,2.4
3/19/13,358.5,7.1
3/20/13,346,7.7
3/21/13,341,5.4
3/22/13,355,4.7
3/23/13,344.5,7.3
3/24/13,358.1,5.8
3/25/13,358.2,6.5
3/26/13,346.7,5.1
3/27/13,347.6,5.1
3/28/13,359.9,3.7
3/29/13,348.9,3.3
3/30/13,355,5.1
3/31/13,355.8,5.5
4/1/13,325.1,6.4
4/2/13,341,6.4
4/3/13,358.4,7.2
4/4/13,346,5.9
4/5/13,358.8,6
4/6/13,356.7,6.1
4/7/13,322.5,6.5
4/8/13,312.7,5.4
4/9/13,355,6.1
4/10/13,342.2,3.5
4/11/13,357.5,3.8
4/12/13,359.7,8.2
4/13/13,351,8.4
4/14/13,351,5.5
4/15/13,337.6,4
4/16/13,352.7,7.4
4/17/13,344.1,4.6
4/18/13,347.1,5.5
4/19/13,306.5,6.6
4/20/13,351,7.1
4/21/13,356.9,5.3
4/22/13,347.2,5.2
4/23/13,NA,NA
4/24/13,359.2,4.3
4/25/13,352.2,5.6
4/26/13,358.3,3.6
4/27/13,346.8,3.3
4/28/13,354.9,4.5
4/29/13,332.5,4.5
4/30/13,353.5,2.3
5/1/13,358,3
5/2/13,358.9,3.5
5/3/13,348.9,3.2
5/4/13,352.5,3.6
5/5/13,332.5,3.1
5/6/13,358.8,2.7
5/7/13,358.7,3.4
5/8/13,359.3,4.4
5/9/13,356.5,2.9
5/10/13,358.9,3.4
5/11/13,348.1,4.6
5/12/13,356.4,4.3
5/13/13,331,5.5
5/14/13,343.3,4.8
5/15/13,318.7,10.9
5/16/13,354.8,15.4
5/17/13,359.4,11.6
5/18/13,343.6,4.9
5/19/13,345.9,5.3
5/20/13,359.9,8.5
5/21/13,356.8,9.9
5/22/13,308,8.7
5/23/13,359.2,10.4
5/24/13,353.6,10.1
5/25/13,358.3,13.7
5/26/13,351.3,11.3
5/27/13,359.1,10.2
5/28/13,352.8,4.8
5/29/13,350.4,3
5/30/13,352.2,8.8
5/31/13,353.9,9.3
6/1/13,355.6,8.8
6/2/13,352.3,11.6
6/3/13,329.6,8.5
6/4/13,358.5,9.6
6/5/13,359.1,7.4
6/6/13,344.5,5.9
6/7/13,295,7.6
6/8/13,355.8,9.3
6/9/13,333.9,8.3
6/10/13,347.6,7.1
6/11/13,306,7.2
6/12/13,357.8,9
6/13/13,341,4.7
6/14/13,359.1,10
6/15/13,358.4,10
6/16/13,358.7,8.4
6/17/13,359.3,11
6/18/13,359.7,9.2
6/19/13,358.4,8.9
6/20/13,339.4,6.4
6/21/13,355.7,6
6/22/13,353.7,8.4
6/23/13,355.5,9.9
6/24/13,352.1,8.6
6/25/13,337.5,10
6/26/13,356.9,6
6/27/13,300.9,4.5
6/28/13,307.9,8.8
6/29/13,355.6,10.6
6/30/13,356.6,13.5
7/1/13,359.2,4.4
7/2/13,341,5.9
7/3/13,334.5,7.5
7/4/13,359.9,6.7
7/5/13,329.5,8.1
7/6/13,346.3,8
7/7/13,356.8,6.2
7/8/13,357.7,8.5
7/9/13,275,6
7/10/13,326.3,24.7
