"year","date","season_week","watertemp_gdd"
2009,2009-05-29,1,10.2
2009,2009-06-04,2,12.33
2009,2009-06-11,3,0
2009,2009-06-17,4,14.49
2009,2009-06-25,5,15.06
2009,2009-07-02,6,15.385
2009,2009-07-09,7,15.705
2009,2009-07-16,8,16.76
2009,2009-07-23,9,17.59
2009,2009-07-30,10,20.29
2009,2009-08-06,11,19.95
2009,2009-08-13,12,19.005
2009,2009-08-20,13,21.85
2009,2009-08-27,14,20.03
2009,2009-09-01,15,17.425
2009,2009-09-08,16,16.93
2009,2009-09-15,17,15.705
2009,2009-09-21,18,13.765
2009,2009-09-24,19,0
2009,2009-10-05,20,11.2563
2010,2010-05-25,1,13.47
2010,2010-06-04,2,17.18
2010,2010-06-10,3,14.09
2010,2010-06-15,4,14.575
2010,2010-06-24,5,18.09
2010,2010-07-01,6,17.755
2010,2010-07-08,7,21.245
2010,2010-07-15,8,22.115
2010,2010-07-22,9,21.585
2010,2010-07-29,10,20.29
2010,2010-08-05,11,20.72
2010,2010-08-12,12,19.775
2010,2010-08-19,13,20.285
2010,2010-08-26,14,17.425
2010,2010-09-02,15,20.03
2010,2010-09-09,16,17.095
2010,2010-09-16,17,14.655
2010,2010-09-23,18,14.01
2010,2010-09-30,19,13.8864
2010,2010-10-07,20,11.692135
2011,2011-05-26,1,11.273735
2011,2011-06-02,2,11.795
2011,2011-06-10,3,15.735
2011,2011-06-16,4,15.065
2011,2011-06-23,5,15.225
2011,2011-06-30,6,17.345
2011,2011-07-07,7,19.695
2011,2011-07-14,8,19.36
2011,2011-07-21,9,21.68
2011,2011-07-28,10,20.81
2011,2011-08-04,11,20.38
2011,2011-08-11,12,19.78
2011,2011-08-18,13,19.1
2011,2011-08-25,14,18.51
2011,2011-09-01,15,17.43
2011,2011-09-08,16,17.01
2011,2011-09-15,17,16.525
2011,2011-09-22,18,14.82
2011,2011-09-29,19,15.46875
2011,2011-10-06,20,12.033125
2012,2012-05-24,1,14.815
2012,2012-05-31,2,16.52
2012,2012-06-07,3,13.37
2012,2012-06-14,4,16.115
2012,2012-06-21,5,19.53
2012,2012-06-28,6,16.435
2012,2012-07-05,7,19.435
2012,2012-07-12,8,20.64
2012,2012-07-19,9,21.155
2012,2012-07-26,10,19.775
2012,2012-08-02,11,21.07
2012,2012-08-09,12,21.5
2012,2012-08-16,13,21.325
2012,2012-08-23,14,20.375
2012,2012-08-30,15,19.515
2012,2012-09-06,16,18.755
2012,2012-09-13,17,17.51
2012,2012-09-20,18,15.14
2012,2012-09-27,19,14.25
2012,2012-10-05,20,12.905
2013,2013-05-23,1,10.99
2013,2013-05-30,2,10.37
2013,2013-06-06,3,13.45
2013,2013-06-13,4,12.26
2013,2013-06-20,5,14.42
2013,2013-06-27,6,18.01
2013,2013-07-03,7,19.11
2013,2013-07-11,8,21.17
2013,2013-07-18,9,22.925
2013,2013-07-25,10,19.525
2013,2013-08-01,11,20.04
2013,2013-08-08,12,18.59
2013,2013-08-15,13,17.51
2013,2013-08-22,14,19.445
2013,2013-08-29,15,18.425
2013,2013-09-05,16,18.26
2013,2013-09-11,17,16.94
2013,2013-09-18,18,14.74
2013,2013-09-25,19,13.13
2013,2013-10-02,20,13.297335
2014,2014-05-29,1,11.155
2014,2014-06-05,2,13.295
2014,2014-06-12,3,14.415
2014,2014-06-19,4,16.035
2014,2014-06-26,5,16.36
2014,2014-07-02,6,20.48
2014,2014-07-09,7,19.27
2014,2014-07-17,8,20.21
2014,2014-07-23,9,21.695
2014,2014-07-30,10,19.27
2014,2014-08-06,11,20.04
2014,2014-08-12,12,20.21
2014,2014-08-20,13,17.175
2014,2014-08-27,14,19.02
2014,2014-09-04,15,19.02
2014,2014-09-10,16,17.76
2014,2014-09-17,17,14.82
2014,2014-09-25,18,13.45
2014,2014-10-03,19,13.2345
2014,2014-10-10,20,11.1005
2015,2015-05-21,1,10.16576
2015,2015-05-28,2,12.4046
2015,2015-06-05,3,12.93
2015,2015-06-11,4,15.1
2015,2015-06-19,5,16.48
2015,2015-06-25,6,0
2015,2015-07-02,7,16.4
2015,2015-07-09,8,18.465
2015,2015-07-16,9,19.145
2015,2015-07-23,10,0
2015,2015-07-30,11,21.125
2015,2015-08-06,12,20.17
2015,2015-08-13,13,19.485
2015,2015-08-20,14,21.91
2015,2015-08-25,15,20.86
2015,2015-09-03,16,20.09
2015,2015-09-10,17,20.69
2015,2015-09-17,18,18.635
2015,2015-09-24,19,16.805
2015,2015-10-02,20,0
2016,2016-05-26,1,12.62708
2016,2016-06-03,2,16.24
2016,2016-06-09,3,0
2016,2016-06-16,4,12.45
2016,2016-06-23,5,16.805
2016,2016-06-30,6,19.485
2016,2016-07-07,7,19.58
2016,2016-07-14,8,20.175
2016,2016-07-21,9,19.915
2016,2016-07-27,10,20.865
2016,2016-08-04,11,20.865
2016,2016-08-11,12,0
2016,2016-08-15,13,21.385
2016,2016-08-22,14,19.57
2016,2016-08-31,15,19.655
2016,2016-09-07,16,18.3
2016,2016-09-14,17,18.22
2016,2016-09-21,18,18.05
2016,2016-09-28,19,15.505
2016,2016-10-05,20,13.834165
