Date,daily_mean_PAR_umolm2s,sampling_time_temp,sampling_time
2009-07-28,544.2804603,10,NA
2009-07-29,416.5396667,10,NA
2009-07-30,343.4472986,10,10
2009-07-31,68.29382639,11,NA
2009-08-01,495.1951944,11,NA
2009-08-02,136.3190139,11,NA
2009-08-03,534.8655,11,NA
2009-08-04,540.0293681,11,NA
2009-08-05,336.6768264,11,NA
2009-08-06,436.7728194,11,11
2009-08-07,466.4309375,12,NA
2009-08-08,454.3763261,12,NA
2009-08-09,197.6901458,12,NA
2009-08-10,309.8534444,12,NA
2009-08-11,415.1695971,12,NA
2009-08-12,353.1022431,12,NA
2009-08-13,174.5464306,12,12
2009-08-14,485.6526944,13,NA
2009-08-15,427.0452431,13,NA
2009-08-16,417.1565208,13,NA
2009-08-17,429.6526944,13,NA
2009-08-18,420.5637708,13,NA
2009-08-19,438.8556528,13,NA
2009-08-20,391.2826042,13,13
2009-08-21,168.644625,14,NA
2009-08-22,196.6082847,14,NA
2009-08-23,193.2054306,14,NA
2009-08-24,289.6506319,14,NA
2009-08-25,400.6055486,14,NA
2009-08-26,231.8544861,14,NA
2009-08-27,425.9750069,14,14
2009-08-28,331.3995139,15,NA
2009-08-29,69.16264583,15,NA
2009-08-30,354.5394444,15,NA
2009-08-31,381.0224583,15,NA
2009-09-01,402.4871111,15,15
2009-09-02,413.1193333,16,NA
2009-09-03,400.7698819,16,NA
2009-09-04,398.2570833,16,NA
2009-09-05,385.7933264,16,NA
2009-09-06,437.7040625,16,NA
2009-09-07,238.4453194,16,NA
2009-09-08,383.771,16,16
2009-09-09,308.89925,17,NA
2009-09-10,303.0856806,17,NA
2009-09-11,195.9285139,17,NA
2009-09-12,91.9603125,17,NA
2009-09-13,270.9550417,17,NA
2009-09-14,363.6479028,17,NA
2009-09-15,259.4517778,17,17
2009-09-16,279.6512431,18,NA
2009-09-17,245.0843264,18,NA
2009-09-18,220.0725694,18,NA
2009-09-19,333.1930833,18,NA
2009-09-20,391.6171875,18,NA
2009-09-21,384.3310972,18,18
2009-09-22,164.2428056,19,NA
2009-09-23,172.5364097,19,NA
2009-09-24,313.1207153,19,19
2009-09-29,197.8836736,20,NA
2009-09-30,133.4530694,20,NA
2009-10-01,156.7959931,20,NA
2009-10-02,235.2237222,20,NA
2009-10-03,31.30563194,20,NA
2009-10-04,226.9940486,20,NA
2009-10-05,168.1937222,20,20
2010-05-19,NA,21,NA
2010-05-20,724.6932024,21,NA
2010-05-21,555.7385694,21,NA
2010-05-22,371.6314514,21,NA
2010-05-23,438.4212778,21,NA
2010-05-24,524.3808403,21,NA
2010-05-25,509.9501458,21,21
2010-05-29,327.501,22,NA
2010-05-30,479.4325347,22,NA
2010-05-31,496.0580417,22,NA
2010-06-01,208.8433889,22,NA
2010-06-02,538.4520278,22,NA
2010-06-03,178.0444306,22,NA
2010-06-04,437.354875,23,22
2010-06-05,350.7429931,23,NA
2010-06-06,108.318875,23,NA
2010-06-07,384.6374028,23,NA
2010-06-08,367.5727361,23,NA
2010-06-09,305.712375,23,NA
2010-06-10,88.57673611,23,23
2010-06-11,323.8321667,24,NA
2010-06-12,98.21128472,24,NA
2010-06-13,96.44356944,24,NA
2010-06-14,264.7715417,24,NA
2010-06-15,520.236875,24,24
2010-06-18,501.7779028,25,NA
2010-06-19,539.31325,25,NA
2010-06-20,387.4558958,25,NA
2010-06-21,485.6418125,25,NA
2010-06-22,378.0634931,25,NA
2010-06-23,399.0215347,25,NA
2010-06-24,273.2499861,25,25
2010-06-25,498.9667431,26,NA
2010-06-26,292.6301736,26,NA
2010-06-27,260.1281389,26,NA
2010-06-28,225.0214792,26,NA
2010-06-29,459.2347778,26,NA
2010-06-30,412.9198472,26,NA
2010-07-01,294.0909583,26,26
2010-07-02,508.2026181,27,NA
2010-07-03,517.8407222,27,NA
2010-07-04,371.4067153,27,NA
2010-07-05,512.6649375,27,NA
2010-07-06,504.0447153,27,NA
2010-07-07,455.0608542,27,NA
2010-07-08,364.80875,27,27
2010-07-09,431.9126111,28,NA
2010-07-10,126.5460486,28,NA
2010-07-11,446.1505,28,NA
2010-07-12,492.1704306,28,NA
2010-07-13,278.2120417,28,NA
2010-07-14,194.3205764,28,NA
2010-07-15,378.7109861,28,28
2010-07-16,356.2781528,29,NA
2010-07-17,432.5847292,29,NA
2010-07-18,387.2786458,29,NA
2010-07-19,310.9157639,29,NA
2010-07-20,321.4055556,29,NA
2010-07-21,416.2068958,29,NA
2010-07-22,334.6073056,29,29
2010-07-23,187.4091181,30,NA
2010-07-24,333.6687986,30,NA
2010-07-25,238.3027986,30,NA
2010-07-26,473.0310208,30,NA
2010-07-27,471.2899097,30,NA
2010-07-28,404.0546458,30,NA
2010-07-29,402.7743333,30,30
2010-07-30,416.7037778,31,NA
2010-07-31,457.3465486,31,NA
2010-08-01,380.4664653,31,NA
2010-08-02,335.0333333,31,NA
2010-08-03,210.2872153,31,NA
2010-08-04,413.1308403,31,NA
2010-08-05,165.0846111,31,31
2010-08-06,389.4203403,32,NA
2010-08-07,405.0437431,32,NA
2010-08-08,440.5429306,32,NA
2010-08-09,355.5281319,32,NA
2010-08-10,476.4478125,32,NA
2010-08-11,423.8522292,32,NA
2010-08-12,277.4028958,32,32
2010-08-13,443.9706111,33,NA
2010-08-14,412.5675208,33,NA
2010-08-15,225.5728125,33,NA
2010-08-16,153.0165,33,NA
2010-08-17,423.7073264,33,NA
2010-08-18,288.3145556,33,NA
2010-08-19,394.4986736,33,33
2010-08-20,394.4250278,34,NA
2010-08-21,291.6558194,34,NA
2010-08-22,50.00508333,34,NA
2010-08-23,131.6635833,34,NA
2010-08-24,296.5542708,34,NA
2010-08-25,87.71354861,34,NA
2010-08-26,284.6999375,34,34
2010-08-27,390.9699931,35,NA
2010-08-28,386.2888472,35,NA
2010-08-29,409.9312986,35,NA
2010-08-30,421.6474583,35,NA
2010-08-31,335.1853958,35,NA
2010-09-01,403.8409444,35,NA
2010-09-02,399.5167778,35,35
2010-09-03,216.659125,36,NA
2010-09-04,275.5869097,36,NA
2010-09-05,171.3071944,36,NA
2010-09-06,340.2477917,36,NA
2010-09-07,310.8983472,36,NA
2010-09-08,220.1697917,36,NA
2010-09-09,107.4744028,36,36
2010-09-10,159.9160556,37,NA
2010-09-11,335.8498264,37,NA
2010-09-12,169.5135417,37,NA
