date,ppt_mm,sum_3,sum_5,sum_7,sum_10,sum_14
2005-05-01,10.1,NA,NA,NA,NA,NA
2005-05-02,0.05,NA,NA,NA,NA,NA
2005-05-03,0.7,10.85,NA,NA,NA,NA
2005-05-04,0,0.75,NA,NA,NA,NA
2005-05-05,0,0.7,10.85,NA,NA,NA
2005-05-06,0,4.163336342344337e-17,0.75,NA,NA,NA
2005-05-07,0,4.163336342344337e-17,0.7,10.85,NA,NA
2005-05-08,6.65,6.65,6.65,7.4,NA,NA
2005-05-09,0,6.65,6.65,7.3500000000000005,NA,NA
2005-05-10,0,6.65,6.65,6.65,17.5,NA
2005-05-11,0,4.163336342344337e-17,6.65,6.65,7.4,NA
2005-05-12,0,4.163336342344337e-17,6.65,6.65,7.3500000000000005,NA
2005-05-13,0,4.163336342344337e-17,-1.8041124150158794e-16,6.65,6.65,NA
2005-05-14,0,4.163336342344337e-17,-1.8041124150158794e-16,6.65,6.65,17.5
2005-05-15,0.64,0.64,0.6399999999999998,0.6399999999999997,7.29,8.040000000000001
2005-05-16,5.7,6.34,6.34,6.34,12.99,13.690000000000001
2005-05-17,0.61,6.95,6.95,6.95,13.600000000000001,13.600000000000001
2005-05-18,0,6.3100000000000005,6.95,6.95,6.95,13.600000000000001
2005-05-19,0,0.61,6.95,6.95,6.95,13.600000000000001
2005-05-20,0,4.163336342344337e-17,6.31,6.95,6.95,13.600000000000001
2005-05-21,0,4.163336342344337e-17,0.6099999999999998,6.95,6.95,13.600000000000001
2005-05-22,16.2,16.2,16.2,22.509999999999998,23.15,23.15
2005-05-23,6.42,22.62,22.62,23.229999999999997,29.57,29.57
2005-05-24,16.32,38.94,38.94,38.94,45.89,45.89
2005-05-25,11.98,34.72,50.92,50.92,57.23,57.87
2005-05-26,6.31,34.61,57.23,57.23,57.839999999999996,64.18
2005-05-27,7.82,26.11,48.85,65.05,65.05,72
2005-05-28,0.61,14.74,43.04,65.66,65.66,72.61
2005-05-29,0,8.43,26.720000000000002,49.46,65.66,71.97
2005-05-30,2.15,2.76,16.89,45.19,67.81,68.42
2005-05-31,7.96,10.11,18.540000000000003,36.83,75.77,75.77
2005-06-01,0,10.11,10.72,24.85,59.57,75.77
2005-06-02,0,7.96,10.110000000000001,18.540000000000003,53.15,75.77
2005-06-03,0,-4.0245584642661925e-16,10.110000000000001,10.72,36.83,75.77
2005-06-04,0,-4.0245584642661925e-16,7.960000000000001,10.110000000000001,24.849999999999998,75.77
2005-06-05,0,-4.0245584642661925e-16,1.1518563880486e-15,10.110000000000001,18.54,59.57
2005-06-06,0,-4.0245584642661925e-16,1.1518563880486e-15,7.960000000000001,10.719999999999999,53.15
2005-06-07,9.01,9.01,9.010000000000002,9.010000000000002,19.12,45.84
2005-06-08,0,9.01,9.010000000000002,9.010000000000002,19.12,33.86
2005-06-09,7.43,16.439999999999998,16.44,16.44,24.4,34.98
2005-06-10,4.96,12.389999999999999,21.400000000000002,21.400000000000002,21.4,32.12
2005-06-11,28.4,40.79,49.8,49.8,49.8,59.91
2005-06-12,0,33.36,40.79,49.8,49.8,59.91
2005-06-13,3.62,32.019999999999996,44.41,53.42,53.419999999999995,61.38
2005-06-14,18.36,21.98,55.339999999999996,62.769999999999996,71.78,71.78
2005-06-15,15.45,37.43,65.83,78.22,87.22999999999999,87.23
2005-06-16,1.96,35.769999999999996,39.39,72.75,89.19,89.19
2005-06-17,12.62,30.029999999999998,52.01,80.41,92.8,101.81
2005-06-18,24.22,38.8,72.61,76.23,117.02,126.03
2005-06-19,3.08,39.919999999999995,57.33,79.31,112.67,129.10999999999999
2005-06-20,0,27.299999999999997,41.879999999999995,75.69,107.71,129.10999999999999
2005-06-21,0,3.0799999999999996,39.92,57.33,79.31,120.1
2005-06-22,5.14,5.14,32.44,47.02,84.45,125.24
2005-06-23,0,5.14,8.22,45.06,80.83,117.81
2005-06-24,0,5.14,5.14,32.44,62.47,112.85
2005-06-25,0,-4.0245584642661925e-16,5.14,8.220000000000002,47.019999999999996,84.45
2005-06-26,0,-4.0245584642661925e-16,5.14,5.1400000000000015,45.059999999999995,84.45
2005-06-27,0,-4.0245584642661925e-16,2.636779683484747e-16,5.1400000000000015,32.44,80.83
2005-06-28,3.48,3.4799999999999995,3.4800000000000004,8.620000000000001,11.7,65.95
2005-06-29,9.13,12.610000000000001,12.610000000000001,12.610000000000003,17.75,59.63
2005-06-30,32.81,45.42,45.42,45.42,50.56,90.48
2005-07-01,0.1,42.040000000000006,45.52,45.52,50.660000000000004,77.96000000000001
