date,schmidt.stability.mean,schmidt.stability.max,schmidt.stability.min,schmidt.stability.median,schmidt.stability.sd,schmidt.stability.obs,schmidt.stability.range,schmidt.stability.CV
2007-08-28,470.832119,497.4600582,451.5506394,468.9286782,11.92503679,144,45.90941874,0.025327577
2007-08-29,478.7542072,498.5584065,458.5284807,479.3440958,11.19520972,144,40.02992583,0.023384045
2007-08-30,500.0376558,569.1813394,461.9974328,499.4189549,22.78458481,144,107.1839067,0.045565738
2007-08-31,508.0200722,529.4288084,480.3283286,508.3959814,12.41529449,144,49.10047977,0.02443859
2007-09-01,463.0400953,503.0946553,418.7240816,466.5296483,21.26093028,144,84.37057373,0.04591596
2007-09-02,433.1736649,450.541812,414.9824897,433.931571,6.095921403,144,35.55932235,0.014072696
2007-09-03,409.7713618,432.0773902,392.532791,408.6228834,9.160658336,144,39.5445992,0.022355536
2007-09-04,408.5394639,434.0967159,382.8730958,407.6003627,10.53987342,144,51.22362007,0.025798911
2007-09-05,400.8133063,426.7059844,370.6666241,401.2403656,11.16885339,144,56.0393603,0.027865476
2007-09-06,380.691128,410.8265471,335.5689,387.2433,18.6480463,144,75.2576,0.048984715
2007-09-07,337.7226533,374.1662856,260.284535,339.5245798,20.10768317,144,113.8817507,0.059539042
2007-09-08,362.4542088,411.2987198,317.5905724,360.0375321,21.12999613,144,93.70814733,0.058297009
2007-09-09,387.8897426,420.768828,336.6600391,384.7469896,19.85560172,144,84.10878886,0.051188777
2007-09-10,347.3193368,381.4937659,323.1163955,343.4791173,14.61702066,144,58.37737044,0.042085249
2007-09-11,326.4887333,346.4832747,298.8818329,326.4703664,10.07082806,144,47.60144176,0.030845867
2007-09-12,297.4683636,336.7945409,244.7988492,300.6524561,21.85051065,144,91.99569166,0.073454906
2007-09-13,280.6192079,326.6703943,240.4627504,281.1791577,18.85518071,144,86.20764393,0.06719134
2007-09-14,257.3381069,339.5992727,132.4768492,268.8037796,48.14430072,144,207.1224235,0.187085781
2007-09-15,226.0676909,281.1698524,96.04712921,231.1181487,34.50818502,144,185.1227232,0.152645364
2007-09-16,215.356104,240.6124285,174.7372505,214.4442613,12.80103249,144,65.875178,0.059441234
2007-09-17,206.5115093,240.9963118,130.3107852,206.4579899,16.39946956,144,110.6855266,0.079411891
2007-09-18,203.1444492,254.7001153,123.3260281,199.9985655,24.344772,144,131.3740872,0.119839711
2007-09-19,193.2704882,230.0110764,144.3597524,191.9776719,16.24986452,144,85.65132398,0.084078354
2007-09-20,185.3717936,260.8442549,127.4493115,182.0537421,30.9685017,144,133.3949434,0.167061564
2007-09-21,209.539018,247.7408773,115.9867412,218.8940357,27.44138891,144,131.7541361,0.130960759
2007-09-22,202.0412989,278.7107882,118.8242305,198.5376881,32.8438408,144,159.8865577,0.162560036
2007-09-23,171.9088601,263.1552472,76.94584916,167.7332603,35.79669589,144,186.2093981,0.208230663
2007-09-24,181.9053787,248.4266818,75.14881015,182.8931305,28.43216703,144,173.2778716,0.156301959
2007-09-25,172.9840561,236.3317175,85.44028407,169.9922596,38.94739377,144,150.8914334,0.225150194
2007-09-26,185.5034181,248.2223016,137.9075265,184.5346282,23.9212516,144,110.3147751,0.128953158
