"year","date","season_week","daylength"
2009,2009-05-29,1,15.1024637991715
2009,2009-06-04,2,15.2393831279041
2009,2009-06-11,3,15.3532939261784
2009,2009-06-17,4,15.4083323931586
2009,2009-06-25,5,15.4175815089021
2009,2009-07-02,6,15.365408971586
2009,2009-07-09,7,15.2594533653071
2009,2009-07-16,8,15.1042509154612
2009,2009-07-23,9,14.9057802922791
2009,2009-07-30,10,14.6707171715547
2009,2009-08-06,11,14.405761486518
2009,2009-08-13,12,14.1171389245209
2009,2009-08-20,13,13.810306529702
2009,2009-08-27,14,13.4898408040286
2009,2009-09-01,15,13.2546820281156
2009,2009-09-08,16,12.9190870630494
2009,2009-09-15,17,12.5783321725195
2009,2009-09-21,18,12.2837673445562
2009,2009-09-24,19,12.1360265969461
2009,2009-10-05,20,11.594505609785
2010,2010-05-25,1,14.9929725977947
2010,2010-06-04,2,15.2393831279041
2010,2010-06-10,3,15.3402199101239
2010,2010-06-15,4,15.3945022336577
2010,2010-06-24,5,15.4204719010203
2010,2010-07-01,6,15.3762371840089
2010,2010-07-08,7,15.2777298361676
2010,2010-07-15,8,15.1292221963771
2010,2010-07-22,9,14.9365323602849
2010,2010-07-29,10,14.706280766709
2010,2010-08-05,11,14.4451990975216
2010,2010-08-12,12,14.1596035159914
2010,2010-08-19,13,13.855071542357
2010,2010-08-26,14,13.5363065797802
2010,2010-09-02,15,13.207146755705
2010,2010-09-09,16,12.8706704313033
2010,2010-09-16,17,12.5293593282369
2010,2010-09-23,18,12.1852930375104
2010,2010-09-30,19,11.8403604785873
2010,2010-10-07,20,11.4964822771428
2011,2011-05-26,1,15.0216267474294
2011,2011-06-02,2,15.1975795090023
2011,2011-06-10,3,15.3402199101239
2011,2011-06-16,4,15.4019878214512
2011,2011-06-23,5,15.4222075369022
2011,2011-06-30,6,15.3859541078757
2011,2011-07-07,7,15.2949832918486
2011,2011-07-14,8,15.1532904770771
2011,2011-07-21,9,14.966517715589
2011,2011-07-28,10,14.7412159159071
2011,2011-08-04,11,14.4841376975531
2011,2011-08-11,12,14.2016831387095
2011,2011-08-18,13,13.8995475483776
2011,2011-08-25,14,13.5825614934983
2011,2011-09-01,15,13.2546820281156
2011,2011-09-08,16,12.9190870630494
2011,2011-09-15,17,12.5783321725195
