"date","schmidt","season_week","year"
2009-05-29,NA,1,2009
2009-06-04,NA,2,2009
2009-06-11,NA,3,2009
2009-06-17,NA,4,2009
2009-06-25,NA,5,2009
2009-07-02,NA,6,2009
2009-07-09,NA,7,2009
2009-07-16,NA,8,2009
2009-07-23,NA,9,2009
2009-07-30,455.182962696946,10,2009
2009-08-06,459.718460675828,11,2009
2009-08-13,441.496722482335,12,2009
2009-08-20,553.760940689604,13,2009
2009-08-27,424.476617047152,14,2009
2009-09-01,335.872996544202,15,2009
2009-09-08,313.770035905035,16,2009
2009-09-15,243.803022351133,17,2009
2009-09-21,144.12312446375,18,2009
2009-09-24,111.844203951958,19,2009
2009-10-05,0,20,2009
2010-05-25,167.170371870527,1,2010
2010-06-04,272.146007436109,2,2010
2010-06-10,169.085521496354,3,2010
2010-06-15,178.229544877926,4,2010
2010-06-24,346.499915959233,5,2010
2010-07-01,293.354382516199,6,2010
2010-07-08,505.873757989188,7,2010
2010-07-15,NA,8,2010
2010-07-22,449.706032119119,9,2010
2010-07-29,379.330698062941,10,2010
2010-08-05,418.524704627651,11,2010
2010-08-12,394.890600487759,12,2010
2010-08-19,346.246519756616,13,2010
2010-08-26,182.092003102003,14,2010
2010-09-02,290.437796856884,15,2010
2010-09-09,48.3975662695304,16,2010
2010-09-16,0,17,2010
2010-09-23,0,18,2010
2010-09-30,0,19,2010
2010-10-07,0,20,2010
2011-05-26,71.915914216699,1,2011
2011-06-02,194.294661551669,2,2011
2011-06-10,309.379170058484,3,2011
2011-06-16,235.454457551691,4,2011
2011-06-23,322.36921650628,5,2011
2011-06-30,320.028726348282,6,2011
2011-07-07,405.589028918023,7,2011
2011-07-14,443.524964848772,8,2011
2011-07-21,543.402700550058,9,2011
2011-07-28,527.7254472208,10,2011
2011-08-04,518.628911079017,11,2011
2011-08-11,506.799697653547,12,2011
2011-08-18,387.883945646114,13,2011
2011-08-25,359.322717168046,14,2011
2011-09-01,243.641663458348,15,2011
2011-09-08,214.454829594635,16,2011
2011-09-15,122.616068468966,17,2011
2011-09-22,27.6950475462081,18,2011
2011-09-29,54.5642660754726,19,2011
2011-10-06,0,20,2011
2012-05-24,207.252600699928,1,2012
2012-05-31,280.691554730024,2,2012
2012-06-07,179.672542268084,3,2012
2012-06-14,255.918698363174,4,2012
2012-06-21,399.682308174385,5,2012
2012-06-28,315.181115919723,6,2012
2012-07-05,417.150776063188,7,2012
2012-07-12,475.832769763773,8,2012
2012-07-19,537.576374049143,9,2012
2012-07-26,458.284745767892,10,2012
2012-08-02,487.69881489331,11,2012
2012-08-09,530.636192419353,12,2012
