"year","date","season_week","watertemp_min"
2009,2009-05-29,1,13.81
2009,2009-06-04,2,15.54
2009,2009-06-11,3,NA
2009,2009-06-17,4,17.44
2009,2009-06-25,5,17.77
2009,2009-07-02,6,19.06
2009,2009-07-09,7,19.06
2009,2009-07-16,8,20.35
2009,2009-07-23,9,21.17
2009,2009-07-30,10,24.03
2009,2009-08-06,11,23.52
2009,2009-08-13,12,22.84
2009,2009-08-20,13,25.42
2009,2009-08-27,14,23.68
2009,2009-09-01,15,21.01
2009,2009-09-08,16,20.19
2009,2009-09-15,17,19.54
2009,2009-09-21,18,17.28
2009,2009-09-24,19,NA
2009,2009-10-05,20,15.1645
2010,2010-05-25,1,15.23
2010,2010-06-04,2,20.35
2010,2010-06-10,3,17.77
2010,2010-06-15,4,17.93
2010,2010-06-24,5,21.67
2010,2010-07-01,6,21.34
2010,2010-07-08,7,24.03
2010,2010-07-15,8,25.42
2010,2010-07-22,9,25.24
2010,2010-07-29,10,24.03
2010,2010-08-05,11,24.55
2010,2010-08-12,12,23.52
2010,2010-08-19,13,23.68
2010,2010-08-26,14,21.01
2010,2010-09-02,15,23.34
2010,2010-09-09,16,20.68
2010,2010-09-16,17,18.09
2010,2010-09-23,18,17.61
2010,2010-09-30,19,17.8192
2010,2010-10-07,20,15.52507
2011,2011-05-26,1,14.50547
2011,2011-06-02,2,13.82
2011,2011-06-10,3,17.13
2011,2011-06-16,4,17.93
2011,2011-06-23,5,18.74
2011,2011-06-30,6,21.01
2011,2011-07-07,7,23.18
2011,2011-07-14,8,22.34
2011,2011-07-21,9,25.07
2011,2011-07-28,10,24.03
2011,2011-08-04,11,24.03
2011,2011-08-11,12,23.35
2011,2011-08-18,13,22.34
2011,2011-08-25,14,22.18
2011,2011-09-01,15,21.18
2011,2011-09-08,16,20.68
2011,2011-09-15,17,19.87
2011,2011-09-22,18,18.09
2011,2011-09-29,19,19.2905
2011,2011-10-06,20,15.68525
2012,2012-05-24,1,18.57
2012,2012-05-31,2,20.03
2012,2012-06-07,3,16.81
2012,2012-06-14,4,19.22
2012,2012-06-21,5,22.34
2012,2012-06-28,6,20.03
2012,2012-07-05,7,23.01
2012,2012-07-12,8,23.52
2012,2012-07-19,9,24.72
2012,2012-07-26,10,23.34
2012,2012-08-02,11,24.21
2012,2012-08-09,12,25.07
2012,2012-08-16,13,24.89
2012,2012-08-23,14,23.86
2012,2012-08-30,15,23.17
2012,2012-09-06,16,22.17
2012,2012-09-13,17,20.68
2012,2012-09-20,18,18.9
2012,2012-09-27,19,18.09
2012,2012-10-05,20,16.73
2013,2013-05-23,1,14.67
2013,2013-05-30,2,13.43
2013,2013-06-06,3,17.05
2013,2013-06-13,4,16.1
2013,2013-06-20,5,17.37
2013,2013-06-27,6,21.59
2013,2013-07-03,7,22.09
2013,2013-07-11,8,24.82
2013,2013-07-18,9,26.22
2013,2013-07-25,10,23.27
2013,2013-08-01,11,23.78
2013,2013-08-08,12,22.09
2013,2013-08-15,13,21.26
2013,2013-08-22,14,22.76
2013,2013-08-29,15,22.09
2013,2013-09-05,16,21.93
2013,2013-09-11,17,19.95
2013,2013-09-18,18,18.17
2013,2013-09-25,19,16.89
2013,2013-10-02,20,17.008
2014,2014-05-29,1,13.89
2014,2014-06-05,2,16.58
2014,2014-06-12,3,18.01
2014,2014-06-19,4,19.47
2014,2014-06-26,5,19.63
2014,2014-07-02,6,23.44
2014,2014-07-09,7,22.93
2014,2014-07-17,8,23.78
2014,2014-07-23,9,25.17
2014,2014-07-30,10,22.76
2014,2014-08-06,11,23.78
2014,2014-08-12,12,23.78
2014,2014-08-20,13,20.76
2014,2014-08-27,14,22.43
2014,2014-09-04,15,22.43
2014,2014-09-10,16,21.59
2014,2014-09-17,17,18.33
2014,2014-09-25,18,17.21
2014,2014-10-03,19,16.943
2014,2014-10-10,20,14.963
2015,2015-05-21,1,13.56624
2015,2015-05-28,2,15.66072
2015,2015-06-05,3,16.29
2015,2015-06-11,4,18.53
2015,2015-06-19,5,19.99
2015,2015-06-25,6,NA
2015,2015-07-02,7,19.99
2015,2015-07-09,8,22.3
2015,2015-07-16,9,22.81
2015,2015-07-23,10,NA
2015,2015-07-30,11,24.34
2015,2015-08-06,12,24
2015,2015-08-13,13,23.14
2015,2015-08-20,14,25.56
2015,2015-08-25,15,24.34
2015,2015-09-03,16,23.66
2015,2015-09-10,17,24.34
2015,2015-09-17,18,22.13
2015,2015-09-24,19,20.48
2015,2015-10-02,20,NA
2016,2016-05-26,1,14.77083
2016,2016-06-03,2,19.67
2016,2016-06-09,3,NA
2016,2016-06-16,4,15.66
2016,2016-06-23,5,20.48
2016,2016-06-30,6,22.97
2016,2016-07-07,7,22.47
2016,2016-07-14,8,23.83
2016,2016-07-21,9,23.14
2016,2016-07-27,10,24.17
2016,2016-08-04,11,24.17
2016,2016-08-11,12,NA
2016,2016-08-15,13,25.21
2016,2016-08-22,14,23.31
2016,2016-08-31,15,23.48
2016,2016-09-07,16,22.13
2016,2016-09-14,17,21.97
2016,2016-09-21,18,21.8
2016,2016-09-28,19,19.18
2016,2016-10-05,20,17.53
