datetime,year,time,dayofyr,coffin,fichter,newbury,midge,,cf,cn,cm,fn,fm,nm
2006-07-13 18:00,2006,18:00:00,194,NA,NA,NA,23.72,,NA,NA,NA,NA,NA,NA
2006-07-13 19:00,2006,19:00:00,194,NA,NA,NA,23.89,,NA,NA,NA,NA,NA,NA
2006-07-13 20:00,2006,20:00:00,194,NA,NA,NA,23.89,,NA,NA,NA,NA,NA,NA
2006-07-13 21:00,2006,21:00:00,194,NA,NA,NA,24.06,,NA,NA,NA,NA,NA,NA
2006-07-13 22:00,2006,22:00:00,194,NA,NA,NA,24.24,,NA,NA,NA,NA,NA,NA
2006-07-13 23:00,2006,23:00:00,194,NA,NA,NA,24.06,,NA,NA,NA,NA,NA,NA
2006-07-14 00:00,2006,0:00:00,195,NA,NA,NA,24.06,,NA,NA,NA,NA,NA,NA
2006-07-14 01:00,2006,1:00:00,195,NA,NA,NA,23.89,,NA,NA,NA,NA,NA,NA
2006-07-14 02:00,2006,2:00:00,195,NA,NA,NA,23.89,,NA,NA,NA,NA,NA,NA
2006-07-14 03:00,2006,3:00:00,195,NA,NA,NA,23.72,,NA,NA,NA,NA,NA,NA
2006-07-14 04:00,2006,4:00:00,195,NA,NA,NA,23.72,,NA,NA,NA,NA,NA,NA
2006-07-14 05:00,2006,5:00:00,195,NA,NA,NA,23.72,,NA,NA,NA,NA,NA,NA
2006-07-14 06:00,2006,6:00:00,195,NA,NA,NA,23.55,,NA,NA,NA,NA,NA,NA
2006-07-14 07:00,2006,7:00:00,195,NA,NA,NA,23.55,,NA,NA,NA,NA,NA,NA
2006-07-14 08:00,2006,8:00:00,195,NA,NA,NA,23.72,,NA,NA,NA,NA,NA,NA
2006-07-14 09:00,2006,9:00:00,195,NA,NA,NA,23.72,,NA,NA,NA,NA,NA,NA
2006-07-14 10:00,2006,10:00:00,195,NA,NA,NA,23.72,,NA,NA,NA,NA,NA,NA
2006-07-14 11:00,2006,11:00:00,195,NA,NA,NA,23.72,,NA,NA,NA,NA,NA,NA
2006-07-14 12:00,2006,12:00:00,195,NA,NA,NA,23.89,,NA,NA,NA,NA,NA,NA
2006-07-14 13:00,2006,13:00:00,195,NA,NA,NA,24.24,,NA,NA,NA,NA,NA,NA
2006-07-14 14:00,2006,14:00:00,195,NA,NA,NA,24.41,,NA,NA,NA,NA,NA,NA
2006-07-14 15:00,2006,15:00:00,195,NA,NA,NA,24.76,,NA,NA,NA,NA,NA,NA
2006-07-14 16:00,2006,16:00:00,195,NA,NA,NA,24.93,,NA,NA,NA,NA,NA,NA
2006-07-14 17:00,2006,17:00:00,195,NA,NA,NA,25.11,,NA,NA,NA,NA,NA,NA
