date,coffin.mean,coffin.min,coffin.max,coffin.median,coffin.obs,fichter.mean,fichter.min,fichter.max,fichter.median,fichter.obs,newbury.mean,newbury.min,newbury.max,newbury.median,newbury.obs,midge.mean,midge.min,midge.max,midge.median,midge.obs
2006-07-14,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,24.29708333,23.55,25.45,23.975,24
2006-07-15,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,24.54041667,23.89,25.45,24.24,24
2006-07-16,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.26416667,24.06,26.32,25.195,24
2006-07-17,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.565,23.72,27.92,25.02,24
2006-07-18,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,27.47791667,26.32,28.09,27.47,24
2006-07-19,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,26.57625,25.28,27.56,26.755,24
2006-07-20,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,26.405,25.97,26.84,26.405,24
2006-07-21,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,26.3825,26.14,26.84,26.32,24
2006-07-22,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.52958333,23.72,26.49,25.79,24
2006-07-23,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,23.82083333,23.38,24.24,23.72,24
2006-07-24,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,23.71666667,23.04,24.41,23.55,24
2006-07-25,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,24.30875,23.72,24.93,24.15,24
2006-07-26,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.08,24.41,26.14,24.76,24
2006-07-27,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,26.09833333,25.62,26.67,25.97,24
2006-07-28,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,26.26583333,25.97,26.67,26.14,24
2006-07-29,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.96791667,25.45,26.32,25.97,24
2006-07-30,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.82333333,25.45,26.32,25.79,24
2006-07-31,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.47833333,24.93,26.14,25.365,24
2006-08-01,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,26.24416667,25.79,27.02,26.14,24
2006-08-02,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,26.85333333,26.32,27.38,26.755,24
2006-08-03,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,26.79833333,26.49,27.2,26.84,24
2006-08-04,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,26.25166667,25.62,26.84,26.23,24
2006-08-05,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.9025,25.62,26.49,25.88,24
2006-08-06,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.50083333,24.93,26.14,25.45,24
2006-08-07,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.78708333,25.45,26.49,25.79,24
2006-08-08,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.59958333,25.28,25.97,25.62,24
2006-08-09,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.03916667,24.58,25.62,25.02,24
2006-08-10,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,24.83083333,24.41,25.28,24.76,24
2006-08-11,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,24.12083333,23.72,24.58,24.06,24
2006-08-12,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,23.18166667,22.87,23.72,23.21,24
2006-08-13,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,22.44833333,22.21,22.71,22.37,24
2006-08-14,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,22.40041667,21.87,23.04,22.29,24
2006-08-15,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,22.8175,22.71,23.04,22.87,24
2006-08-16,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,22.88916667,22.37,23.38,22.79,24
2006-08-17,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,22.75083333,22.04,23.55,22.625,24
2006-08-18,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,22.69416667,22.21,23.38,22.455,24
2006-08-19,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,23.11083333,22.87,23.38,23.04,24
2006-08-20,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,22.8675,22.71,23.21,22.87,24
2006-08-21,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,22.33791667,22.04,22.54,22.37,24
2006-08-22,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,22.40041667,21.87,23.21,22.125,24
2006-08-23,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,22.67291667,22.37,22.87,22.71,24
2006-08-24,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,22.03916667,21.87,22.37,22.04,24
2006-08-25,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,21.51916667,21.21,21.71,21.54,24
2006-08-26,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,21.35375,21.04,21.71,21.29,24
2006-08-27,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,20.91375,20.39,21.37,20.88,24
2006-08-28,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,20.39041667,20.07,20.72,20.39,24
2006-08-29,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,20.25,20.07,20.39,20.23,24
2006-08-30,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,20.30333333,20.07,20.55,20.23,24
2006-08-31,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,20.25,20.07,20.55,20.23,24
2006-09-01,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,20.07583333,19.74,20.55,20.07,24
2006-09-02,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,19.2425,18.77,19.74,19.26,24
2006-09-03,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,18.61,18.29,18.77,18.61,24
2006-09-04,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,18.71666667,18.45,18.93,18.77,24
2006-09-05,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,18.78333333,18.45,19.09,18.77,24
2006-09-06,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,18.97291667,18.61,19.26,18.93,24
2006-09-07,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,19.43791667,18.61,20.72,19.09,24
2006-09-08,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,19.81666667,18.93,20.72,19.905,24
2006-09-09,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,20.39125,19.91,21.04,20.39,24
2006-09-10,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,20.04958333,19.74,20.39,20.07,24
2006-09-11,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,18.91791667,18.61,19.58,18.93,24
2006-09-12,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,18.78583333,18.13,19.58,18.69,24
2006-09-13,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,18.61,18.45,18.93,18.61,24
2006-09-14,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,18.27666667,18.13,18.45,18.29,24
2006-09-15,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,18.22333333,18.13,18.45,18.13,24
2006-09-16,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,18.46333333,18.13,18.93,18.45,24
2006-09-17,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,18.80583333,18.29,19.42,18.77,24
2007-06-30,20.76666667,19.83,20.97,20.97,24,21.23125,20.96,21.63,21.21,24,22.23625,21.83,22.66,22.245,24,21.79083333,21.51,22.67,21.84,24
2007-07-01,20.45291667,19.99,20.81,20.48,24,20.78125,20.31,20.96,20.79,24,21.38958333,20.67,21.83,21.49,24,21.0775,20.68,21.51,21.01,24
2007-07-02,19.89666667,19.34,20.16,19.99,24,20.06875,19.82,20.31,20.14,24,20.38791667,20.02,20.67,20.42,24,20.09666667,19.87,20.51,20.03,24
2007-07-03,19.66708333,19.18,20.16,19.75,24,19.88083333,19.5,20.31,19.98,24,20.33041667,19.69,20.99,20.42,24,20.16458333,19.38,20.84,20.19,24
2007-07-04,20.01333333,19.67,20.64,19.83,24,20.24541667,19.82,20.79,20.31,24,20.33458333,20.02,20.83,20.34,24,20.04958333,19.54,20.51,20.03,24
2007-07-05,19.74333333,19.51,19.99,19.67,24,20.38291667,19.66,21.13,20.31,24,20.40166667,18.72,21.49,20.425,24,20.47166667,19.87,21.17,20.595,24
2007-07-06,19.9525,19.67,20.32,19.99,24,20.63083333,20.31,20.96,20.63,24,21.32583333,20.99,21.83,21.33,24,21.23666667,20.84,21.67,21.255,24
2007-07-07,19.76375,19.51,20.16,19.75,24,20.61916667,20.14,21.13,20.63,24,21.42958333,20.99,21.99,21.49,24,21.36125,20.84,21.84,21.34,24
2007-07-08,20.22958333,19.83,20.64,20.32,24,20.81708333,20.47,21.29,20.875,24,21.6325,20.99,22.33,21.745,24,21.40875,20.68,21.84,21.34,24
2007-07-09,20.42666667,20.16,20.64,20.48,24,20.82041667,20.63,20.96,20.79,24,20.72583333,19.21,21.66,20.83,24,20.51958333,20.35,20.68,20.51,24
2007-07-10,21.31833333,20.16,23.14,20.885,24,21.0975,20.31,22.29,20.96,24,20.57791667,20.02,20.99,20.5,24,20.6925,20.35,21.34,20.68,24
2007-07-11,22.28291667,20.64,23.48,22.215,24,21.07125,20.47,21.63,21.13,24,20.03208333,19.37,20.67,20.02,24,21.625,21.01,22.34,21.51,24
2007-07-12,21.00416667,20.64,21.47,20.97,24,21.04541667,20.47,21.63,21.13,24,21.15,20.5,21.83,20.99,24,22.22166667,21.67,22.67,22.17,24
2007-07-13,21.18875,20.97,21.63,21.13,24,21.45333333,20.79,22.29,21.46,24,21.80583333,21.16,22.66,21.66,24,22.40166667,21.84,22.84,22.51,24
2007-07-14,21.41791667,20.97,22.13,21.3,24,21.7025,20.96,22.63,21.625,24,22.02083333,21.49,22.66,21.99,24,22.57625,22.01,23.01,22.67,24
2007-07-15,21.47458333,21.3,21.63,21.47,24,21.68833333,20.96,22.29,21.79,24,20.82541667,18.88,21.66,21.49,24,22.64375,22.34,22.84,22.67,24
2007-07-16,21.45208333,21.13,21.63,21.47,24,21.62,20.96,22.29,21.63,24,21.93083333,21.16,22.66,21.91,24,22.81166667,22.17,23.34,22.755,24
2007-07-17,21.82625,21.3,22.3,22.13,24,22.1,21.63,22.96,22.045,24,22.70375,21.99,23.51,22.66,24,22.95375,22.17,23.68,22.755,24
2007-07-18,21.94666667,21.8,22.13,21.97,24,22.51583333,22.13,22.79,22.545,24,22.34,21.16,23.16,22.575,24,23.0275,22.51,23.68,23.17,24
2007-07-19,21.71708333,21.13,21.97,21.8,24,21.81958333,21.63,21.96,21.79,24,21.36791667,20.67,21.66,21.49,24,22.29166667,21.84,22.67,22.34,24
2007-07-20,21.59208333,20.81,21.97,21.63,24,21.89083333,21.29,22.63,21.79,24,21.65375,20.67,22.66,21.575,24,22.33208333,21.67,23.01,22.425,24
2007-07-21,21.3625,20.97,21.63,21.47,24,21.37791667,20.96,21.63,21.46,24,21.97958333,21.66,22.33,21.99,24,22.38875,22.01,22.67,22.425,24
2007-07-22,21.83375,21.13,22.63,21.715,24,21.61291667,21.13,22.46,21.46,24,21.95166667,21.33,22.83,21.745,24,22.14541667,21.84,22.67,22.17,24
2007-07-23,22.11958333,21.8,22.47,22.13,24,21.8625,21.63,22.13,21.79,24,21.4375,21.16,21.66,21.49,24,21.90333333,21.34,22.17,22.01,24
2007-07-24,21.9675,21.47,23.14,21.8,24,21.93333333,21.46,23.13,21.71,24,21.53375,20.99,22.33,21.49,24,22.04791667,21.17,23.34,21.755,24
2007-07-25,21.70416667,21.3,21.97,21.8,24,22.10583333,21.29,23.13,22.045,24,22.595,21.66,23.51,22.575,24,23.49,22.84,24.21,23.34,24
2007-07-26,22.3425,21.63,23.31,22.215,24,22.92291667,22.46,24.68,22.79,24,23.39583333,22.66,24.37,23.245,24,24.35708333,23.68,25.59,24.21,24
2007-07-27,23.54208333,22.47,25.21,22.975,24,23.88916667,22.79,24.86,24.07,24,23.27375,21.99,24.37,23.16,24,25.3425,24.55,26.28,25.24,24
2007-07-28,23.74833333,22.97,24.34,23.66,24,22.9625,22.29,24.33,22.96,24,22.15958333,21.33,22.66,22.16,24,25.4675,25.24,25.93,25.42,24
2007-07-29,23.95041667,23.66,24.34,23.915,24,23.04583333,22.46,23.47,22.96,24,23.14958333,22.33,24.19,22.91,24,24.68125,22.84,25.42,24.89,24
2007-07-30,24.64,24,25.56,24.34,24,23.90166667,23.3,24.86,23.81,24,23.96666667,23.51,24.72,23.85,24,24.47,23.68,25.07,24.465,24
2007-07-31,24.8525,24.52,25.21,24.87,24,24.12166667,23.64,24.68,24.07,24,24.3425,23.68,25.07,24.28,24,24.86625,24.38,25.59,24.72,24
2007-08-01,24.83791667,24.52,25.21,24.87,24,24.60958333,24.16,25.03,24.68,24,25.24541667,24.54,26.11,25.155,24,25.08291667,24.21,25.93,24.89,24
2007-08-02,25.08916667,24.69,25.56,25.04,24,25.225,24.86,25.72,25.285,24,26.035,25.24,26.82,25.935,24,25.38,24.21,26.64,25.07,24
2007-08-03,25.31833333,24.52,25.73,25.38,24,26.23166667,25.55,26.95,26.335,24,26.24291667,24.72,27.35,26.11,24,26.60125,25.93,27.17,26.46,24
2007-08-04,24.56875,24,25.04,24.52,24,25.86625,25.37,26.42,25.89,24,25.82958333,24.37,26.64,26.11,24,26.85791667,26.46,27.17,26.81,24
2007-08-05,24.5325,24.17,25.04,24.52,24,24.78458333,24.33,25.2,24.86,24,25.5175,25.07,25.93,25.42,24,25.25083333,24.03,26.46,25.42,24
2007-08-06,24.17125,24,24.52,24.17,24,24.44875,24.33,24.68,24.51,24,24.6075,24.37,24.89,24.54,24,24.38666667,24.03,25.07,24.21,24
2007-08-07,24.15,23.83,24.69,24.17,24,24.5575,24.16,25.55,24.42,24,24.615,24.19,25.24,24.54,24,24.60166667,23.86,25.76,24.38,24
2007-08-08,24.09916667,23.66,24.34,24.17,24,24.56541667,23.98,25.37,24.595,24,24.035,21.99,25.07,24.28,24,24.92291667,24.55,25.42,24.89,24
2007-08-09,23.79791667,23.14,24.52,23.915,24,23.69708333,23.13,24.16,23.81,24,24.21083333,23.68,24.89,24.19,24,24.58625,24.21,25.07,24.55,24
2007-08-10,23.8925,23.48,24.34,23.915,24,23.64708333,23.47,23.98,23.64,24,23.75708333,23.16,24.19,23.68,24,24.01625,23.68,24.72,24.03,24
