year,month,coffin.mean,coffin.min,coffin.max,coffin.median,coffin.obs,fichter.mean,fichter.min,fichter.max,fichter.median,fichter.obs,newbury.mean,newbury.min,newbury.max,newbury.median,newbury.obs,midge.mean,midge.min,midge.max,midge.median,midge.obs,totalobs
2006,7,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,438,744
2006,8,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,23.307083333333335,20.07,27.38,22.87,744,744
2006,9,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,408,720
2007,6,NA,NA,NA,NA,24,NA,NA,NA,NA,24,NA,NA,NA,NA,24,NA,NA,NA,NA,24,720
2007,7,21.594516129032257,19.18,25.56,21.47,744,21.677016129032257,19.5,24.86,21.63,744,21.746827956989247,18.72,25.07,21.66,744,22.35883064516129,19.38,26.28,22.17,744,744
2007,8,22.910591397849462,20.32,25.73,22.97,744,23.180497311827956,20.31,26.95,23.3,744,23.385725806451614,20.34,27.35,23.51,744,23.54092741935484,20.51,27.17,23.68,744,744
2007,9,NA,NA,NA,NA,465,NA,NA,NA,NA,465,NA,NA,NA,NA,465,NA,NA,NA,NA,465,720
2008,6,NA,NA,NA,NA,320,NA,NA,NA,NA,317,NA,NA,NA,NA,323,NA,NA,NA,NA,274,720
2008,7,23.034166666666668,20.16,24.69,23.31,744,23.045241935483872,20.47,25.37,22.96,744,22.78649193548387,18.39,25.59,22.99,744,24.13965053763441,21.84,26.64,24.03,744,744
2008,8,21.942096774193548,19.99,24.34,21.8,744,21.867298387096774,20.47,24.16,21.63,744,21.788333333333334,19.21,24.54,21.66,744,22.525026881720432,20.84,25.24,22.34,744,744
2008,9,NA,NA,NA,NA,384,NA,NA,NA,NA,384,NA,NA,NA,NA,384,NA,NA,NA,NA,384,720
2009,5,NA,NA,NA,NA,249,NA,NA,NA,NA,249,NA,NA,NA,NA,249,NA,NA,NA,NA,249,744
2009,6,17.466347222222222,10.69,21.47,17.41,720,17.396638888888887,13.32,21.29,17.24,720,17.08502777777778,13.49,21.66,17.11,720,17.653944444444445,14.43,22.51,17.44,720,720
2009,7,20.559986559139784,16.13,23.48,20.48,744,20.455174731182794,18.04,23.64,20.47,744,19.788467741935484,15.52,22.66,20.02,744,21.38978494623656,19.06,24.72,21.34,744,744
2009,8,23.116774193548387,20.81,25.38,22.97,744,23.20193548387097,20.63,26.42,22.96,744,23.037916666666668,18.56,26.29,22.99,744,23.819166666666668,21.34,26.81,23.68,744,744
2009,9,NA,NA,NA,NA,490,NA,NA,NA,NA,490,NA,NA,NA,NA,490,NA,NA,NA,NA,490,720
2010,5,NA,NA,NA,NA,106,NA,NA,NA,NA,106,NA,NA,NA,NA,106,NA,NA,NA,NA,106,744
2010,6,19.19751388888889,13.78,22.3,18.86,720,19.48748611111111,16.77,22.46,19.82,720,19.585652777777778,13.49,23.51,19.69,720,20.21472222222222,17.61,23.52,20.270000000000003,720,720
2010,7,23.98831989247312,19.83,27.32,24.34,744,23.78130376344086,20.14,25.89,24.16,744,23.9215188172043,20.67,26.82,24.02,744,24.711505376344086,20.84,27.17,25.07,744,744
2010,8,22.80858870967742,19.99,25.04,23.14,744,22.82106182795699,20.31,24.68,23.13,744,23.096411290322582,20.5,25.93,23.16,744,23.39842741935484,21.01,25.59,23.86,744,744
2010,9,NA,NA,NA,NA,514,NA,NA,NA,NA,514,NA,NA,NA,NA,514,NA,NA,NA,NA,514,720
2011,6,18.30912917271408,11,21.97,18.54,689,18.237953555878086,14.87,21.63,18.37,689,17.851161103047897,13.8,22,17.92,689,19.03143686502177,13.82,23.01,19.07,689,720
2011,7,23.232352150537633,19.35,25.56,23.32,744,23.65587365591398,19.83,26.25,23.82,744,24.03698924731183,20.18,27.36,24.2,744,24.100215053763442,20.68,26.82,24.38,744,744
2011,8,22.924166666666665,20,25.56,22.81,744,22.799448924731184,20.31,25.21,22.8,744,22.692836021505375,18.4,25.42,22.83,744,23.43861559139785,20.36,25.59,23.52,744,744
2011,9,NA,NA,NA,NA,509,NA,NA,NA,NA,511,NA,NA,NA,NA,510,NA,NA,NA,NA,513,720
2012,5,NA,NA,NA,NA,179,NA,NA,NA,NA,179,NA,NA,NA,NA,179,NA,NA,NA,NA,179,744
2012,6,19.650819444444444,15.98,23.14,19.83,720,19.302833333333332,15.18,23.64,18.86,720,19.198,11.16,24.72,18.56,720,20.039916666666667,14.91,24.89,20.03,720,720
2012,7,23.280470430107528,20.48,25.56,23.31,744,23.72565860215054,21.63,26.25,23.64,744,24.031586021505376,22.16,26.11,23.85,744,24.190456989247313,21.84,26.46,24.03,744,744
2012,8,24.14393817204301,21.97,25.91,24.17,744,24.042163978494624,22.13,25.55,24.16,744,24.09595430107527,22.16,25.76,24.19,744,24.790712365591396,22.84,26.46,24.89,744,744
2012,9,20.444628751974722,17.41,23.31,20.48,633,20.194518167456557,17.24,23.13,20.31,633,20.115387045813584,17.11,23.51,20.02,633,20.924123222748815,17.93,23.86,21.01,633,720
2013,5,NA,NA,NA,NA,36,NA,NA,NA,NA,200,NA,NA,NA,NA,200,NA,NA,NA,NA,200,744
2013,6,17.81463888888889,14.26,22.64,17.09,720,17.77340277777778,13.95,22.65,16.95,720,17.746666666666666,12.25,23.68,17.43,720,18.870819444444447,15.62,23.61,17.85,720,720
2013,7,24.24440860215054,21.64,26.09,24.52,744,24.1340188172043,19.52,27.33,24.01,744,24.17595430107527,17.27,28.62,24.02,744,24.93212365591398,21.93,27.81,24.99,744,744
2013,8,22.089932795698925,20.49,24.52,21.98,744,22.232809139784948,20.66,24.36,22.15,744,22.527110215053764,20.83,24.54,22.49,744,22.622540322580644,21.09,24.47,22.59,744,744
2013,9,NA,NA,NA,NA,417,NA,NA,NA,NA,417,NA,NA,NA,NA,417,20.38211965811966,16.73,23.78,20.11,585,720
2014,5,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,57,744
2014,6,18.928045977011493,15.04,22.81,18.54,609,18.767142857142858,15.53,23.15,19.04,609,18.39448275862069,13.18,22.99,19.04,609,19.025458333333333,13.43,24.47,18.82,720,720
2014,7,22.875712365591397,19.19,25.39,23.14,744,23.015443548387097,20.99,25.39,22.98,744,22.397647849462366,18.72,25.24,22.49,744,23.767016129032257,20.93,26.22,23.95,744,744
2014,8,22.117486559139785,18.71,25.04,21.98,744,21.954301075268816,19.85,24.53,21.98,744,21.754193548387097,17.75,24.54,21.99,744,22.372284946236558,20.43,24.64,22.26,744,744
2014,9,NA,NA,NA,NA,394,NA,NA,NA,NA,395,19.823504273504273,16.47,23.68,19.21,585,20.437623931623932,17.05,24.47,20.11,585,720
2015,6,18.923316993464052,15.83,22.48,19.19,612,18.67704248366013,14.89,21.98,19.04,612,18.21779411764706,13.49,21.99,18.56,612,19.33467320261438,15.98,21.97,19.67,612,720
2015,7,22.45733870967742,19.52,25.22,22.725,744,22.39013440860215,19.36,25.74,22.65,744,22.282943548387095,16.31,25.93,22.33,744,23.07728494623656,19.83,25.91,23.14,744,744
2015,8,23.805416666666666,22.31,25.92,23.66,744,23.714341397849463,22.48,26.79,23.66,744,23.880094086021504,22.66,26.11,23.85,744,24.38111559139785,22.97,26.61,24.34,744,744
2015,9,22.531657754010695,19.68,24.69,22.81,561,22.69301247771836,19.85,25.39,22.98,561,22.727183600713012,19.21,25.24,22.99,561,23.05121212121212,20.48,25.56,23.31,561,720
2016,5,NA,NA,NA,NA,0,NA,NA,NA,NA,6,NA,NA,NA,NA,6,NA,NA,NA,NA,6,744
2016,6,18.630106382978724,11.47,23.32,18.87,658,18.591305555555554,14.89,22.15,18.56,720,18.320791666666665,11.63,22.83,18.56,720,19.63786111111111,15.03,24,20.32,720,720
2016,7,22.834798387096775,18.71,25.22,22.98,744,22.855860215053763,19.85,25.39,23.15,744,23.08255376344086,19.21,26.29,23.33,744,23.716155913978493,21.47,25.56,24,744,744
2016,8,23.69255376344086,22.14,25.04,23.83,744,23.77135752688172,22.32,25.74,23.83,744,23.905470430107528,21.99,26.46,23.85,744,24.407150537634408,22.81,26.43,24.34,744,744
2016,9,21.537443267776098,18.71,23.83,21.64,661,21.50732223903177,18.72,23.49,21.82,661,21.520756429652042,18.39,23.85,21.83,661,21.877579425113463,18.86,24,22.13,661,720
