year,week,coffin.mean,coffin.min,coffin.max,coffin.median,coffin.obs,fichter.mean,fichter.min,fichter.max,fichter.median,fichter.obs,newbury.mean,newbury.min,newbury.max,newbury.median,newbury.obs,midge.mean,midge.min,midge.max,midge.median,midge.obs
2006,28,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,54
2006,29,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,26.171488095238097,23.72,28.09,26.32,168
2006,30,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.03690476190476,23.04,26.67,24.93,168
2006,31,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,26.19309523809524,24.93,27.38,26.14,168
2006,32,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,24.865714285714287,22.87,26.49,25.11,168
2006,33,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,22.73017857142857,21.87,23.55,22.71,168
2006,34,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,22.170119047619046,21.04,23.21,22.21,168
2006,35,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,20.203690476190477,18.77,21.37,20.23,168
2006,36,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,19.246964285714284,18.29,21.04,18.93,168
2006,37,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,18.760952380952382,18.13,20.39,18.61,168
2006,38,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,24
2007,26,NA,NA,NA,NA,48,NA,NA,NA,NA,48,NA,NA,NA,NA,48,NA,NA,NA,NA,48
2007,27,19.89517857142857,19.18,20.64,19.83,168,20.377857142857142,19.5,21.29,20.31,168,20.834642857142857,18.72,22.33,20.83,168,20.684166666666666,19.38,21.84,20.68,168
2007,28,21.301904761904762,20.16,23.48,21.13,168,21.268392857142857,20.31,22.63,21.13,168,21.01970238095238,18.88,22.66,20.99,168,21.811488095238097,20.35,23.01,22.01,168
2007,29,21.675773809523808,20.81,22.63,21.63,168,21.848154761904762,20.96,22.96,21.79,168,21.989642857142858,20.67,23.51,21.99,168,22.56440476190476,21.67,23.68,22.51,168
2007,30,22.76779761904762,21.3,25.21,22.47,168,22.674583333333334,21.29,24.86,22.79,168,22.50642857142857,20.99,24.37,22.49,168,23.898511904761904,21.17,26.28,24.12,168
2007,31,24.83416666666667,24,25.73,24.87,168,24.962916666666665,23.3,26.95,24.86,168,25.31136904761905,23.51,27.35,25.42,168,25.501309523809525,23.68,27.17,25.42,168
2007,32,23.848035714285714,22.97,24.69,24,168,23.94125,22.79,25.55,23.98,168,24.031845238095237,21.99,25.24,24.02,168,24.351845238095237,23.34,25.76,24.21,168
2007,33,22.680892857142858,21.13,23.83,22.81,168,23.022559523809523,21.46,24.51,23.13,168,23.307261904761905,21.49,24.54,23.51,168,23.39702380952381,21.67,24.72,23.52,168
2007,34,21.037142857142857,20.32,22.13,20.97,168,21.392916666666665,20.31,23.3,21.29,168,21.375595238095237,20.34,22.99,21.33,168,21.683988095238096,20.51,23.52,21.51,168
