date,WindDir_deg_mean,AveWindDir_deg_mean,MaxWindDir_deg_mean,WindDir_deg_median,AveWindDir_deg_median,MaxWindDir_deg_median,WindDir_deg_min,AveWindDir_deg_min,MaxWindDir_deg_min,WindDir_deg_max,AveWindDir_deg_max,MaxWindDir_deg_max,WindDir_deg_sd,AveWindDir_deg_sd,MaxWindDir_deg_sd,year
2007-08-27,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-08-28,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-08-29,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-08-30,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-08-31,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-01,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-02,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-03,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-04,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-05,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-06,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-07,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-08,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-09,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-10,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-11,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-12,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-13,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-14,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-15,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-16,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-17,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-18,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-19,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-20,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-21,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-22,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-23,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-24,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-25,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-26,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-27,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-28,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-29,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-09-30,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-10-01,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-10-02,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-10-03,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-10-04,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-10-05,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-10-06,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-10-07,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-10-08,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
2007-10-09,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,2007
