date,WindSp_ms_mean,AveWindSp_ms_mean,MaxWindSp_ms_mean,WindSp_ms_median,AveWindSp_ms_median,MaxWindSp_ms_median,WindSp_ms_min,AveWindSp_ms_min,MaxWindSp_ms_min,WindSp_ms_max,AveWindSp_ms_max,MaxWindSp_ms_max,WindSp_ms_sd,AveWindSp_ms_sd,MaxWindSp_ms_sd,WindSp_ms_cv,AveWindSp_ms_cv,MaxWindSp_ms_cv,year
2007-08-27,1.783333333,NA,NA,1.7,NA,NA,1.5,NA,NA,2.3,NA,NA,0.285773803,NA,NA,0.160246993,NA,NA,2007
2007-08-28,1.645138889,NA,NA,1.6,NA,NA,0.1,NA,NA,3.8,NA,NA,0.939411351,NA,NA,0.571022518,NA,NA,2007
2007-08-29,2.424305556,NA,NA,2.3,NA,NA,0.6,NA,NA,5.3,NA,NA,1.037967792,NA,NA,0.428150564,NA,NA,2007
2007-08-30,2.264583333,NA,NA,1.8,NA,NA,0.3,NA,NA,10.3,NA,NA,1.552055652,NA,NA,0.685360362,NA,NA,2007
2007-08-31,3.097222222,NA,NA,2.9,NA,NA,0.3,NA,NA,7.7,NA,NA,1.391178222,NA,NA,0.44916965,NA,NA,2007
2007-09-01,4.371527778,NA,NA,4.3,NA,NA,0.3,NA,NA,9.6,NA,NA,1.956007894,NA,NA,0.447442632,NA,NA,2007
2007-09-02,2.727083333,NA,NA,2.8,NA,NA,0.6,NA,NA,5,NA,NA,0.986710205,NA,NA,0.361818868,NA,NA,2007
2007-09-03,4.417361111,NA,NA,4.3,NA,NA,0.9,NA,NA,10,NA,NA,1.830828841,NA,NA,0.414462118,NA,NA,2007
2007-09-04,3.659027778,NA,NA,3.3,NA,NA,0.5,NA,NA,9.6,NA,NA,1.88198724,NA,NA,0.514340791,NA,NA,2007
2007-09-05,2.685416667,NA,NA,2.5,NA,NA,0.2,NA,NA,5.7,NA,NA,1.280568534,NA,NA,0.476860276,NA,NA,2007
2007-09-06,3.117361111,NA,NA,3,NA,NA,0.6,NA,NA,6.8,NA,NA,1.352507635,NA,NA,0.433862997,NA,NA,2007
2007-09-07,4.332638889,NA,NA,4,NA,NA,1.6,NA,NA,10.1,NA,NA,1.529378038,NA,NA,0.352989962,NA,NA,2007
2007-09-08,3.669444444,NA,NA,3.75,NA,NA,0.3,NA,NA,7.8,NA,NA,1.828877824,NA,NA,0.49840728,NA,NA,2007
2007-09-09,3.004166667,NA,NA,2.9,NA,NA,0.3,NA,NA,6.7,NA,NA,1.379463512,NA,NA,0.459183416,NA,NA,2007
2007-09-10,2.24375,NA,NA,2.35,NA,NA,0.3,NA,NA,3.7,NA,NA,0.658640128,NA,NA,0.293544347,NA,NA,2007
2007-09-11,3.588888889,NA,NA,3.5,NA,NA,0.6,NA,NA,6.6,NA,NA,1.055330201,NA,NA,0.294054855,NA,NA,2007
2007-09-12,4.870138889,NA,NA,4.55,NA,NA,1,NA,NA,10.5,NA,NA,2.147370481,NA,NA,0.440925922,NA,NA,2007
2007-09-13,2.198611111,NA,NA,2,NA,NA,0.3,NA,NA,5.3,NA,NA,1.081308849,NA,NA,0.491814511,NA,NA,2007
2007-09-14,3.99375,NA,NA,3.7,NA,NA,0.8,NA,NA,9.4,NA,NA,1.996052704,NA,NA,0.499794104,NA,NA,2007
2007-09-15,4.588194444,NA,NA,4.3,NA,NA,0.6,NA,NA,11.4,NA,NA,1.71274517,NA,NA,0.373293937,NA,NA,2007
2007-09-16,2.684722222,NA,NA,2.55,NA,NA,0.2,NA,NA,6.5,NA,NA,1.373134816,NA,NA,0.511462528,NA,NA,2007
2007-09-17,1.771527778,NA,NA,1.75,NA,NA,0.2,NA,NA,3.9,NA,NA,0.870950224,NA,NA,0.491637916,NA,NA,2007
2007-09-18,2.154861111,NA,NA,2.1,NA,NA,0.2,NA,NA,4.9,NA,NA,1.000617282,NA,NA,0.464353492,NA,NA,2007
2007-09-19,1.435416667,NA,NA,1.35,NA,NA,0.2,NA,NA,3.2,NA,NA,0.776982576,NA,NA,0.541294102,NA,NA,2007
2007-09-20,2.26875,NA,NA,2.3,NA,NA,0.2,NA,NA,4.8,NA,NA,1.127313084,NA,NA,0.49688731,NA,NA,2007
2007-09-21,1.569444444,NA,NA,1.5,NA,NA,0.1,NA,NA,3.5,NA,NA,0.794234273,NA,NA,0.506060776,NA,NA,2007
2007-09-22,3.264583333,NA,NA,3.05,NA,NA,0.1,NA,NA,8.3,NA,NA,1.720118257,NA,NA,0.526902848,NA,NA,2007
2007-09-23,4.354166667,NA,NA,4,NA,NA,1.3,NA,NA,8.6,NA,NA,1.63949826,NA,NA,0.376535486,NA,NA,2007
2007-09-24,3.869444444,NA,NA,3.8,NA,NA,0.2,NA,NA,7.6,NA,NA,1.42913137,NA,NA,0.369337612,NA,NA,2007
2007-09-25,3.834722222,NA,NA,3.65,NA,NA,0.4,NA,NA,6.9,NA,NA,1.50608646,NA,NA,0.392749819,NA,NA,2007
2007-09-26,3.477777778,NA,NA,3.15,NA,NA,0.2,NA,NA,9,NA,NA,2.090151547,NA,NA,0.601002042,NA,NA,2007
2007-09-27,2.139583333,NA,NA,2,NA,NA,0.2,NA,NA,6.4,NA,NA,1.341860662,NA,NA,0.627159803,NA,NA,2007
2007-09-28,3.483333333,NA,NA,3.5,NA,NA,0.3,NA,NA,6.7,NA,NA,1.410896655,NA,NA,0.405042102,NA,NA,2007
2007-09-29,4.313888889,NA,NA,4.2,NA,NA,0.7,NA,NA,8.3,NA,NA,1.982391404,NA,NA,0.459536964,NA,NA,2007
2007-09-30,2.458333333,NA,NA,2.5,NA,NA,0.4,NA,NA,4.9,NA,NA,0.97302786,NA,NA,0.395807943,NA,NA,2007
2007-10-01,3.211805556,NA,NA,3.1,NA,NA,0.4,NA,NA,7.1,NA,NA,1.791022544,NA,NA,0.557637289,NA,NA,2007
2007-10-02,2.669444444,NA,NA,2.6,NA,NA,0.2,NA,NA,5.9,NA,NA,1.256940329,NA,NA,0.470862142,NA,NA,2007
2007-10-03,2.432098765,NA,NA,2.1,NA,NA,0.1,NA,NA,7.2,NA,NA,1.479934725,NA,NA,0.60850108,NA,NA,2007
2007-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
2007-10-05,2.192783505,NA,NA,2,NA,NA,0.4,NA,NA,5.5,NA,NA,1.364753291,NA,NA,0.622383965,NA,NA,2007
2007-10-06,1.722222222,NA,NA,1.6,NA,NA,0.3,NA,NA,4.9,NA,NA,0.964506065,NA,NA,0.56003578,NA,NA,2007
2007-10-07,3.852777778,NA,NA,3.9,NA,NA,0.4,NA,NA,7.7,NA,NA,1.564418364,NA,NA,0.406049467,NA,NA,2007
2007-10-08,3.017361111,NA,NA,2.5,NA,NA,0.2,NA,NA,9.1,NA,NA,2.010925747,NA,NA,0.666451801,NA,NA,2007
2007-10-09,3.636805556,NA,NA,3.7,NA,NA,0.2,NA,NA,7.5,NA,NA,1.684679901,NA,NA,0.463230677,NA,NA,2007
2007-10-10,3.031944444,NA,NA,3,NA,NA,1.1,NA,NA,5.1,NA,NA,0.748112102,NA,NA,0.246743341,NA,NA,2007
2007-10-11,4.19375,NA,NA,4.1,NA,NA,0.9,NA,NA,11.3,NA,NA,1.793859719,NA,NA,0.427745984,NA,NA,2007
2007-10-12,6.241666667,NA,NA,5.7,NA,NA,3,NA,NA,11.8,NA,NA,2.010166468,NA,NA,0.322056043,NA,NA,2007
2007-10-13,4.553472222,NA,NA,4.3,NA,NA,1.3,NA,NA,8.7,NA,NA,1.405529201,NA,NA,0.308671961,NA,NA,2007
