date,WindSp_ms_mean_ALL_InstFilterInstMax,WindSp_ms_mean_ALL_InstFilterAveMax,WindSp_ms_mean_ALL_AveFilterInstMax,WindSp_ms_mean_ALL_AveFilterAveMax,WindSp_ms_median_ALL_InstFilterInstMax,WindSp_ms_median_ALL_InstFilterAveMax,WindSp_ms_median_ALL_AveFilterInstMax,WindSp_ms_median_ALL_AveFilterAveMax,WindSp_ms_mean_07_08,WindSp_ms_median_07_08,WindSp_ms_min_07_08,WindSp_ms_max_07_08,WindSp_ms_sd_07_08,WindSp_ms_cv_07_08,WindDir_deg_mean.x_09_15,WindSp_ms_mean.x,AveWindSp_ms_mean.x,MaxWindSp_ms_mean.x,WindDir_deg_median.x,WindSp_ms_median.x,AveWindSp_ms_median.x,MaxWindSp_ms_median.x,WindDir_deg_min.x,WindSp_ms_min.x,AveWindSp_ms_min.x,MaxWindSp_ms_min.x,WindDir_deg_max.x,WindSp_ms_max.x,AveWindSp_ms_max.x,MaxWindSp_ms_max.x,WindDir_deg_sd.x,WindSp_ms_sd.x,AveWindSp_ms_sd.x,MaxWindSp_ms_sd.x,WindSp_ms_cv.x,AveWindSp_ms_cv.x,MaxWindSp_ms_cv.x,AveWindDir_deg_mean.y,WindSp_ms_mean.y,AveWindSp_ms_mean.y,MaxWindSp_ms_mean.y,AveWindDir_deg_median.y,WindSp_ms_median.y,AveWindSp_ms_median.y,MaxWindSp_ms_median.y,AveWindDir_deg_min.y,WindSp_ms_min.y,AveWindSp_ms_min.y,MaxWindSp_ms_min.y,AveWindDir_deg_max.y,WindSp_ms_max.y,AveWindSp_ms_max.y,MaxWindSp_ms_max.y,AveWindDir_deg_sd.y,WindSp_ms_sd.y,AveWindSp_ms_sd.y,MaxWindSp_ms_sd.y,WindSp_ms_cv.y,AveWindSp_ms_cv.y,MaxWindSp_ms_cv.y
2007-08-27,1.783333333,1.783333333,1.783333333,1.783333333,1.7,1.7,1.7,1.7,1.783333333,1.7,1.5,2.3,0.285773803,0.160246993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-28,1.645138889,1.645138889,1.645138889,1.645138889,1.6,1.6,1.6,1.6,1.645138889,1.6,0.1,3.8,0.939411351,0.571022518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-29,2.424305556,2.424305556,2.424305556,2.424305556,2.3,2.3,2.3,2.3,2.424305556,2.3,0.6,5.3,1.037967792,0.428150564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-30,2.264583333,2.264583333,2.264583333,2.264583333,1.8,1.8,1.8,1.8,2.264583333,1.8,0.3,10.3,1.552055652,0.685360362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-31,3.097222222,3.097222222,3.097222222,3.097222222,2.9,2.9,2.9,2.9,3.097222222,2.9,0.3,7.7,1.391178222,0.44916965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,4.371527778,4.371527778,4.371527778,4.371527778,4.3,4.3,4.3,4.3,4.371527778,4.3,0.3,9.6,1.956007894,0.447442632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-02,2.727083333,2.727083333,2.727083333,2.727083333,2.8,2.8,2.8,2.8,2.727083333,2.8,0.6,5,0.986710205,0.361818868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-03,4.417361111,4.417361111,4.417361111,4.417361111,4.3,4.3,4.3,4.3,4.417361111,4.3,0.9,10,1.830828841,0.414462118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-04,3.659027778,3.659027778,3.659027778,3.659027778,3.3,3.3,3.3,3.3,3.659027778,3.3,0.5,9.6,1.88198724,0.514340791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-05,2.685416667,2.685416667,2.685416667,2.685416667,2.5,2.5,2.5,2.5,2.685416667,2.5,0.2,5.7,1.280568534,0.476860276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-06,3.117361111,3.117361111,3.117361111,3.117361111,3,3,3,3,3.117361111,3,0.6,6.8,1.352507635,0.433862997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-07,4.332638889,4.332638889,4.332638889,4.332638889,4,4,4,4,4.332638889,4,1.6,10.1,1.529378038,0.352989962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-08,3.669444444,3.669444444,3.669444444,3.669444444,3.75,3.75,3.75,3.75,3.669444444,3.75,0.3,7.8,1.828877824,0.49840728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-09,3.004166667,3.004166667,3.004166667,3.004166667,2.9,2.9,2.9,2.9,3.004166667,2.9,0.3,6.7,1.379463512,0.459183416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-10,2.24375,2.24375,2.24375,2.24375,2.35,2.35,2.35,2.35,2.24375,2.35,0.3,3.7,0.658640128,0.293544347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
