date,MaxWindSp_ms_max_ALL_InstFilterMax,ma_2,ma_3,ma_5,ma_7,ma_10,ma_14
2007-08-27,2.3,NA,NA,NA,NA,NA,NA
2007-08-28,3.8,6.1,NA,NA,NA,NA,NA
2007-08-29,5.3,9.1,11.399999999999999,NA,NA,NA,NA
2007-08-30,10.3,15.600000000000001,19.4,NA,NA,NA,NA
2007-08-31,7.7,18,23.3,29.4,NA,NA,NA
2007-09-01,9.6,17.3,27.6,36.7,NA,NA,NA
2007-09-02,5,14.6,22.3,37.9,44,NA,NA
2007-09-03,10,15,24.6,42.6,51.7,NA,NA
2007-09-04,9.6,19.6,24.6,41.9,57.5,NA,NA
2007-09-05,5.7,15.3,25.3,39.9,57.9,69.3,NA
2007-09-06,6.8,12.5,22.1,37.1,54.4,73.8,NA
2007-09-07,10.1,16.9,22.6,42.2,56.8,80.1,NA
2007-09-08,7.8,17.9,24.7,40,55,82.6,NA
2007-09-09,6.7,14.5,24.6,37.1,56.7,79,100.7
2007-09-10,3.7,10.4,18.2,35.1,50.4,75,102.1
2007-09-11,6.6,10.3,17,34.9,47.4,72,104.9
2007-09-12,10.5,17.1,20.8,35.3,52.2,77.5,110.1
2007-09-13,5.3,15.8,22.4,32.8,50.7,72.8,105.1
2007-09-14,9.4,14.7,25.2,35.5,50,72.6,106.8
2007-09-15,11.4,20.8,26.1,43.2,53.6,78.3,108.6
2007-09-16,6.5,17.9,27.3,43.1,53.4,78,110.1
2007-09-17,3.9,10.4,21.8,36.5,53.6,71.8,104
2007-09-18,4.9,8.8,15.3,36.1,51.9,68.9,99.3
2007-09-19,3.2,8.100000000000001,12,29.900000000000002,44.6,65.4,96.8
2007-09-20,4.8,8,12.9,23.3,44.1,66.5,94.8
2007-09-21,3.5,8.3,11.5,20.3,38.2,63.4,88.2
2007-09-22,8.3,11.8,16.6,24.700000000000003,35.1,61.2,88.7
2007-09-23,8.6,16.9,20.4,28.4,37.2,64.5,90.6
2007-09-24,7.6,16.2,24.5,32.8,40.9,62.7,94.5
2007-09-25,6.9,14.5,23.1,34.9,42.9,58.2,94.8
2007-09-26,9,15.9,23.5,40.4,48.7,60.7,93.3
2007-09-27,6.4,15.4,22.3,38.5,50.3,63.2,94.4
2007-09-28,6.7,13.100000000000001,22.1,36.6,53.5,65,91.7
2007-09-29,8.3,15,21.400000000000002,37.300000000000004,53.5,70.1,88.60000000000001
2007-09-30,4.9,13.200000000000001,19.900000000000002,35.300000000000004,49.800000000000004,70.2,87
2007-10-01,7.1,12,20.3,33.4,49.300000000000004,73.8,90.2
2007-10-02,5.9,13,17.9,32.9,48.300000000000004,71.4,91.2
2007-10-03,7.2,13.100000000000001,20.2,33.4,46.5,70,95.2
2007-10-04,NA,NA,NA,NA,NA,NA,NA
2007-10-05,5.5,NA,NA,NA,NA,NA,NA
2007-10-06,4.9,10.4,NA,NA,NA,NA,NA
2007-10-07,7.7,12.600000000000001,18.1,NA,NA,NA,NA
2007-10-08,9.1,16.8,21.7,NA,NA,NA,NA
2007-10-09,7.5,16.6,24.3,34.7,NA,NA,NA
2007-10-10,5.1,12.6,21.7,34.3,NA,NA,NA
2007-10-11,11.3,16.4,23.9,40.7,51.1,NA,NA
2007-10-12,11.8,23.1,28.200000000000003,44.8,57.4,NA,NA
2007-10-13,8.7,20.5,31.8,44.4,61.2,NA,NA
2007-10-14,8.7,17.4,29.2,45.6,62.2,80.3,NA
2007-10-15,7.7,16.4,25.099999999999998,48.2,60.8,82.5,NA
2007-10-16,10.2,17.9,26.599999999999998,47.1,63.5,87.8,NA
2007-10-17,6.1,16.299999999999997,24,41.4,64.5,86.2,NA
2007-10-18,4.3,10.399999999999999,20.599999999999998,37,57.5,81.4,108.6
2007-10-19,9.2,13.5,19.599999999999998,37.5,54.9,83.1,112.3
2007-10-20,8.7,17.9,22.2,38.5,54.9,86.7,116.1
2007-10-21,8.4,17.1,26.299999999999997,36.699999999999996,54.599999999999994,83.8,116.8
2007-10-22,5.4,13.8,22.5,36,52.3,77.39999999999999,113.1
2007-10-23,11.9,17.3,25.700000000000003,43.6,54,80.6,117.5
2007-10-24,5.8,17.7,23.1,40.2,53.7,77.7,118.2
2007-10-25,4.6,10.399999999999999,22.3,36.1,54,74.6,111.5
2007-10-26,6.7,11.3,17.1,34.4,51.5,71.1,106.39999999999999
2007-10-27,13.9,20.6,25.2,42.9,56.7,78.9,111.6
2007-10-28,11.8,25.700000000000003,32.4,42.8,60.1,86.4,114.7
2007-10-29,7.5,19.3,33.2,44.5,62.2,84.7,114.5
2007-10-30,6.2,13.7,25.5,46.1,56.5,82.2,110.5
2007-10-31,10.8,17,24.5,50.2,61.5,84.60000000000001,115.2
2008-04-01,14.8,NA,NA,NA,NA,NA,NA
2008-04-02,17.9,32.7,NA,NA,NA,NA,NA
2008-04-03,10.4,28.299999999999997,43.1,NA,NA,NA,NA
2008-04-04,8.1,18.5,36.4,NA,NA,NA,NA
2008-04-05,8.2,16.299999999999997,26.7,59.4,NA,NA,NA
2008-04-06,7.9,16.1,24.2,52.5,NA,NA,NA
2008-04-07,10,17.9,26.1,44.6,77.3,NA,NA
2008-04-08,5.2,15.2,23.1,39.4,67.7,NA,NA
2008-04-09,6,11.2,21.2,37.3,55.8,NA,NA
2008-04-10,10.9,16.9,22.1,40,56.3,99.4,NA
2008-04-11,4,14.9,20.9,36.1,52.2,88.6,NA
2008-04-12,9,13,23.9,35.1,53,79.7,NA
2008-04-13,9.6,18.6,22.6,39.5,54.7,78.9,NA
2008-04-14,9.9,19.5,28.5,43.4,54.6,80.7,131.9
2008-04-15,7.1,17,26.6,39.6,56.5,79.6,124.2
2008-04-16,3.6,10.7,20.6,39.2,54.1,75.3,109.9
2008-04-17,3.2,6.800000000000001,13.9,33.4,46.4,68.5,102.7
