STATION,DATE,CHL,SD,Depth,LAYER,PH,TP,COND,TURBIDITY
110,6/21/2006,2.18,4.5,0,I,6.55,0.008,92,1.66
110,7/17/2006,1.3,4.75,7,I,6.66,0.007,90,0.71
110,8/15/2006,3.66,5.5,0,I,6.43,0.006,88.4,0.75
110,9/5/2006,4.83,5.75,11,I,6.4,0.007,89.5,1.34
110,10/10/2006,3.69,5.5,7,I,6.74,0.006,90.6,1.3
110,6/19/2007,1.25,6.25,0,I,6.67,0.009,84.9,1.07
110,7/16/2007,1.97,5.5,7,I,6.56,0.008,87,2.08
110,8/21/2007,2.32,5.25,7,I,6.76,0.005,86.6,0.71
110,9/17/2007,2.7,5.25,7,I,6.62,0.006,87.5,1.18
110,10/9/2007,1.85,6.75,0,I,6.5,0.01,87.5,0.62
110,6/17/2008,1.97,6,0,I,7.06,0.005,91.3,1.1
110,7/16/2008,1.64,6.75,7,I,7.01,0.005,91.9,0.6
110,8/13/2008,0,6.05,7,I,6.93,0.021,93.1,0.87
110,9/10/2008,1.28,5.5,0,I,7,0.005,92,0.95
110,10/8/2008,1.63,5.625,0,I,6.92,0.005,93.4,1.19
110,6/17/2009,2.18,6.5,8,I,6.78,0.006,96.1,2.8
110,7/20/2009,0.74,8.3,8,I,7.08,0.005,97.5,0.61
110,8/11/2009,1.78,6.37,8,I,6.92,0.005,96.4,1.44
110,9/8/2009,1.45,6.75,8,I,5.81,0.006,97,1.16
110,9/30/2009,1.28,7.8,0,I,6.55,0.007,100.5,0.8
110,6/15/2010,0.95,6,7,I,6.92,0.008,94.3,1.25
110,7/12/2010,0.92,6.875,7,I,6.87,0.004,96.8,1.22
110,8/10/2010,1.44,7.25,7,I,6.8,0.004,92.5,1.12
110,9/7/2010,1.38,7.875,7,I,6.98,0.005,95.2,2.36
110,10/5/2010,1.28,5.68,8,I,6.68,0.006,97.4,1.35
110,6/13/2011,1.26,5.937,8,I,5.94,0.006,87.3,0.81
110,7/19/2011,1.66,5.875,7,I,6.75,0.007,87.1,1.17
110,8/18/2011,2.36,5.75,7,I,6.89,0.005,95.8,1.12
110,9/13/2011,1.09,5.625,0,I,6.85,0.009,90.2,2.21
110,10/3/2011,1.33,4.625,7,I,6.72,0.008,92.9,0.98
110,6/13/2012,0.9,6.72,7,I,6.75,0.008,85.4,0.89
110,7/17/2012,0.9,7.5,7,I,6.76,0.009,81.9,1.39
110,8/14/2012,1.09,7.625,7,I,6.26,0.009,84,1.79
110,9/12/2012,1.44,6.875,0,I,6.69,0.008,86.4,1.7
110,10/2/2012,1.61,6.375,7,I,6.08,0.009,83.2,1.7
110,7/16/2013,1.63,5.875,7,I,6.78,0.013,89.6,1.61
110,8/13/2013,1.44,7,7,I,6.54,0.008,88.4,0.71
110,9/17/2013,1.98,5.5,7,I,6.51,0.004,90.1,1.05
110,6/16/2014,1.98,5.75,7,I,6.69,0.008,94.7,1.19
110,7/14/2014,0.92,6.75,7,I,6.69,0.004,92.1,0.77
110,8/11/2014,1.25,7,7,I,7,0.004,93.3,0.88
110,9/2/2014,2.15,6,7,I,6.86,0.004,92.5,0.85
110,6/17/2015,1.25,8,7,I,6.64,0.008,96.7,1.26
110,7/15/2015,1.63,6.25,7,I,6.54,0.004,95.2,0.52
110,8/10/2015,1.06,6.25,7,I,6.75,0.005,100.3,1.26
110,9/10/2015,1.25,6.6,7,I,6.85,0.009,99.1,0.67
110,6/14/2016,1.09,5.75,8.3,I,7.1,0.004,98.7,1.4
110,7/12/2016,1.08,8,NA,I,7.31,0.006,101.2,2.19
110,8/16/2016,1.06,7.75,8.3,I,7.24,0.001,101.8,1.51
110,9/13/2016,1.41,7.5,7.3,I,7.25,0.003,103.4,0.97
