STATION,DATE,CHL,SD,Depth,LAYER,PH,TP,COND,TURBIDITY
90,6/30/2006,NA,NA,6,I,NA,0.006,NA,NA
90,7/17/2006,0.14,6.25,6,I,6.63,0.006,86,1.11
90,8/14/2006,3.64,6.3,6,I,6.52,0.01,86.1,4.16
90,9/6/2006,4.47,5.65,6,I,6.73,0.008,86.7,0.8
90,10/3/2006,4.95,5.5,0,I,6.58,0.007,87.2,2.33
90,6/19/2007,1.28,7.15,0,I,6.46,0.008,82.4,1.6
90,7/17/2007,1.83,6.85,0,I,6.52,0.006,83.1,0.8
90,8/22/2007,1.47,6.25,0,I,6.99,0.006,84,1.7
90,9/18/2007,2.35,6.55,0,I,6.87,0.005,84.6,1.73
90,7/17/2008,0.76,6.56,0,I,7.2,0.004,90.3,3.35
90,8/12/2008,0,7.3,6,I,7.03,0.019,85.9,0.86
90,9/8/2008,0.92,7.3,0,I,7.12,0.004,86.4,1.06
90,7/15/2009,0.92,NA,6,I,6.95,0.005,94.2,1.45
90,8/12/2009,0.88,7.3,7,I,6.9,0.008,91.8,1.93
90,9/8/2009,1.23,7.3,7,I,6.89,0.005,95.6,1.43
90,6/15/2010,1.8,6.7,6,I,6.77,0.007,92,1.06
90,7/13/2010,1.78,7.3,6,I,6.84,0.005,93.6,1.06
90,8/10/2010,1.41,7.3,6,I,6.8,0.02,93.1,1.04
90,9/7/2010,1.25,7,6,I,6.88,0.018,96.3,4.79
90,6/14/2011,1.8,6.25,6,I,6.86,0.012,82.7,2.09
90,7/19/2011,1.63,6.5,6,I,6.82,0.014,88.5,2.48
90,8/18/2011,2.36,7,6,I,6.9,0.009,88.5,1.33
90,9/19/2011,2.17,7.3,6,I,6.85,0.012,85.7,2.67
90,6/13/2012,1.11,6.2,0,I,6.33,0.039,84,1.83
90,7/16/2012,1,7.5,6,I,6.88,0.011,85.5,0.94
90,8/13/2012,1.03,6.6,6,I,6.75,0.009,83.6,0.9
90,6/13/2013,2.15,7.3,6,I,6.51,0.013,82.1,1.52
90,7/16/2013,0.87,6.3,6,I,6.49,0.007,82.9,0.98
90,8/13/2013,1.79,7.3,6,I,6.75,0.009,83.8,0.83
90,9/8/2013,1.66,7.3,6,I,6.57,0.007,78.9,1.68
90,6/17/2014,1.96,7.3,6,I,6.74,0.007,87.3,1.48
90,7/14/2014,1.33,7.3,6,I,6.61,0.007,87.7,0.95
90,8/12/2014,1.6,7.3,6,I,6.86,0.003,89.6,0.68
90,9/2/2014,1.3,6.05,6,I,6.75,0.007,89.3,0.69
90,6/16/2015,1.44,7.3,6,I,6.7,0.006,91.9,1.54
90,7/13/2015,1.63,7.1,6,I,6.6,0.007,94.8,0.71
90,8/10/2015,1.25,5.9,6,I,6.64,0.005,97.7,1.12
90,9/10/2015,1.06,7.3,6,I,6.92,0.005,101.3,1.03
90,6/15/2016,1.44,6.75,7.3,I,7,0.007,97,2.06
90,7/12/2016,0.73,7.3,NA,I,7.21,0.005,100.1,1.05
90,8/16/2016,1.25,7.3,7.3,I,7.06,0.003,102.4,0.81
90,9/11/2016,1.22,7.3,6.3,I,6.97,0.006,101.7,1.06
