site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL
Coffin,2007-06-21,2007,6,24,21,172,0,0,0
Coffin,2007-06-28,2007,6,25,28,179,0.042441624,0,0.042441624
Coffin,2007-07-05,2007,7,26,5,186,0,0,0
Coffin,2007-07-12,2007,7,27,12,193,0.007073604,0,0.007073604
Coffin,2007-07-19,2007,7,28,19,200,0.028294416,0,0.028294416
Coffin,2007-07-26,2007,7,29,26,207,0.205134517,0,0.205134517
Coffin,2007-08-02,2007,8,30,2,214,0.926642128,0.636624363,1.563266491
Coffin,2007-08-09,2007,8,31,9,221,0.169766497,2.12E-02,0.190987309
Coffin,2007-08-16,2007,8,32,16,228,1.393499995,5.255687797,6.649187791
Coffin,2007-08-23,2007,8,33,23,235,0.728581215,NA,0.728581215
Coffin,2007-08-30,2007,8,34,30,242,0.141472081,0,0.141472081
Coffin,2007-09-06,2007,9,35,6,249,0.042441624,0,0.042441624
Coffin,2007-09-13,2007,9,36,13,256,4.746388306,0,4.746388306
Coffin,2007-09-20,2007,9,37,20,263,0.077809644,0,0.077809644
Coffin,2008-06-12,2008,6,23,12,164,0.056588832,0,0.056588832
Coffin,2008-06-19,2008,6,24,19,171,0.03536802,0,0.03536802
Coffin,2008-06-26,2008,6,25,26,178,0.063662436,0,0.063662436
Coffin,2008-07-03,2008,7,26,3,185,0.021220812,0,0.021220812
Coffin,2008-07-10,2008,7,27,10,192,0.099030457,0,0.099030457
Coffin,2008-07-17,2008,7,28,17,199,0.141472081,0,0.141472081
Coffin,2008-07-24,2008,7,29,24,206,1.004451773,7.07E-03,1.011525377
Coffin,2008-07-31,2008,7,30,31,213,0.622477155,0,0.622477155
Coffin,2008-08-07,2008,8,31,7,220,1.195439082,7.07E-03,1.202512686
Coffin,2008-08-14,2008,8,32,14,227,0.247576141,1.41E-02,0.261723349
Coffin,2008-08-21,2008,8,33,21,234,0.028294416,7.07E-03,0.03536802
Coffin,2008-08-26,2008,8,34,26,239,0.007073604,0,0.007073604
Coffin,2008-09-04,2008,9,35,4,248,0.452710658,0,0.452710658
Coffin,2008-09-10,2008,9,36,10,254,0.014147208,0,0.014147208
Coffin,2008-09-17,2008,9,37,17,261,0.056588832,0,0.056588832
Coffin,2008-09-24,2008,9,38,24,268,0.056588832,0,0.056588832
Coffin,2009-05-15,2009,5,19,15,135,0,0,0
Coffin,2009-05-29,2009,5,21,29,149,0.014147208,0,0.014147208
Coffin,2009-06-04,2009,6,22,4,155,0.007073604,0,0.007073604
Coffin,2009-06-17,2009,6,24,17,168,0.028294416,0,0.028294416
Coffin,2009-06-25,2009,6,25,25,176,0,0,0
Coffin,2009-07-02,2009,7,26,2,183,0.063662436,1.41E-02,0.077809644
Coffin,2009-07-09,2009,7,27,9,190,0.113177665,2.12E-02,0.134398477
Coffin,2009-07-16,2009,7,28,16,197,0.042441624,0,0.042441624
Coffin,2009-07-23,2009,7,29,23,204,0.028294416,0,0.028294416
Coffin,2009-07-30,2009,7,30,30,211,0.056588832,0,0.056588832
Coffin,2009-08-06,2009,8,31,6,218,0.042441624,7.07E-03,0.049515228
Coffin,2009-08-13,2009,8,32,13,225,0.190987309,0,0.190987309
Coffin,2009-08-20,2009,8,33,20,232,0.183913705,7.07E-03,0.190987309
Coffin,2009-08-27,2009,8,34,27,239,0.190987309,0,0.190987309
Coffin,2009-09-01,2009,9,35,1,244,0.03536802,0,0.03536802
Coffin,2009-09-08,2009,9,36,8,251,0.353680202,7.07E-03,0.360753806
Coffin,2009-09-15,2009,9,37,15,258,0.233428933,0,0.233428933
Coffin,2009-09-21,2009,9,38,21,264,0.021220812,0,0.021220812
Coffin,2009-10-05,2009,10,40,5,278,0.141472081,0,0.141472081
Coffin,2010-04-15,2010,4,15,15,105,0.042441624,0,0.042441624
Coffin,2010-04-30,2010,4,17,30,120,0.014147208,0,0.014147208
Coffin,2010-05-25,2010,5,21,25,145,0.049515228,0,0.049515228
